name,wikiname__sq,area,party,term,source,wikiname__en,id
Adriana Gjonaj,,Elbasan County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Adriana Gjonaj,adriana_gjonaj
Agim Leka,,Elbasan County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Agim Leka,agim_leka
Albana Vokshi,,Durrës County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Albana Vokshi,albana_vokshi
Albert Çaçi,,Fier County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Albert Çaçi,albert_Çaçi
Aldo Bumçi,,Tirana County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Aldo Bumçi,aldo_bumçi
Alfred Dalipi,,Korçë County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Alfred Dalipi,alfred_dalipi
Andis Harasani,,Tirana County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Andis Harasani,andis_harasani
Arben Ahmetaj,,Korçë County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Arben Ahmetaj,arben_ahmetaj
Arben Imami,,Tirana County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Arben Imami,arben_imami
Arben Isaraj,,Vlorë County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Arben Isaraj,arben_isaraj
Arben Malaj,,Vlorë County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Arben Malaj,arben_malaj
Arben Çuko,,Fier County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Arben Çuko,arben_Çuko
Ardian Kollozi,,Vlorë County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Ardian Kollozi,ardian_kollozi
Ardian Turku,,Elbasan County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Ardian Turku,ardian_turku
Arenca Trashani,,Shkodër County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Arenca Trashani,arenca_trashani
Armando Prenga,,Lezhë County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Armando Prenga,armando_prenga
Armando Subashi,,Fier County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Armando Subashi,armando_subashi
Arta Dade,,Gjirokastër County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Arta Dade,arta_dade
Artan Gaçi,,Tirana County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Artan Gaçi,artan_gaçi
