id,name,name__es,name__en,name__fr,name__hu,name__nl,name__de,gender,occupation,given_name,original_wikiname,name__pt,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__ko,name__he,name__tr,name__it,name__cs,name__ar,name__zh,name__eo,name__nb,name__da,name__nn,name__sv,name__mg,wikipedia__ar,wikipedia__cs,wikipedia__de,wikipedia__en,wikipedia__eo,wikipedia__es,wikipedia__eswikinews,wikipedia__eswikiquote,wikipedia__fr,wikipedia__he,wikipedia__it,wikipedia__ko,wikipedia__mg,wikipedia__pl,wikipedia__pt,wikipedia__simple,wikipedia__tr,wikipedia__zh,identifier__VIAF,identifier__GND,birth_date,identifier__freebase,image,twitter,family_name,second_surname,name__cy,name__gn,name__sw,wikipedia__commons,wikipedia__sw,name__en_ca,name__en_gb,name__ca,wikipedia__ca,website,facebook,name__gl,name__fa,wikipedia__fa,wikipedia__gl,wikipedia__nl,name__el,name__ru,name__eu,identifier__NTA,instagram,identifier__LCAuth,identifier__SUDOC,identifier__IMDB,identifier__cinenacional,name__be,name__br,name__co,name__et,name__fi,name__hr,name__lt,name__lv,name__oc,name__pcd,name__ro,name__sk,name__sr_el,name__vec,name__vi,name__vls,name__vo,name__wa,wikipedia__oc,wikipedia__eswikisource,name__uk,wikipedia__uk,identifier__quora,name__id,name__ja,name__mr,wikipedia__da,wikipedia__fi,wikipedia__hu,wikipedia__id,wikipedia__ja,wikipedia__lt,wikipedia__mr,wikipedia__no,wikipedia__ru,wikipedia__sv,identifier__google_knowledge,identifier__bna,name__de_ch,name__pt_br,wikipedia__sk,identifier__ATP,identifier__ITF,name__ast,death_date,name__af,name__an,name__bar,name__bm,name__de_at,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pms,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sco,name__vmf,name__wo,name__zu,name__hy,identifier__FAST,name__la,wikipedia__la,identifier__BNF,identifier__ssrn,identifier__ISNI,identifier__SBN_it,wikipedia__eu,identifier__BNE,linkedin,identifier__youtube,name__sl,wikipedia__sl,name__bs,name__eml,name__fo,name__frr,name__is,name__sh,name__sq
Q12164058,"Eduardo de Pedro","Eduardo de Pedro","Eduardo de Pedro","Eduardo de Pedro","Eduardo de Pedro","Eduardo de Pedro","Eduardo de Pedro",male,Abogado,Eduardo,,,,,,,,,,,,,"Eduardo de Pedro",,,,,,,,,,,,,,,"Eduardo de Pedro",,,,,,,,,,,,,,,1976-11-11,,https://upload.wikimedia.org/wikipedia/commons/8/8c/De_Pedro.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1261399,"Ricardo Alfonsín","Ricardo Alfonsín","Ricardo Alfonsín","Ricardo Alfonsín","Ricardo Alfonsín","Ricardo Alfonsín","Ricardo Alfonsín",male,lawyer,Ricardo,"Ricardo Alfonsín",,,,,,,,,,,,,"Ricardo Alfonsín",,,,"Ricardo Alfonsín","Ricardo Alfonsín","Ricardo Alfonsín","Ricardo Alfonsín",,,,"Ricardo Alfonsín","Ricardo Alfonsín",,"Ricardo Alfonsín",,,,,,,,,,,,,299681237,,1951-11-02,/m/09ggg1q,"https://upload.wikimedia.org/wikipedia/commons/3/3d/Ricardo_Alfonsín_2.jpg",RICALFONSIN,"Alfonsín",,,,,,,,,,,,ricalfonsin,,,,,,"Ρικάρντο Αλφονσίν","Рикардо Альфонсин","Ricardo Alfonsín",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1403237,"Felipe Solá","Felipe Solá","Felipe Solá","Felipe Solá","Felipe Solá","Felipe Solá","Felipe Solá",male,engineer,Felipe,"Felipe Solá",,,,,,,,,,,,,,,,,"Felipe Solá","Felipe Solá","Felipe Solá","Felipe Solá","Felipe Solá",,,"Felipe Solá","Felipe Solá",,"Felipe Solá",,,,,,,"Felipe Solá",,,,,,,,1950-07-23,,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Felipe_Solá.jpg",,,,,,"Felipe Solá","Felipe Solá","Felipe Solá",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15192668,"Pablo López","Pablo López","Pablo Sebastián López","Pablo López","Pablo López","Pablo Sebastián López","Pablo Sebastián López",male,politician,Pablo,"Pablo Sebastián López",,,,,,,,,,,,,,,,,,,,,,,,,"Pablo Sebastián López",,"Pablo Sebastián López",,,,,,,,,,,,,,,1975-11-08,/m/0vzskd_,"https://upload.wikimedia.org/wikipedia/commons/e/e0/Pablo_Sebastián_López.jpg",pablosebalopez,,,,,,,,,,,,,pablosebalopez,,,,,,,,,,pablosebalopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15702157,"Nicolás del Caño","Nicolás del Caño","Nicolás del Caño","Nicolás del Caño","Nicolás del Caño","Nicolás del Caño","Nicolás del Caño",male,politician,"Nicolás","Nicolás del Caño","Nicolás del Caño",,,,,,,"Nicolás del Caño",,,"Nicolás del Caño","Nicolás del Caño","Nicolás del Caño",,"尼古拉斯·德爾·卡尼奧","Nicolás del Caño","Nicolás del Caño","Nicolás del Caño","Nicolás del Caño","Nicolás del Caño",,,,,"Nicolás del Caño",,"Nicolás del Caño",,,,,,,,,,,,,,,1980-02-06,,"https://upload.wikimedia.org/wikipedia/commons/8/82/Nicolás_Del_Caño.jpg",,,,"Nicolás del Caño",,,,,,,"Nicolás del Caño",,,,"Nicolás del Caño",,,"Nicolás del Caño",,,,"Nicolás del Caño",,,,,,,,,,"Nicolás del Caño","Nicolás del Caño","Nicolás del Caño","Nicolás del Caño","Nicolás del Caño",,,"Nicolás del Caño","Nicolás del Caño",,,,,,,,,,,,"Nicolás del Caño",,,,,,,,,,,,,,,,"Nicolás del Caño",,,,"Nicolás del Caño",,"Nicolás del Caño","Nicolás del Caño","Nicolás del Caño",,,,,,,,"Nicolás del Caño",,,,,,,"Nicolás del Caño",,,"Nicolás del Caño",,,"Nicolás del Caño",,,,,,,"Nicolás del Caño",,,"Nicolás del Caño",,,,,,,,,,,,,,,,"Nicolás del Caño",,"Nicolás del Caño","Nicolás del Caño","Nicolás del Caño","Nicolás del Caño","Nicolás del Caño","Nicolás del Caño","Nicolás del Caño"
Q15714680,"Pablo Kosiner","Pablo Kosiner","Pablo Kosiner","Pablo Kosiner","Pablo Kosiner","Pablo Kosiner","Pablo Kosiner",male,lawyer,Pablo,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pablo Kosiner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15719117,"Máximo Kirchner","Máximo Kirchner","Máximo Kirchner","Máximo Kirchner","Máximo Kirchner","Máximo Kirchner","Máximo Kirchner",male,politician,"Máximo",,,,,,,,,,,,,,"Máximo Kirchner",,,,"Máximo Kirchner",,,,,,,,"Máximo Kirchner",,"Máximo Kirchner",,,"Máximo Kirchner",,,,,,,,,,,,1977-02-16,,"https://upload.wikimedia.org/wikipedia/commons/6/6b/Máximo_Kirchner_(cropped_from_Cristina_Fernández_de_Kirchner_Máximo_Kirchner_Florencia_Kirchner_2011-12-10).jpg",,,,,,,"Category:Máximo Kirchner",,,,"Máximo Kirchner",,,,"Máximo Kirchner",,,,,"Μάξιμο Κίρχνερ","Максимо Киршнер",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16142825,"Norma Amanda Abdalá","Norma Amanda Abdalá","Norma Abdala de Matarazzo","Norma Abdala de Matarazzo","Norma Amanda Abdalá","Norma Abdala de Matarazzo","Norma Abdala de Matarazzo",female,politician,Norma,,,,,,,,,,,,,"Norma Abdala de Matarazzo",,,,,,,,,,,,,"Norma Abdala de Matarazzo",,"Norma Abdala de Matarazzo",,,,,,,,,,,,,,,1948-04-13,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Nabdala.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16298697,"Patricia de Ferrari Rueda","Patricia de Ferrari Rueda","Patricia de Ferrari",,,,,female,,Patricia,,,,,,,,,,,,,"Patricia De Ferrari",,"باتريشيا فيراري",,,,,,,,,,,,,,,,,,,,,,,,,,,,1958-05-09,,,,Ferrari,,,,,,,,,,,,,"Patricia de Ferrari",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16300843,"Héctor María Gutiérrez","Héctor María Gutiérrez","Héctor María Gutiérrez","Héctor María Gutiérrez","Héctor María Gutiérrez","Héctor María Gutiérrez","Héctor María Gutiérrez",male,politician,"Héctor","Héctor María Gutiérrez",,,,,,,,,,,,,,,,,,,,,,,,,,,"Héctor María Gutiérrez",,,,,,,,,,,,,,,1953-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
