id,name,wikidata
area/buenos_aires,Buenos Aires Province,Q44754
area/catamarca,Catamarca Province,Q44756
area/chaco,Chaco Province,Q44757
area/chubut,Chubut Province,Q45007
area/ciudad_de_buenos_aires,Buenos Aires,Q5136175
area/cordoba,Córdoba Province,Q44759
area/corrientes,Corrientes,Q44758
area/entre_rios,Entre Ríos Province,Q44762
area/formosa,Formosa Province,Q44761
area/jujuy,Jujuy Province,Q44764
area/la_pampa,La Pampa,Q44795
area/la_rioja,La Rioja Province,Q44796
area/mendoza,Mendoza Province,Q44797
area/misiones,Misiones Province,Q44798
area/neuquen,Neuquén Province,Q44800
area/rio_negro,Río Negro Province,Q44802
area/salta,Salta Province,Q44803
area/san_juan,San Juan Province,Q44805
area/san_luis,San Luis Province,Q44818
area/santa_cruz,Santa Cruz Province,Q44821
area/santa_fe,Santa Fe Province,Q44823
area/santiago_del_estero,Santiago del Estero Province,Q44827
area/tierra_del_fuego,Tierra del Fuego Province,Q44832
area/tucuman,Tucumán Province,Q44829
