id,wikidata
frente_cívico_por_santiago,Q3088428
alianza_compromiso_federal,Q5668474
unión_cívica_radical,Q123585
chubut_somos_todos,Q26258776
alianza_unión_por_entre_ríos,Q41628756
alianza_frente_para_la_victoria,Q1072438
alianza_unión_por_córdoba,Q41629046
alianza_cambiemos,Q20749344
alianza_frente_popular_riojano,Q41629099
movimiento_popular_neuquino,Q7002024
_victoria_(peronismo_pampeano),Q1072438
frente_para_la_victoria,Q1072438
alianza_unión_pro,Q1507720
alianza_unen,Q15984938
frente_popular,Q41653620
frente_amplio_progresista,Q1455518
frente_popular_salteño,Q41530193
alianza_frente_progresista,Q41557258
movimiento_popular_fueguino,Q5507109
alianza_frente_para_la_victoria_riojano,Q1072438
alianza_encuentro_corrientes,Q41654015
frente_cívico_y_social,Q7248613
frente_renovador_de_la_concordia,Q5505872
unión_por_chaco,Q41557246
