id,name__en,name__es,name__de,name__nb,name__da,name__nn,name__sv,name__nl,name__fr,name__hu,name,wikipedia__en,wikipedia__es,image,gender,occupation,birth_date,given_name,original_wikiname,name__ca,website,twitter,facebook,death_date,name__it,name__gl,name__pt,name__ru,name__pl,name__sr_el,name__sr_ec,name__ja,name__cs,name__fa,name__bg,name__sr,name__tr,name__mg,name__el,name__zh,wikipedia__bg,wikipedia__commons,wikipedia__cs,wikipedia__de,wikipedia__fa,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__mg,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ptwikiquote,wikipedia__ru,wikipedia__sr,wikipedia__tr,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__MusicBrainz,identifier__freebase,identifier__AlloCine,identifier__Munzinger,identifier__GNC,identifier__moviemeter,identifier__discogs,identifier__allmovie,identifier__FAST,identifier__SFDb,identifier__elonet,identifier__PORT,identifier__SCOPE,identifier__kinopoisk,identifier__CSFD,identifier__DNF,identifier__filmportal_de,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__eu,name__he,name__ko,name__oc,name__yo,name__ms,name__et,name__id,name__sh,name__ar,name__gn,name__sk,name__ro,name__fi,name__uk,name__la,name__io,name__mr,name__ka,name__hr,name__lt,name__jv,name__eo,name__qu,name__de_ch,name__en_ca,name__en_gb,name__pt_br,wikipedia__ar,wikipedia__ca,wikipedia__da,wikipedia__enwikiquote,wikipedia__eo,wikipedia__eswikinews,wikipedia__eswikiquote,wikipedia__et,wikipedia__eu,wikipedia__fi,wikipedia__gl,wikipedia__gn,wikipedia__he,wikipedia__hr,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__jv,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lt,wikipedia__lv,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__oc,wikipedia__plwikiquote,wikipedia__qu,wikipedia__ro,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sv,wikipedia__uk,wikipedia__yo,wikipedia__zh,identifier__BNE,identifier__NNDB,identifier__BVMC,name__sl,name__br,wikipedia__br,wikipedia__sl,pseudonym,family_name,name__vi,name__be,wikipedia__be,wikipedia__eswikisource,wikipedia__vi,identifier__snac,identifier__bna,name__lv,identifier__Britannica,name__cy
Q1042890,"Carlos Espínola","Carlos Mauricio Espínola","Carlos Espínola","Carlos Mauricio Espínola","Carlos Mauricio Espínola","Carlos Mauricio Espínola","Carlos Mauricio Espínola","Carlos Espínola","Carlos Mauricio Espínola",,"Carlos Mauricio Espínola","Carlos Espínola (sailor)","Carlos Mauricio Espínola","https://upload.wikimedia.org/wikipedia/commons/0/01/Carlos_Mauricio_Espínola.jpg",male,politician,1971-10-05,Carlos,"Carlos Espínola (regatista)","Carlos Mauricio Espínola",,espinolacamau,,,,,"Carlos Espínola","Эспинола, Карлос Маурисио","Carlos Espínola",,,,,,,,,,,,,"Category:Carlos Espínola",,"Carlos Espínola",,"Carlos Espínola",,,,,"Carlos Espínola","Carlos Espínola (velejador)",,"Эспинола, Карлос Маурисио",,,,,,,,,,,/m/09zl5j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Карлос Еспінола",,,,,,,,,,,,,,,"Carlos Mauricio Espínola",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carlos Espínola","Карлос Еспінола",,,,,,,,,,,,,,,,,,,,,
Q16300569,"Sandra Giménez","Sandra Giménez","Sandra Giménez",,,,,"Sandra Giménez","Sandra Giménez","Sandra Giménez","Sandra Giménez",,"Sandra Giménez",,female,politician,1967-09-02,Sandra,"Sandra Daniela Giménez","Sandra Daniela Giménez",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16301366,"Magdalena Odarda","Magdalena Odarda","Magdalena Odarda",,,,,"Magdalena Odarda","Magdalena Odarda","Magdalena Odarda","Magdalena Odarda",,"Magdalena Odarda",https://upload.wikimedia.org/wikipedia/commons/6/6e/MagdalenaOdarda.jpg,female,lawyer,1965-12-28,Magdalena,"Magdalena Odarda","Magdalena Odarda",,,,,"Magdalena Odarda","Magdalena Odarda","Magdalena Odarda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Magdalena Odarda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16302727,"Rodolfo Urtubey","Rodolfo Urtubey","Rodolfo Urtubey",,,,,"Rodolfo Urtubey","Rodolfo Urtubey","Rodolfo Urtubey","Rodolfo Urtubey",,"Rodolfo Urtubey",,male,lawyer,1959-03-27,Rodolfo,"Rodolfo Julio Urtubey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urtubey,,,,,,,,,,
Q173238,"Carlos Reutemann","Carlos Reutemann","Carlos Reutemann","Carlos Reutemann","Carlos Reutemann","Carlos Reutemann","Carlos Reutemann","Carlos Reutemann","Carlos Reutemann","Carlos Reutemann","Carlos Reutemann","Carlos Reutemann","Carlos Reutemann",https://upload.wikimedia.org/wikipedia/commons/2/29/Carlos_Reutemann.jpg,male,"Formula One driver",1942-04-12,Carlos,"Carlos Reutemann","Carlos Reutemann",,,,,"Carlos Reutemann","Carlos Reutemann","Carlos Reutemann","Ройтеман, Карлос","Carlos Reutemann",,,"カルロス・ロイテマン","Carlos Reutemann",,"Карлос Ройтеман",,,,,"卡洛斯·瑞特曼","Карлос Ройтеман","Carlos Reutemann","Carlos Reutemann","Carlos Reutemann",,"Carlos Reutemann","Carlos Reutemann","カルロス・ロイテマン",,,"Carlos Reutemann","Carlos Reutemann",,"Ройтеман, Карлос",,,"0000 0000 3326 5524",36206394,,n97107209,,,,,/m/02jm68,,,,,,,,,,,,,,,,,,,,,,"Carlos Reutemann",,,"Carlos Alberto Reutemann",,,,"Carlos Reutemann",,"كارلوس ريوتيمان",,,"Carlos Reutemann","Carlos Reutemann",,,,,,"Carlos Reutemann",,,,"Carlos Reutemann",,,,,"كارلوس ريوتيمان","Carlos Reutemann",,,,,,,"Carlos Reutemann","Carlos Reutemann","Carlos Reutemann",,,"Carlos Reutemann","Carlos Reutemann","Carlos Reutemann",,,,,,,,,,"Carlos Reutemann","Carlos Alberto Reutemann",,"Carlos Reutemann","Carlos Reutemann",,"Carlos Reutemann",,"Carlos Reutemann",,,"卡洛斯·瑞特曼",,,,"Carlos Reutemann","Carlos Reutemann","Carlos Reutemann","Carlos Reutemann",Lole,,,,,,,,,,,
Q185107,"Carlos Menem","Carlos Menem","Carlos Menem","Carlos Menem","Carlos Saúl Menem","Carlos Menem","Carlos Menem","Carlos Menem","Carlos Menem","Carlos Menem","Carlos Menem","Carlos Menem","Carlos Menem",https://upload.wikimedia.org/wikipedia/commons/1/14/Menem_con_banda_presidencial.jpg,male,politician,1930-07-02,Carlos,"Carlos Menem","Carlos Saúl Menem",,CarlosMenem_LR,menem.conduccion,,"Carlos Saúl Menem","Carlos Menem","Carlos Saúl Menem","Карлос Менем","Carlos Saúl Menem",,,"カルロス・メネム","Carlos Menem","کارلوس منعم","Карлос Менем",,"Carlos Menem",,,"卡洛斯·梅内姆","Карлос Менем","Carlos Menem","Carlos Menem","Carlos Menem","کارلوس منم","Carlos Menem","Carlos Saúl Menem","カルロス・メネム",,"Carlos Menem","Carlos Saúl Menem","Carlos Menem","Carlos Menem","Менем, Карлос",,,"0000 0001 1028 8448",68960646,119323206,n86125059,121150450,030737915,nm1364013,,/m/0d7_4,,00000018668,,,,,188550,,,,,,,,,"卡洛斯·梅内姆","卡洛斯·梅內姆","卡洛斯·梅內姆","卡洛斯·梅内姆","卡洛斯·梅内姆","卡洛斯·梅內姆","Carlos Menem","קרלוס מנם","카를로스 메넴","Carlos Saúl Menem","Carlos Menem","Carlos Menem","Carlos Menem","Carlos Menem","Carlos Saúl Menem","كارلوس منعم","Carlos Menem","Carlos Menem","Carlos Menem","Carlos Menem","Карлос Менем","Carolus Menem","Carlos Saúl Menem","कार्लोस मेनेम","კარლოს მენემი","Carlos Menem","Carlos Menem","Carlos Menem","Carlos Menem","Carlos Menem","Carlos Menem","Carlos Menem","Carlos Menem","Carlos Menem","كارلوس منعم","Carlos Saúl Menem","Carlos Saúl Menem","Carlos Menem","Carlos Menem","Categoría:Carlos Menem","Carlos Menem","Carlos Menem","Carlos Menem","Carlos Menem","Carlos Menem","Carlos Menem","קרלוס מנם","Carlos Menem","Carlos Menem","Carlos Menem","Carlos Saúl Menem","Carlos Menem","კარლოს მენემი","카를로스 메넴","Carolus Menem","Carlos Menem","Karloss Menems","कार्लोस मेनेम","Carlos Menem","Carlos Menem","Carlos Saúl Menem","Carlos Saúl Menem","Carlos Menem","Carlos Menem","Carlos Saúl Menem","Carlos Menem","Carlos Menem","Carlos Menem","Карлос Менем","Carlos Menem","卡洛斯·梅内姆",XX1045348,047/000024972,57531,,,,,,,,"Карлас Менем","Карлас Менем","Autor:Carlos Saúl Menem",,w69w22sg,000028111,"Karloss Menems",biography/Carlos-Menem,
Q18711838,"Roberto Gustavo Basualdo","Roberto Gustavo Basualdo","Roberto Gustavo Basualdo",,,,,"Roberto Gustavo Basualdo","Roberto Gustavo Basualdo","Roberto Gustavo Basualdo","Roberto Gustavo Basualdo",,,,male,politician,,Roberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18711852,"Eduardo Alberto Aguilar","Eduardo Alberto Aguilar","Eduardo Alberto Aguilar",,,,,"Eduardo Alberto Aguilar","Eduardo Alberto Aguilar","Eduardo Alberto Aguilar","Eduardo Alberto Aguilar",,,,male,politician,,Eduardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18711856,"Adolfo Bermejo","Adolfo Bermejo","Adolfo Bermejo",,,,,"Adolfo Bermejo","Adolfo Bermejo","Adolfo Bermejo","Adolfo Bermejo",,"Adolfo Bermejo",https://upload.wikimedia.org/wikipedia/commons/5/59/Adolfo_Bermejo2.jpg,male,politician,1960-11-29,Rolando,,"Adolfo Bermejo",http://www.adolfobermejo.com.ar/,,,,"Adolfo Bermejo","Adolfo Bermejo","Adolfo Bermejo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18711863,"Marcelo Jorge Fuentes","Marcelo Jorge Fuentes","Marcelo Jorge Fuentes",,,,,"Marcelo Jorge Fuentes","Marcelo Jorge Fuentes","Marcelo Jorge Fuentes","Marcelo Jorge Fuentes",,,,male,politician,,Marcelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
