id,name,wikidata
buenos_aires,Buenos Aires Province,Q44754
ciudad_autónoma_de_buenos_aires,Buenos Aires City,Q1486
catamarca,Catamarca Province,Q44756
chaco,Chaco Province,Q44757
chubut,Chubut Province,Q45007
ciudad_de_buenos_aires,Buenos Aires,Q5136175
córdoba,Córdoba Province,Q44759
corrientes,Corrientes,Q44758
entre_ríos,Entre Ríos Province,Q44762
formosa,Formosa Province,Q44761
jujuy,Jujuy Province,Q44764
la_pampa,La Pampa,Q44795
la_rioja,La Rioja Province,Q44796
mendoza,Mendoza Province,Q44797
misiones,Misiones Province,Q44798
neuquén,Neuquén Province,Q44800
río_negro,Río Negro Province,Q44802
salta,Salta Province,Q44803
san_juan,San Juan Province,Q44805
san_luis,San Luis Province,Q44818
santa_cruz,Santa Cruz Province,Q44821
santa_fe,Santa Fe Province,Q44823
santiago_del_estero,Santiago del Estero Province,Q44827
"tierra_del_fuego,_antártida_e_islas_del_atlántico_sur",Tierra del Fuego Province,Q44832
tucumán,Tucumán Province,Q44829
