id,name,role,image,district,party,birth_date,email,source,name__hy,name__ru,term,faction_id,faction,start_date,end_date
1002,Samvel Farmanyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1002,002,"""Republican Party of Armenia"" /RPA/",1978-02-17,farmanyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1002&lang=eng,Սամվել Ժոռայի Ֆարմանյան,Самвел Жораевич Фарманян,5,RPA,Republican,2012-05-31,
1004,Artur Stepanyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1004,003,"""Republican Party of Armenia"" /RPA/",1976-10-28,"",http://parliament.am/deputies.php?sel=details&ID=1004&lang=eng,Արթուր Արսենի Ստեփանյան,Артур Арсенович Степанян,5,RPA,Republican,2012-05-31,
1005,Artak Sargsyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1005,004,"""Republican Party of Armenia"" /RPA/",1973-07-13,sargsyan.artak@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1005&lang=eng,Արտակ Սամվելի Սարգսյան,Артак Самвелович Саргсян,5,RPA,Republican,2012-05-31,
1006,Sedrak Saroyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1006,019,non-Party,1967-09-03,sedrak.saroyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1006&lang=eng,Սեդրակ Ֆիրդուսի Սարոյան,Седрак Фирдусович Сароян,5,RPA,Republican,2012-05-31,
1007,Artur Gevorgyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1007,005,"""Republican Party of Armenia"" /RPA/",1975-04-01,a.gevorgyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1007&lang=eng,Արթուր Սամվելի Գեւորգյան,Артур Самвелович Геворкян,5,RPA,Republican,2012-05-31,
1008,Hrant Grigoryan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1008,020,"""Republican Party of Armenia"" /RPA/",1966-11-23,hrant.grigoryan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1008&lang=eng,Հրանտ Մերուժանի Գրիգորյան,Грант Меружанович Григорян,5,RPA,Republican,2012-05-31,
1009,Ruben Hovsepyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1009,006,"""Republican Party of Armenia"" /RPA/",1958-08-28,"",http://parliament.am/deputies.php?sel=details&ID=1009&lang=eng,Ռուբեն Գառնիկի Հովսեփյան,Рубен Гарникович Овсепян,5,RPA,Republican,2012-05-31,
1010,Samvel Aleksanyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1010,007,non-Party,1968-08-19,samvel.aleksanyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1010&lang=eng,Սամվել Լիմինդրի Ալեքսանյան,Самвел Лиминдрович Алексанян,5,RPA,Republican,2012-05-31,
1011,Aleksan Petrosyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1011,021,"""Republican Party of Armenia"" /RPA/",1956-01-05,aleksan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1011&lang=eng,Ալեքսան Մակարի Պետրոսյան,Алексан Макарович Петросян,5,RPA,Republican,2012-05-31,
1012,Koryun Nahapetyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1012,008,"""Republican Party of Armenia"" /RPA/",1971-07-23,knahapetyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1012&lang=eng,Կորյուն Գառնիկի Նահապետյան,Корюн Гарникович Нагапетян,5,RPA,Republican,2012-05-31,
1013,Manvel Badeyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1013,022,"""Republican Party of Armenia"" /RPA/",1957-06-29,manvel.badeyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1013&lang=eng,Մանվել Հենրիկի Բադեյան,Манвел Генрикович Бадеян,5,RPA,Republican,2012-05-31,2016-06-02
1014,Ruben Sadoyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1014,009,"""Republican Party of Armenia"" /RPA/",1968-06-22,"",http://parliament.am/deputies.php?sel=details&ID=1014&lang=eng,Ռուբեն Ալֆրեդի Սադոյան,Рубен Альфредович Садоян,5,RPA,Republican,2012-05-31,
1015,Karen Botoyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1015,023,non-Party,1983-04-26,karen.botoyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1015&lang=eng,Կարեն Հովսեփի Բոթոյան,Карен Овсепович Ботоян,5,ROL,Rule of Law,2012-05-31,2014-05-22
1015,Karen Botoyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1015,023,non-Party,1983-04-26,karen.botoyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1015&lang=eng,Կարեն Հովսեփի Բոթոյան,Карен Овсепович Ботоян,5,_IND,Independent,2014-05-22,
1016,Garegin Nushikyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1016,010,non-Party,1961-05-31,"",http://parliament.am/deputies.php?sel=details&ID=1016&lang=eng,Գարեգին Գագիկի Նուշիկյան,Гарегин Гагикович Нушикян,5,RPA,Republican,2012-05-31,
1017,Hakob R. Hakobyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1017,024,"""Republican Party of Armenia"" /RPA/",1958-01-26,hakob.hakobyanr@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1017&lang=eng,Հակոբ Ռաֆիկի Հակոբյան,Акоп Рафикович Акопян,5,RPA,Republican,2012-05-31,
1018,Lyova Khachatryan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1018,012,"""Prosperous Armenia"" Party",1955-05-02,"",http://parliament.am/deputies.php?sel=details&ID=1018&lang=eng,Լյովա Յուզիկի Խաչատրյան,Лева Юзикович Хачатрян,5,PA,Prosperous Armenia,2012-05-31,
1020,Mher Sedrakyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1020,013,"""Republican Party of Armenia"" /RPA/",1951-06-08,mher.sedrakyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1020&lang=eng,Մհեր Դավթի Սեդրակյան,Мгер Давидович Седракян,5,RPA,Republican,2012-05-31,
1021,Vrezh Markosyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1021,014,"""Republican Party of Armenia"" /RPA/",1950-03-15,"",http://parliament.am/deputies.php?sel=details&ID=1021&lang=eng,Վրեժ Վարանցովի Մարկոսյան,Вреж Варанцовович Маркосян,5,RPA,Republican,2012-05-31,
1022,Davit Kocharyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1022,025,non-Party,1975-03-10,"",http://parliament.am/deputies.php?sel=details&ID=1022&lang=eng,Դավիթ Ժորայի Քոչարյան,Давид Жораевич Кочарян,5,PA,Prosperous Armenia,2012-05-31,2015-02-23
1022,Davit Kocharyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1022,025,non-Party,1975-03-10,"",http://parliament.am/deputies.php?sel=details&ID=1022&lang=eng,Դավիթ Ժորայի Քոչարյան,Давид Жораевич Кочарян,5,_IND,Independent,2015-02-23,
1023,Mnatsakan Mnatsakanyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1023,015,"""Republican Party of Armenia"" /RPA/",1959-02-07,"",http://parliament.am/deputies.php?sel=details&ID=1023&lang=eng,Մնացական Անդրանիկի Մնացականյան,Мнацакан Андраникович Мнацаканян,5,RPA,Republican,2012-05-31,
1024,Murad Guloyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1024,027,"""Prosperous Armenia"" Party",1956-02-27,murad.guloyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1024&lang=eng,Մուրադ Արամի Գուլոյան,Мурад Арамович Гулоян,5,PA,Prosperous Armenia,2012-05-31,
1025,Murad Muradyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1025,016,"""Republican Party of Armenia"" /RPA/",1957-08-04,"",http://parliament.am/deputies.php?sel=details&ID=1025&lang=eng,Մուրադ Սահակի Մուրադյան,Мурад Саакович Мурадян,5,RPA,Republican,2012-05-31,
1026,Gagik Tsarukyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1026,028,"""Prosperous Armenia"" Party",1956-11-25,gagik.tsarukyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1026&lang=eng,Գագիկ Կոլյայի Ծառուկյան,Гагик Коляевич Царукян,5,PA,Prosperous Armenia,2012-05-31,2015-03-19
1026,Gagik Tsarukyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1026,028,"""Prosperous Armenia"" Party",1956-11-25,gagik.tsarukyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1026&lang=eng,Գագիկ Կոլյայի Ծառուկյան,Гагик Коляевич Царукян,5,PA,Prosperous Armenia,2015-03-19,
1027,Karine Poghosyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1027,017,"""Republican Party of Armenia"" /RPA/",1973-05-27,karine.poghosyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1027&lang=eng,Կարինե Համլետի Պողոսյան,Карине Гамлетовна Погосян,5,RPA,Republican,2012-05-31,
1028,Arkadi Hambardzumyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1028,029,non-Party,1971-04-09,arkadi.hambardzumyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1028&lang=eng,Արկադի Ստանիսլավի Համբարձումյան,Аркади Станиславович Амбарцумян,5,RPA,Republican,2012-05-31,
1029,Edmon Marukyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1029,030,non-Party,1981-01-13,"",http://parliament.am/deputies.php?sel=details&ID=1029&lang=eng,Էդմոն Հրաչիկի Մարուքյան,Эдмон Грачикович Марукян,5,_IND,Independent,2012-05-31,
1030,Karen Saribekyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1030,031,"""Republican Party of Armenia"" /RPA/",1963-12-10,karen.saribekyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1030&lang=eng,Կարեն Բաղիշի Սարիբեկյան,Карен Багишевич Сарибекян,5,RPA,Republican,2012-05-31,
1031,Karen Karapetyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1031,032,"""Republican Party of Armenia"" /RPA/",1961-03-02,"",http://parliament.am/deputies.php?sel=details&ID=1031&lang=eng,Կարեն Սարգսի Կարապետյան,Карен Саркисович Карапетян,5,RPA,Republican,2012-05-31,
1032,Ashot Aghababyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1032,033,"""Republican Party of Armenia"" /RPA/",1952-11-08,a.aghababyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1032&lang=eng,Աշոտ Սերյոժայի Աղաբաբյան,Ашот Сережаевич Агабабян,5,RPA,Republican,2012-05-31,
1033,Martun Grigoryan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1033,034,non-Party,1981-01-18,martun.grigoryan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1033&lang=eng,Մարտուն Կամոյի Գրիգորյան,Мартун Камоевич Григорян,5,PA,Prosperous Armenia,2012-05-31,
