id,position,label,description,start_date
Q15071998,Q17277248,member of the National Assembly of Armenia,"",""
Q1975237,Q1123764,Prime Minister of Armenia,Wikimedia list article,""
Q1975237,Q17277248,member of the National Assembly of Armenia,"",""
Q1975243,Q1123764,Prime Minister of Armenia,Wikimedia list article,""
Q20509893,Q17277248,member of the National Assembly of Armenia,"",""
Q2383515,Q17277248,member of the National Assembly of Armenia,"",""
Q2383515,Q1976028,Mayor of Yerevan,mayor of Armenia's capital city,""
Q3249851,Q17277248,member of the National Assembly of Armenia,"",""
Q3498414,Q17277248,member of the National Assembly of Armenia,"",""
Q4055273,Q17277248,member of the National Assembly of Armenia,"",""
Q4058746,Q17277248,member of the National Assembly of Armenia,"",""
Q4059758,Q17277248,member of the National Assembly of Armenia,"",""
Q4061572,Q17277248,member of the National Assembly of Armenia,"",""
Q4069173,Q17277248,member of the National Assembly of Armenia,"",""
Q4074471,Q17277248,member of the National Assembly of Armenia,"",""
Q4074549,Q17277248,member of the National Assembly of Armenia,"",""
Q4074751,Q17277248,member of the National Assembly of Armenia,"",""
Q4103707,Q17277248,member of the National Assembly of Armenia,"",""
Q4149409,Q17277248,member of the National Assembly of Armenia,"",""
Q4153672,Q17277248,member of the National Assembly of Armenia,"",""
Q4193008,Q17277248,member of the National Assembly of Armenia,"",""
Q4194739,Q17277248,member of the National Assembly of Armenia,"",""
Q4214152,Q17277248,member of the National Assembly of Armenia,"",""
Q4280718,Q17277248,member of the National Assembly of Armenia,"",""
Q4280723,Q17277248,member of the National Assembly of Armenia,"",""
Q4281188,Q17277248,member of the National Assembly of Armenia,"",""
Q4294018,Q17277248,member of the National Assembly of Armenia,"",""
Q4294022,Q17277248,member of the National Assembly of Armenia,"",""
Q4311533,Q17277248,member of the National Assembly of Armenia,"",""
Q4374189,Q17277248,member of the National Assembly of Armenia,"",""
Q4401104,Q17277248,member of the National Assembly of Armenia,"",""
Q4403355,Q17277248,member of the National Assembly of Armenia,"",""
Q4520626,Q17277248,member of the National Assembly of Armenia,"",""
Q4521174,Q17277248,member of the National Assembly of Armenia,"",""
Q7035479,Q17277248,member of the National Assembly of Armenia,"",""
Q718634,Q17277248,member of the National Assembly of Armenia,"",""
