id,wikidata
area/bonython,Q5284496
area/burke,Q5284499
area/burt,Q23019675
area/corinella,Q5284510
area/dundas,Q5284520
area/fenner,Q23646678
area/gwydir,Q5284529
area/hawker,Q5284531
area/henty,Q5284530
area/kalgoorlie,Q5284539
area/lowe,Q666416
area/namadgi,Q5284553
area/northern_territory,Q5284556
area/phillip,Q5284559
area/prospect,Q5284560
area/riverina-darling,Q5284562
area/st_george,Q5284570
area/streeton,Q5284571
area/whitlam,Q23055249
ocd-division/country:au/state:nsw/federal_electorate:banks,Q2425863
ocd-division/country:au/state:nsw/federal_electorate:barton,Q1074151
ocd-division/country:au/state:nsw/federal_electorate:bennelong,Q817830
ocd-division/country:au/state:nsw/federal_electorate:berowra,Q1074115
ocd-division/country:au/state:nsw/federal_electorate:blaxland,Q1074143
ocd-division/country:au/state:nsw/federal_electorate:bradfield,Q1074189
ocd-division/country:au/state:nsw/federal_electorate:calare,Q1026265
ocd-division/country:au/state:nsw/federal_electorate:charlton,Q1074192
ocd-division/country:au/state:nsw/federal_electorate:chifley,Q1073690
ocd-division/country:au/state:nsw/federal_electorate:cook,Q368340
ocd-division/country:au/state:nsw/federal_electorate:cowper,Q1074235
ocd-division/country:au/state:nsw/federal_electorate:cunningham,Q182615
ocd-division/country:au/state:nsw/federal_electorate:dobell,Q509342
ocd-division/country:au/state:nsw/federal_electorate:eden-monaro,Q1073695
ocd-division/country:au/state:nsw/federal_electorate:farrer,Q1073683
ocd-division/country:au/state:nsw/federal_electorate:fowler,Q2973575
ocd-division/country:au/state:nsw/federal_electorate:gilmore,Q2973616
ocd-division/country:au/state:nsw/federal_electorate:grayndler,Q1079489
ocd-division/country:au/state:nsw/federal_electorate:greenway,Q2973632
ocd-division/country:au/state:nsw/federal_electorate:hughes,Q2973656
ocd-division/country:au/state:nsw/federal_electorate:hume,Q2973659
ocd-division/country:au/state:nsw/federal_electorate:hunter,Q1074124
ocd-division/country:au/state:nsw/federal_electorate:kingsford_smith,Q2973695
ocd-division/country:au/state:nsw/federal_electorate:lindsay,Q1074066
ocd-division/country:au/state:nsw/federal_electorate:lyne,Q2973724
ocd-division/country:au/state:nsw/federal_electorate:macarthur,Q2973728
ocd-division/country:au/state:nsw/federal_electorate:mackellar,Q918989
ocd-division/country:au/state:nsw/federal_electorate:macquarie,Q1074005
ocd-division/country:au/state:nsw/federal_electorate:mcmahon,Q1073946
ocd-division/country:au/state:nsw/federal_electorate:mitchell,Q2973776
ocd-division/country:au/state:nsw/federal_electorate:new_england,Q2973794
ocd-division/country:au/state:nsw/federal_electorate:newcastle,Q966318
ocd-division/country:au/state:nsw/federal_electorate:north_sydney,Q2973863
ocd-division/country:au/state:nsw/federal_electorate:page,Q2973798
ocd-division/country:au/state:nsw/federal_electorate:parkes,Q2973799
ocd-division/country:au/state:nsw/federal_electorate:parramatta,Q2973800
ocd-division/country:au/state:nsw/federal_electorate:paterson,Q577770
ocd-division/country:au/state:nsw/federal_electorate:reid,Q2973816
ocd-division/country:au/state:nsw/federal_electorate:richmond,Q1073994
ocd-division/country:au/state:nsw/federal_electorate:riverina,Q2973933
ocd-division/country:au/state:nsw/federal_electorate:robertson,Q2973820
ocd-division/country:au/state:nsw/federal_electorate:shortland,Q2973851
ocd-division/country:au/state:nsw/federal_electorate:sydney,Q1075639
ocd-division/country:au/state:nsw/federal_electorate:throsby,Q2411395
ocd-division/country:au/state:nsw/federal_electorate:warringah,Q1074025
ocd-division/country:au/state:nsw/federal_electorate:watson,Q2973888
ocd-division/country:au/state:nsw/federal_electorate:wentworth,Q2973891
ocd-division/country:au/state:nsw/federal_electorate:werriwa,Q2973901
ocd-division/country:au/state:qld/federal_electorate:blair,Q2973464
ocd-division/country:au/state:qld/federal_electorate:bonner,Q2973466
ocd-division/country:au/state:qld/federal_electorate:bowman,Q2973472
ocd-division/country:au/state:qld/federal_electorate:brisbane,Q917665
ocd-division/country:au/state:qld/federal_electorate:capricornia,Q2973486
ocd-division/country:au/state:qld/federal_electorate:dawson,Q1079471
ocd-division/country:au/state:qld/federal_electorate:dickson,Q2973551
ocd-division/country:au/state:qld/federal_electorate:fadden,Q2973562
ocd-division/country:au/state:qld/federal_electorate:fairfax,Q2973565
ocd-division/country:au/state:qld/federal_electorate:fisher,Q2973569
ocd-division/country:au/state:qld/federal_electorate:flynn,Q2973571
ocd-division/country:au/state:qld/federal_electorate:forde,Q2973572
ocd-division/country:au/state:qld/federal_electorate:griffith,Q1074129
ocd-division/country:au/state:qld/federal_electorate:groom,Q2973635
ocd-division/country:au/state:qld/federal_electorate:herbert,Q2973647
ocd-division/country:au/state:qld/federal_electorate:hinkler,Q2973649
ocd-division/country:au/state:qld/federal_electorate:kennedy,Q2973687
ocd-division/country:au/state:qld/federal_electorate:leichhardt,Q550273
ocd-division/country:au/state:qld/federal_electorate:lilley,Q2973718
ocd-division/country:au/state:qld/federal_electorate:longman,Q2973723
ocd-division/country:au/state:qld/federal_electorate:maranoa,Q2973739
ocd-division/country:au/state:qld/federal_electorate:mcpherson,Q1074030
ocd-division/country:au/state:qld/federal_electorate:moncrieff,Q2973778
ocd-division/country:au/state:qld/federal_electorate:moreton,Q2973781
ocd-division/country:au/state:qld/federal_electorate:oxley,Q1074900
ocd-division/country:au/state:qld/federal_electorate:petrie,Q2973809
ocd-division/country:au/state:qld/federal_electorate:rankin,Q2973814
ocd-division/country:au/state:qld/federal_electorate:ryan,Q2973824
ocd-division/country:au/state:qld/federal_electorate:wide_bay,Q2973903
ocd-division/country:au/state:qld/federal_electorate:wright,Q2973915
ocd-division/country:au/state:sa/federal_electorate:adelaide,Q2973361
ocd-division/country:au/state:sa/federal_electorate:barker,Q2973436
ocd-division/country:au/state:sa/federal_electorate:boothby,Q2973469
ocd-division/country:au/state:sa/federal_electorate:grey,Q2973634
ocd-division/country:au/state:sa/federal_electorate:hindmarsh,Q2973414
ocd-division/country:au/state:sa/federal_electorate:kingston,Q3032417
ocd-division/country:au/state:sa/federal_electorate:makin,Q2973735
ocd-division/country:au/state:sa/federal_electorate:mayo,Q1074088
ocd-division/country:au/state:sa/federal_electorate:port_adelaide,Q2423795
ocd-division/country:au/state:sa/federal_electorate:sturt,Q2973854
ocd-division/country:au/state:sa/federal_electorate:wakefield,Q1073964
ocd-division/country:au/state:tas/federal_electorate:bass,Q2887271
ocd-division/country:au/state:tas/federal_electorate:braddon,Q924832
ocd-division/country:au/state:tas/federal_electorate:denison,Q784520
ocd-division/country:au/state:tas/federal_electorate:franklin,Q2973578
ocd-division/country:au/state:tas/federal_electorate:lyons,Q1878928
ocd-division/country:au/state:vic/federal_electorate:aston,Q1074102
ocd-division/country:au/state:vic/federal_electorate:ballarat,Q2973434
ocd-division/country:au/state:vic/federal_electorate:batman,Q2973440
ocd-division/country:au/state:vic/federal_electorate:bendigo,Q2973455
ocd-division/country:au/state:vic/federal_electorate:bruce,Q2973477
ocd-division/country:au/state:vic/federal_electorate:calwell,Q2973484
ocd-division/country:au/state:vic/federal_electorate:casey,Q2973490
ocd-division/country:au/state:vic/federal_electorate:chisholm,Q5284509
ocd-division/country:au/state:vic/federal_electorate:corangamite,Q2973505
ocd-division/country:au/state:vic/federal_electorate:corio,Q2973504
ocd-division/country:au/state:vic/federal_electorate:deakin,Q1074059
ocd-division/country:au/state:vic/federal_electorate:dunkley,Q1079523
ocd-division/country:au/state:vic/federal_electorate:flinders,Q2973570
ocd-division/country:au/state:vic/federal_electorate:gellibrand,Q2973604
ocd-division/country:au/state:vic/federal_electorate:gippsland,Q2973620
ocd-division/country:au/state:vic/federal_electorate:goldstein,Q2973625
ocd-division/country:au/state:vic/federal_electorate:gorton,Q2973629
ocd-division/country:au/state:vic/federal_electorate:higgins,Q2973648
ocd-division/country:au/state:vic/federal_electorate:holt,Q2973650
ocd-division/country:au/state:vic/federal_electorate:hotham,Q2973653
ocd-division/country:au/state:vic/federal_electorate:indi,Q2973417
ocd-division/country:au/state:vic/federal_electorate:isaacs,Q2973418
ocd-division/country:au/state:vic/federal_electorate:jagajaga,Q2973662
ocd-division/country:au/state:vic/federal_electorate:kooyong,Q2973706
ocd-division/country:au/state:vic/federal_electorate:la_trobe,Q2973715
ocd-division/country:au/state:vic/federal_electorate:lalor,Q1073721
ocd-division/country:au/state:vic/federal_electorate:mallee,Q2973737
ocd-division/country:au/state:vic/federal_electorate:maribyrnong,Q2973742
ocd-division/country:au/state:vic/federal_electorate:mcewen,Q1074167
ocd-division/country:au/state:vic/federal_electorate:mcmillan,Q1074082
ocd-division/country:au/state:vic/federal_electorate:melbourne,Q1635847
ocd-division/country:au/state:vic/federal_electorate:melbourne_ports,Q2973755
ocd-division/country:au/state:vic/federal_electorate:menzies,Q178752
ocd-division/country:au/state:vic/federal_electorate:murray,Q2973788
ocd-division/country:au/state:vic/federal_electorate:scullin,Q2973832
ocd-division/country:au/state:vic/federal_electorate:wannon,Q2973885
ocd-division/country:au/state:vic/federal_electorate:wills,Q2973906
ocd-division/country:au/state:wa/federal_electorate:brand,Q897736
ocd-division/country:au/state:wa/federal_electorate:canning,Q2973485
ocd-division/country:au/state:wa/federal_electorate:cowan,Q2973507
ocd-division/country:au/state:wa/federal_electorate:curtin,Q2973513
ocd-division/country:au/state:wa/federal_electorate:durack,Q2973561
ocd-division/country:au/state:wa/federal_electorate:forrest,Q2973574
