id,name__en,name__es,name__de,name__nl,name__fr,name__hu,name,wikipedia__en,image,gender,occupation,birth_date,death_date,given_name,original_wikiname,name__ru,identifier__NLAtrove,identifier__AuDB,family_name,twitter,identifier__google_knowledge,name__it,name__ja,wikipedia__fr,identifier__VIAF,identifier__NLA,name__nb,name__da,name__nn,name__sv,identifier__ISNI,name__cy,wikipedia__it,identifier__snac,wikipedia__ru,wikipedia__de,identifier__freebase,name__zh,wikipedia__zh,website,name__pl,wikipedia__pl,identifier__LCAuth,identifier__FAST,name__fi,name__sh,wikipedia__commons,wikipedia__fi,wikipedia__sh,identifier__quora,name__zh_hant,name__bs,name__hr,name__zh_cn,wikipedia__bs,wikipedia__hr,name__pt,wikipedia__pt,name__he,identifier__SUDOC,name__uk,wikipedia__uk,name__pa,wikipedia__pa,name__sk,wikipedia__skwikiquote,wikipedia__enwikisource,name__el,name__mg,wikipedia__mg,wikipedia__enwikiquote,identifier__IMDB,name__fa,wikipedia__simple,wikipedia__sv,identifier__BNF,name__vep,name__ar,wikipedia__ar,wikipedia__vep,name__ca,name__oc,wikipedia__es,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__ko,name__id,wikipedia__id,wikipedia__ko,name__si,wikipedia__si,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cs,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sr_el,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,identifier__hansard,identifier__OLID,identifier__NTA,identifier__NPG,name__la,wikipedia__fawikiquote,wikipedia__ja,wikipedia__la,wikipedia__plwikiquote,wikipedia__tr,identifier__MusicBrainz,wikipedia__fa,identifier__wikitree,wikipedia__cs,facebook,identifier__youtube,wikipedia__cswikiquote,wikipedia__he,wikipedia__nl,identifier__GND,identifier__Munzinger,identifier__CSPAN,name__sl,wikipedia__sl,wikipedia__vi,identifier__IIAF,identifier__Britannica,name__th,wikipedia__th,name__lmo,identifier__Gutenberg,wikipedia__hu,noble_title,name__hi,name__be,name__yo,name__mr,name__ne,wikipedia__be,wikipedia__da,wikipedia__ga,wikipedia__hi,wikipedia__mr,wikipedia__ne,wikipedia__no,wikipedia__sk,wikipedia__yo,identifier__NNDB,name__wuu,wikipedia__wuu,name__bg,wikipedia__bgwikiquote,identifier__Oxforddnb,identifier__ULAN
Q1070523,"Cheryl Kernot","Cheryl Kernot","Cheryl Kernot","Cheryl Kernot","Cheryl Kernot","Cheryl Kernot","Cheryl Kernot","Cheryl Kernot",,female,politician,1948-12-05,,Cheryl,"Cheryl Kernot",,,,,,,,,,73485014,35201264,"Cheryl Kernot","Cheryl Kernot","Cheryl Kernot","Cheryl Kernot","0000 0000 6405 7226",,,,,"Cheryl Kernot",/m/034tlr,,,,,,,,,,,,,,,,,,,,,,"שריל  קרנוט",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biography/Cheryl-Kernot,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11727915,"John Keating","John Keating","John Keating","John Keating","John Keating",,"John Keating","John Keating (Australian politician)",https://upload.wikimedia.org/wikipedia/commons/1/1d/John_Henry_Keating.jpg,male,,1872-06-28,1940-10-31,John,,,1466397,keating-john-henry-6904,,,,,,,,,,,,,,,,,,,,,,,"John Keating","John Keating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q118051,"Anderson Dawson","Anderson Dawson","Anderson Dawson","Anderson Dawson","Anderson Dawson","Anderson Dawson","Anderson Dawson","Anderson Dawson",https://upload.wikimedia.org/wikipedia/commons/6/6e/AndersonDawson.jpg,male,politician,1863-07-16,1910-07-20,Anderson,,,1462925,dawson-andrew-5921,,,,,,"Anderson Dawson",,,,,,,,,,,,,/m/042_rm,,,,"Anderson Dawson","Anderson Dawson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anderson Dawson","Anderson Dawson","Anderson Dawson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12063768,"Kerry Nettle","Kerry Nettle","Kerry Nettle",,"Kerry Nettle",,"Kerry Nettle","Kerry Nettle",https://upload.wikimedia.org/wikipedia/commons/9/93/Kerry_Nettle.jpg,female,,1973-12-24,,Kerry,"Kerry Nettle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Category:Kerry Nettle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1239052,"Don Chipp","Don Chipp","Don Chipp","Don Chipp","Donald Chipp","Don Chipp","Don Chipp","Don Chipp",https://upload.wikimedia.org/wikipedia/commons/6/67/DonChipp-1977.jpg,male,"Australian rules footballer",1925-08-21,2006-08-28,Don,,,490587,,,,,,,"Donald Chipp",72936377,,"Don Chipp","Don Chipp","Don Chipp","Don Chipp",,"Don Chipp",,,,"Don Chipp",/m/03w5tb,,,,,,n88060303,229442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biography/Don-Chipp,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1239579,"Don Willesee","Don Willesee","Don Willesee","Don Willesee","Don Willesee","Don Willesee","Don Willesee","Don Willesee",,male,diplomat,1916-04-14,2003-09-09,Don,,,,,,,,,,,94926323,,"Don Willesee","Don Willesee","Don Willesee","Don Willesee",,"Don Willesee",,,,"Don Willesee",/m/027jn5n,"唐·威爾西",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13474753,"Harold Edward Elliott","Harold Edward Elliott","Harold Edward Elliott",,"Harold Edward Elliott","Pompey Elliott","Harold Edward Elliott","Harold Edward Elliott",https://upload.wikimedia.org/wikipedia/commons/c/c0/Harold_Pompey_Elliott_portrait.jpg,male,,1878-06-19,1931-03-23,Harold,,,,elliott-harold-edward-pompey-6104,,,,,,,22083471,35544333,,,,,"0000 0000 6426 564X",,,,,,,,,,,,nr2003005350,490297,,,"Category:Harold Edward Elliott",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pompey Elliott",,,,,,,,,,,,,,,,,,,,,,
Q13522531,"Michael Tate","Michael Tate","Michael Tate","Michael Tate","Michael Tate","Michael Tate","Michael Tate","Michael Tate",,male,diplomat,1945-07-06,,Michael,"Michael Tate","Майкл Тейт",,,,,,"Michael Tate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14201517,"Nick McKim","Nick McKim","Nick McKim","Nick McKim","Nick McKim","Nick McKim","Nick McKim","Nick McKim",https://upload.wikimedia.org/wikipedia/commons/b/bc/Nick_McKim_June_2010.jpg,male,politician,1965-06-11,,Nick,"Nick McKim",,1602916,,McKim,NickMcKim,,,,,,,,,,,,,,,,,,"尼克·麥金姆","尼克·麥金姆",,,,,,,,"Category:Nick McKim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1494887,"Gary Humphries","Gary Humphries","Gary Humphries","Gary Humphries","Gary Humphries","Gary Humphries","Gary Humphries","Gary Humphries",https://upload.wikimedia.org/wikipedia/commons/0/02/Gary_Humphries_2010.jpg,male,politician,1958-07-06,,Gary,"Gary Humphries",,,,,,,,,,,,,,,,,,,,,"Gary Humphries",/m/02q4hw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15452349,"John Black",,,"John Black","John Black",,"John Black","John Black (Australian politician)",,male,politician,1952-01-26,,John,"John Black (Australian politician)",,,,,,,,,,93976394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15452355,"Jim Keeffe",,"Jim Keeffe","Jim Keeffe","Jim Keeffe",,"Jim Keeffe","Jim Keeffe",,male,politician,1919-08-20,1988-05-15,Jim,,,616748,keeffe-james-bernard-jim-12718,,,,,,,94401822,,,,,,,,,w6w395cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15452356,"Thomas Givens","Thomas Givens","Thomas Givens","Thomas Givens","Thomas Givens","Thomas Givens","Thomas Givens","Thomas Givens",https://upload.wikimedia.org/wikipedia/commons/2/24/Thomas_Givens.jpg,male,politician,1864-02-26,1928-06-19,Thomas,,,,givens-thomas-6395,Givens,,,"Thomas Givens",,,92203953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15453664,"Ivor Greenwood",,"Ivor Greenwood","Ivor Greenwood","Ivor Greenwood",,"Ivor Greenwood","Ivor Greenwood",,male,lawyer,1926-11-15,1976-10-13,Ivor,,,,greenwood-ivor-john-10361,,,,,,,94035051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15456532,"Syd Negus",,"Syd Negus","Syd Negus","Syd Negus",,"Syd Negus","Syd Negus",,male,carpenter,1912-03-12,1986-08-01,Syd,,,,,,,,,,,93647393,,,,,,,,,w67x3vcq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15462333,"Fred Chaney",,"Fred Chaney","Fred Chaney","Fred Chaney",,"Fred Chaney","Fred Chaney",https://upload.wikimedia.org/wikipedia/commons/d/d6/Recognise_Campaign_Fred_Chaney_Presser.jpg,male,politician,1941-10-28,,Fred,"Fred Chaney",,,,Chaney,,,,,,94479641,,,,,,,,,w6rk2dr3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
