id,label,description,type
Q1006398,Federal Chancellor of Austria,Austrian politician,cabinet
Q692110,Vice-Chancellor of Austria,public official,cabinet
Q29076858,Minister of Defence,Cabinet position in Austria,cabinet
Q5468294,Foreign Minister of Austria,,cabinet
Q1714331,Federal Minister of Justice,justice minister of Austria,cabinet
Q17535155,member of the National Council of Austria,"",self
Q1321109,President of the National Council of Austria,speaker of the lower house of the Austrian Parliament,self
Q19360771,member of the Austrian federal council,"",other_legislatures
Q18821575,Member of the Landtag of Lower Austria,"",other_legislatures
Q23710976,Member of the Landtag of Salzburg,"",other_legislatures
Q23711521,Member of the regional parliament of Vienna,"",other_legislatures
Q25608222,member of the Styrian state parliament,legislator in the Landtag of the Austrian state of Styria,other_legislatures
Q24256233,chairman of the Freedom Party of Austria,"",party
Q24206963,federal spokesperson of the Austrian Green Party,leader of the Austrian Green Party,party
