id,position,label,description,start_date,end_date,replaces,replaced_by,party,term,constituency
Q12269600,Q21272758,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q12269600,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,,,,,,
Q14325293,Q21272758,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q14325293,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",,,,,,
Q14325293,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q15043824,Q21272758,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2009,,,,,,
Q15043824,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014,,,,,,
Q15043824,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014",2009,2014,,,,,
Q15782404,Q21272758,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2009,,,,,,
Q15782404,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014,,,,,,
Q15782404,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014",2009,2014,,,,,
Q15818991,Q21272758,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q15818991,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q15834620,Q21272758,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q15834620,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q15837138,Q21272758,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2009,,,,,,
Q15837138,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014,,,,,,
