id,name__bn,name__en,name__de,name__fr,name,wikipedia__bn,wikipedia__en,gender,occupation,birth_date,death_date,original_wikiname,name__id,name__uk,name__nl,name__es,name__pt,name__cy,name__hu,name__hi,wikipedia__de,wikipedia__fr,wikipedia__hi,wikipedia__id,wikipedia__pt,wikipedia__uk,image,identifier__freebase,identifier__VIAF,identifier__LCAuth,identifier__FAST,given_name,name__tr,name__ur,name__zh,wikipedia__tr,wikipedia__ur,name__ru,name__ja,wikipedia__ru,wikipedia__es,name__en_ca,name__en_gb,name__af,name__ar,name__bpy,name__da,name__de_ch,name__el,name__eo,name__et,name__fa,name__fi,name__he,name__io,name__it,name__ka,name__kn,name__mg,name__mr,name__ms,name__my,name__oc,name__pl,name__pt_br,name__sr,name__sv,name__ta,name__vep,name__yo,name__be,name__nb,name__su,name__nn,name__ca,name__ko,name__sco,name__qu,name__la,name__ml,name__pa,name__te,name__cs,name__ne,name__hy,name__sk,name__sd,name__zh_hant,name__zh_cn,name__eu,name__mai,name__as,wikipedia__af,wikipedia__ar,wikipedia__as,wikipedia__ba,wikipedia__be,wikipedia__bpy,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cy,wikipedia__da,wikipedia__el,wikipedia__enwikinews,wikipedia__enwikiquote,wikipedia__eo,wikipedia__et,wikipedia__fa,wikipedia__fawikiquote,wikipedia__fi,wikipedia__he,wikipedia__hy,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__kn,wikipedia__ko,wikipedia__la,wikipedia__mai,wikipedia__mg,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__my,wikipedia__ne,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pa,wikipedia__pl,wikipedia__plwikiquote,wikipedia__qu,wikipedia__sco,wikipedia__sd,wikipedia__simple,wikipedia__sk,wikipedia__sr,wikipedia__su,wikipedia__sv,wikipedia__ta,wikipedia__te,wikipedia__vep,wikipedia__yo,wikipedia__zh,identifier__ISNI,identifier__GND,identifier__BNF,identifier__SUDOC,name__nds,name__xmf,name__ro,name__th,name__vi,wikipedia__ro,wikipedia__th,wikipedia__vi,wikipedia__xmf,family_name,identifier__IMDB,identifier__MusicBrainz,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__gl,name__kk_arab,name__kk_cn,name__kk_tr,name__kk_kz,name__kk_cyrl,name__kk_latn,name__kk,wikipedia__gl,wikipedia__kk,identifier__GTAA,wikipedia__trwikiquote,website,name__an,name__ast,name__bar,name__br,name__co,name__de_at,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__is,name__kg,name__lb,name__li,name__lij,name__min,name__nap,name__nds_nl,name__nrm,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sl,name__sr_el,name__sw,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,identifier__NTA
Q12269600,"শিরীন শারমিন চৌধুরী","Shirin Sharmin Chaudhury","Shirin Sharmin Chaudhury","Shirin Sharmin Chaudhury","Shirin Sharmin Chaudhury","শিরীন শারমিন চৌধুরী","Shirin Sharmin Chaudhury",female,politician,1966-10-06,,"Shirin Sharmin Chaudhury",,,"Shirin Sharmin Chaudhury","Shirin Sharmin Chaudhury",,,"Shirin Sharmin Chaudhury","शिरीन शर्मिन चौधरी",,,"शिरिन शर्मीन चौधरी",,,,https://upload.wikimedia.org/wikipedia/commons/9/92/Shirin_Sharmin_Chaudhury.JPG,,,,,,,,"希琳·紹爾明·喬杜麗",,,,,,,,,,,,,,,,,,,,,,"შირინ შარმინ ჩოუდჰური",,,,,,,,,,,,,,,,,,,,,,,"ഷിറിൻ ഷർമിൻ ചൗധരി",,,,,,,,"希林•沙爾敏•喬杜里","希林•沙尔敏•乔杜里",,,,,,,,,,,,,,,,,,,,,,,,,,,,"შირინ შარმინ ჩოუდჰური",,,,,,"ഷിറിൻ ഷർമിൻ ചൗധരി",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13058677,"ফজলুল হক আমিনী","Fazlul Haque Amini","Fazlul Haque Amini","Fazlul Haque Amini","Fazlul Haque Amini","ফজলুল হক আমিনী","Fazlul Haque Amini",male,mufti,1943,2012-12-12,"ফজলুল হক আমিনী",,,,,,"Fazlul Haque Amini",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1392112,"মিজানুর রহমান চৌধুরী","Mizanur Rahman Chowdhury","Mizanur Rahman Chowdhury","Mizanur Rahman Chowdhury","Mizanur Rahman Chowdhury","মিজানুর রহমান চৌধুরী","Mizanur Rahman Chowdhury",male,politician,1928-10-19,2006-02-02,"মিজানুর রহমান চৌধুরী","Mizanur Rahman Chowdhury","Мізанур Чоудхурі","Mizanur Rahman Chowdhury","Mizanur Rahman Chowdhury","Mizanur Rahman Chowdhury","Mizanur Rahman Chowdhury","Mizanur Rahman Chowdhury","मिजानुर्रहमान चौधरी","Mizanur Rahman Chowdhury","Mizanur Rahman Chowdhury","मिजानुर्रहमान चौधरी","Mizanur Rahman Chowdhury","Mizanur Rahman Chowdhury","Мізанур Чоудхурі",https://upload.wikimedia.org/wikipedia/commons/1/1c/Picture_of_Mizanur_Rahman_Chowdhury.jpeg,/m/0b913q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14325293,"ওবায়দুল কাদের","Obaidul Quader","Obaidul Quader","Obaidul Quader","Obaidul Quader","ওবায়দুল কাদের (রাজনীতিবিদ)","Obaidul Quader",male,,1952-01-01,,"ওবায়দুল কাদের (রাজনীতিবিদ)",,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b0/Obaidul_Quader_MP.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15043824,,"Manoranjan Shill Gopal","Manoranjan Shill Gopal","Manoranjan Shill Gopal","Manoranjan Shill Gopal",,"Manoranjan Shill Gopal",male,politician,1964,,"Manoranjan Shill Gopal",,,"Manoranjan Shill Gopal",,,,,,"Manoranjan Shill Gopal",,,,,,https://upload.wikimedia.org/wikipedia/commons/3/30/Manoranjan_Shill_Gopal.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15633746,"রওশন এরশাদ","Rowshan Ershad","Rowshan Ershad",,"Rowshan Ershad","রওশন এরশাদ","Rowshan Ershad",female,politician,1941-07-19,,"রওশন এরশাদ",,,,"Rowshan Ershad",,,"Rowshan Ershad","रौशन इर्शाद",,,"रौशन इर्शाद",,,,https://upload.wikimedia.org/wikipedia/commons/8/84/Rowshan_Ershad_SAARC_in_Dhaka_1986.jpg,,,,,,,,,,,,,,"Rowshan Ershad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15708248,"ওয়াদুদ ভূইয়া","Wadud Bhuiyan","Wadud Bhuiyan","Wadud Bhuiyan","Wadud Bhuiyan","ওয়াদুদ ভূইয়া","Wadud Bhuiyan",male,,1965-01-05,,"Wadud Bhuiyan",,,"Wadud Bhuiyan",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/94/Wadud-Bhuiyan.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15782404,,,"Alhaj Mohammed Dabirul Islam",,"Alhaj Mohammed Dabirul Islam",,,male,,1948-09-29,,"Alhaj Mohammed Dabirul Islam",,,,,,,,,"Alhaj Mohammed Dabirul Islam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15818991,,"Hafizuddin Ahmed","Hafiz Uddin Ahmed","Hafiz Uddin Ahmed","Hafizuddin Ahmed",,"Hafizuddin Ahmed",male,politician,1946-02-03,,"Hafiz Uddin Ahmed",,,"Hafizuddin Ahmed",,,,,,"Hafiz Uddin Ahmed",,,,,,,,,,,Hafiz,,,,,,,,,,,,,,,,,,,,,,,,"Hafiz Uddin Ahmed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15834620,,,"Mazaharul Hoque Prodhan","Mazaharul Hoque Prodhan","Mazaharul Hoque Prodhan",,,male,politician,1953-01-01,,"Mazaharul Hoque Prodhan",,,,,,,,,"Mazaharul Hoque Prodhan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mazaharul Hoque Prodhan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
