id,position,label,description,start_date,replaces,end_date,replaced_by
Q10444907,Q14335901,member of the House of Representatives of Belarus,"",2008-10-27,,,
Q10444907,Q17142576,,"","",,,
Q10444907,Q17142583,,"","",,,
Q10444907,Q17142585,,"","",,,
Q11753400,Q14335901,member of the House of Representatives of Belarus,"",2012-10-18,,,
Q11753400,Q15635169,,"","",,,
Q14393799,Q14335901,member of the House of Representatives of Belarus,"",2012,,,
Q14394031,Q14335901,member of the House of Representatives of Belarus,"",2012,,,
Q14394031,Q14394238,Deputy of Brest Oblast Council of Deputies,"","",,,
Q14421992,Q14335901,member of the House of Representatives of Belarus,"",2012-10-18,,,
Q14422105,Q14335901,member of the House of Representatives of Belarus,"",2012-10-18,,,
Q14866893,Q14335901,member of the House of Representatives of Belarus,"",2012-10-18,,,
Q14866893,Q14394238,Deputy of Brest Oblast Council of Deputies,"","",,,
Q14917844,Q14335901,member of the House of Representatives of Belarus,"",2012-11-18,,,
Q14917844,Q17334463,,"","",,,
Q14918565,Q14335901,member of the House of Representatives of Belarus,"",2012-10-18,,,
Q2029677,Q14324101,,"",1991-09-19,,1996-01-09,
Q2029677,Q14335901,member of the House of Representatives of Belarus,"",2008-10-27,,,
Q2029677,Q15623433,,"",1997-01-13,,2008-10-31,
Q2029677,Q15627495,,"",1990-05-16,,1991-09-19,
Q2029677,Q17317789,,"",2008-10-27,,,
Q2029677,Q17317869,,"",1994-11-28,,2008-10,
Q2029677,Q17317903,,"",1985,,1987,
Q6656652,Q14335901,member of the House of Representatives of Belarus,"",2012-10-18,,,
Q6656652,Q15623433,,"",1997-01-13,"",2000-12-19,
Q6656652,Q15623461,,"",2004-08-06,,2006-05-05,Alyaksandr Azyarets
Q6656652,Q15623465,,"",2006-05-16,,,
Q6656652,Q15623466,,"",1999-07,,2004-08-06,
Q6656652,Q15623468,,"",1992,,,
Q6656652,Q15623471,,"",1991,,1994,
Q6656652,Q15623472,,"",1992,,1994,
Q6656652,Q15623473,,"",1999,,,
Q9336209,Q14335901,member of the House of Representatives of Belarus,"",2012-10-18,,,
Q9371375,Q14335901,member of the House of Representatives of Belarus,"",2012-10-18,,,
Q9375489,Q14335901,member of the House of Representatives of Belarus,"","",,,
Q9394017,Q14335901,member of the House of Representatives of Belarus,"",2008-10-27,,,
Q9394017,Q17330842,,"","",,,
