id,name,gender,identifier__VIAF,identifier__BNF,birth_date,given_name,identifier__sycomore,identifier__senatfr,image,identifier__IMDB,identifier__MusicBrainz,identifier__EuroparlMEP,identifier__LCAuth,identifier__GND,identifier__discogs,family_name,identifier__freebase,identifier__journalisted,identifier__NPG,identifier__parliamentDOTuk,identifier__ISNI,identifier__NNDB,identifier__Muzinger,identifier__NTA,identifier__SUDOC,identifier__CANTIC,honorific_prefix,website,identifier__ULAN,identifier__OpenPlaques,honorific_suffix,email,identifier__NDL,name__en,name__be,name__ru,name__pl,identifier__IIAF,name__be_tarask,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__ca,name__co,name__cs,name__cy,name__da,name__de,name__eo,name__es,name__et,name__eu,name__fi,name__fr,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__is,name__it,name__lb,name__li,name__lij,name__lmo,name__lt,name__nap,name__nb,name__nds,name__nds_nl,name__nl,name__nn,name__pcd,name__pms,name__pt,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sq,name__sv,name__tr,name__vec,name__vls,name__wa,wikipedia__pl,original_wikiname,wikipedia__be,wikipedia__plwikiquote,name__uk,wikipedia__be_x_old,wikipedia__ru,wikipedia__uk,name__ja,wikipedia__de,wikipedia__en,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__nl,wikipedia__no,wikipedia__pt,wikipedia__sv,occupation,name__sr,wikipedia__hu,wikipedia__sr,facebook,wikipedia__bewikiquote,name__ar,name__ko,wikipedia__ar,wikipedia__ko,name__kana,wikipedia__es,name__zh,wikipedia__commons
Q10444907,"Yauhien Abalenski",male,,,1973-03-30,Jauhienij,,,,,,,,,,Abalenski,,,,,,,,,,,,,,,,,,"Yauhien Abalenski","Яўген Абаленскі","Оболенский, Евгений Вячеславович","Jauhienij Abalenski",,"Яўген Абаленскі",,,,,,,,,,,,,,"Yauhien Abalenski",,,,"Yauhien Abalenski",,,,,,,"Yauhien Abalenski",,,,,,,,,,,,"Yauhien Abalenski",,,,,,,,,,,,,,,,,,"Jauhienij Abalenski","Jauhienij Abalenski","Яўгеній Вячаслававіч Абаленскі","Jauhienij Abalenski","Оболенський Євген В’ячеславович",,,"Оболенський Євген В’ячеславович",,,,,,,,,,,,,electrician,,,,,,,,,,,,,
Q11712387,"Інеса Анатольеўна Кляшчук",female,,,1978-08-26,Inesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Інеса Анатольеўна Кляшчук",,"Inesa Klaszczuk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Inesa Klaszczuk","Inesa Klaszczuk","Інеса Анатольеўна Кляшчук",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11753400,"Leanid Apanasyuk",male,,,1956-01-08,Leanid,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Leanid Apanasyuk","Леанід Апанасюк","Апанасюк, Леонид Николаевич","Leanid Apanasiuk",,"Леанід Апанасюк",,,,,,,,,,,,,,,,,,"Leanid Apanasyuk",,,,,,,,,,,,,,,,,,,"Leanid Apanasyuk",,,,,,,,,,,,,,,,,,"Leanid Apanasiuk","Leanid Apanasiuk","Леанід Мікалаевіч Апанасюк",,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q11780622,"Мікалай Леанідавіч Самасейка",male,,,1959-10-03,Mikalay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Мікалай Леанідавіч Самасейка",,"Mikałaj Samasiejka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mikałaj Samasiejka","Mikałaj Samasiejka","Мікалай Леанідавіч Самасейка",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13028926,"Валерый Іосіфавіч Варанецкі",male,,,1963-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Валерый Іосіфавіч Варанецкі",,,,"Валеры Варанецкі",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Валерый Іосіфавіч Варанецкі","Валерый Іосіфавіч Варанецкі",,,"Валеры Варанецкі",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13031398,"Марат Генадзьевіч Жылінскі",male,,,1976-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Марат Генадзьевіч Жылінскі",,,,"Марат Жылінскі",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Марат Генадзьевіч Жылінскі","Марат Генадзьевіч Жылінскі",,,"Марат Жылінскі",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14393799,"Elena Beresneva",female,,,1962-06-04,Alena,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elena Beresneva","Алена Пятроўна Бераснева","Береснева, Елена Петровна","Alena Bierasniewa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alena Bierasniewa","Alena Bierasniewa","Алена Пятроўна Бераснева",,,,"Береснева, Елена Петровна",,,,,,,,,,,,,,journalist,,,,,,,,,,,,,
Q14394031,"Uladzimir Bazanau",male,,,1957-11-29,Uladzimir,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Uladzimir Bazanau","Уладзімір Аляксандравіч Базанаў",,"Uładzimir Bazanau",,,,,,,,,,,,,,"Uladzimir Bazanau",,"Uladzimir Bazanau",,,,"Uladzimir Bazanau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Uładzimir Bazanau","Uładzimir Bazanau","Уладзімір Аляксандравіч Базанаў",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14421992,"Aleksandr Myakinnik",male,,,1968-07-17,Alyaksandr,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleksandr Myakinnik","Аляксандр Пятровіч Мякіннік",,"Alaksandr Miakinnik",,,,,,,,,,,,,,,,,,,,"Aleksandr Myakinnik",,,,,,,,,"Alaksandr Miakinnik",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaksandr Miakinnik","Alaksandr Miakinnik","Аляксандр Пятровіч Мякіннік","Alaksandr Miakinnik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14422105,"Мікалай Фёдаравіч Рассоха",male,,,1958-08-03,Mikalay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Мікалай Фёдаравіч Рассоха",,"Mikałaj Rasocha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mikałaj Rasocha","Mikałaj Rasocha","Мікалай Фёдаравіч Рассоха",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
