name,image,id
Ben Smith,https://elections.gov.bm/images/party/BEN-SMITH-OBA.jpg,ben_smith
Christopher Famous,https://elections.gov.bm/images/party/THOMAS-CHRISTOPHER-FAMOUS-PLP.jpg,christopher_famous
Cole Simons,https://elections.gov.bm/images/party/J-COLE-SIMONS-OBA.jpg,cole_simons
Craig Cannonier,https://elections.gov.bm/images/party/LEGAY-CRAIG-CANNONIER-OBA.jpg,craig_cannonier
David Burch,https://elections.gov.bm/images/party/DAVID-A-BURCH-PLP.jpg,david_burch
David Burt,https://elections.gov.bm/images/party/DAVID-BURT-PLP.jpg,david_burt
Dennis Lister,https://elections.gov.bm/images/party/DENNIS-LISTER-PLP.jpg,dennis_lister
Dennis Lister III,https://elections.gov.bm/images/party/DENNIS-LISTER-THIRD-PLP.jpg,dennis_lister_iii
Derrick Burgess,https://elections.gov.bm/images/party/DERRICK-BURGESS-PLP.jpg,derrick_burgess
Diallo Rabain,https://elections.gov.bm/images/party/DIALLO-RABIAN-PLP.jpg,diallo_rabain
Grant Gibbons,https://elections.gov.bm/images/party/GRANT-GIBBONS-OBA.jpg,grant_gibbons
Jamahl Snaith Simmons,https://elections.gov.bm/images/party/JAMAHL-SIMMONS-PLP.jpg,jamahl_snaith_simmons
Jeanne Atherden,https://elections.gov.bm/images/party/JEANNE-ATHERDEN-OBA.jpg,jeanne_atherden
Jeff Baron,https://elections.gov.bm/images/party/JEFF-BARON-OBA.jpg,jeff_baron
Kim Swan,https://elections.gov.bm/images/party/KIM-SWAN-PLP.jpg,kim_swan
Kim Wilson,https://elections.gov.bm/images/party/KIM-N-WILSON-PLP.jpg,kim_wilson
Lawrence Scott,https://elections.gov.bm/images/party/LAWRENCE-SCOTT-PLP.jpg,lawrence_scott
Leah Scott,https://elections.gov.bm/images/party/LEAH-SCOTT-OBA.jpg,leah_scott
Lovitta Foggo,https://elections.gov.bm/images/party/LOVITA-FOGGO.jpg,lovitta_foggo
Michael Dunkley,https://elections.gov.bm/images/party/MICHAEL-H-DUNKLEY-OBA.jpg,michael_dunkley
Michael Scott,https://elections.gov.bm/images/party/MICHAEL-SCOTT-PLP.jpg,michael_scott
Michael Weeks,https://elections.gov.bm/images/party/MICHAEL-WEEKS-PLP.jpg,michael_weeks
Neville Tyrrell,https://elections.gov.bm/images/party/NEVILLE-S-TYRELL-PLP.jpg,neville_tyrrell
Patricia Gordon-Pamplin,https://elections.gov.bm/images/party/PATRICIA-GORDAN-PAMPLIN-OBA.jpg,patricia_gordon-pamplin
Renee Ming,https://elections.gov.bm/images/party/RENEE-MING-PLP.jpg,renee_ming
Rolfe Commissiong,https://elections.gov.bm/images/party/ROLFE-COMMISSIONG-PLP.jpg,rolfe_commissiong
Scott Simmons,https://elections.gov.bm/images/party/SCOTT-SIMMONS-PLP.jpg,scott_simmons
Susan Jackson,https://elections.gov.bm/images/party/SUSAN-JACKSON-OBA.jpg,susan_jackson
Sylvan Richards,https://elections.gov.bm/images/party/SYLVAN-RICHARDS-OBA.jpg,sylvan_richards
Tinee Furbert,https://elections.gov.bm/images/party/TINEE-FURBERT-PLP.jpg,tinee_furbert
Trevor Moniz,https://elections.gov.bm/images/party/TREVOR-MONIZ-OBA.jpg,trevor_moniz
Walter Roban,https://elections.gov.bm/images/party/WALTER-ROBAN-PLP.jpg,walter_roban
Walton Brown,https://elections.gov.bm/images/party/WALTON-BROWN-PLP.jpg,walton_brown
Wayne Caines,https://elections.gov.bm/images/party/WAYNE-MICHAEL-CAINES-PLP.jpg,wayne_caines
Wayne Furbert,https://elections.gov.bm/images/party/WAYNE-FURBERT-PLP.jpg,wayne_furbert
Zane DeSilva,https://elections.gov.bm/images/party/ZANE-DeSILVA-PLP.jpg,zane_desilva
