id,name__en,name__af,name__an,name__br,name__bs,name__ca,name__ceb,name__cs,name__cy,name__da,name__de,name__eo,name__es,name__et,name__eu,name__fi,name__fr,name__ga,name__gl,name__hr,name__hu,name__is,name__it,name__lb,name__lmo,name__lt,name__nds,name__nds_nl,name__nl,name__nn,name__pl,name__pms,name__pt,name__ro,name__sk,name__sl,name__sq,name__sv,name__tr,name__vec,name__wa,name__nb,name__gsw,name,wikipedia__en,gender,birth_date,death_date,given_name,original_wikiname,occupation,identifier__ISNI,identifier__VIAF,identifier__LCAuth,identifier__BNF,identifier__NPG,identifier__FAST,image,wikipedia__es,identifier__wikitree,name__ru
Q14946684,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,male,1913-06-27,2005-10-07,Russell,Russell Dismont,,,,,,,,,,,
Q15453029,Reginald Gray,,,,,,,,,,,,Reginald Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reginald Gray,Reginald Gray (politician),male,1851,1935,Reginald,Reginald Gray (politician),barrister,,63723163,,,,,,,,
Q16732783,Trevor Moniz,,,,,,,,,,,,,,,,,,,,,,Trevor Moniz,,,,,,,,,,,,,,,,,,,,,Trevor Moniz,Trevor Moniz,male,,,Trevor,Trevor Moniz,politician,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1b/Trevor_Moniz.jpg,,,
Q16878583,John Barritt,,,,,,,,John Barritt,,John Barritt,,,,,,John Barritt,,,,,,,,,,,,,,,,,,,,,,,,,,,John Barritt,John Barritt,male,1916-02-14,2014-05-13,John,John Barritt,,,,,,,,,,,
Q20737649,Robert Barritt,,,,,,,,Robert Barritt,,,,,,,,Robert Barritt,,,,,,,,,,,,Robert Barritt,,,,,,,,,,,,,,,Robert Barritt,Robert Barritt,male,1927,2015-06-21,Robert,Robert Barritt,artist,,,,,,,,,,
Q23772603,Marc Bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marc Bean,,,,,,,,,,,,,,,Marc Bean,Marc Bean,male,1974-02-19,,Marc,Marc Bean,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5e/Marc_Bean_PC.png,,,
Q26213612,Ann Cartwright DeCouto,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ann Cartwright DeCouto,,,,,,,,,,,,,,,Ann Cartwright DeCouto,Ann Cartwright DeCouto,female,1941,2016-07-01,,Ann Cartwright DeCouto,,,,,,,,,,,
Q5337230,Edgar F. Gordon,,,,,,,,,,,,Edgar F. Gordon,,,,,,,,,,,,,,,,Edgar F. Gordon,,,,,,,,,,,,,,,Edgar F. Gordon,Edgar F. Gordon,male,1895-03-20,1955-04-20,Edgar,Edgar F. Gordon,physician,,,,,,,,,,
Q5560863,Gilbert Cooper,,,,,,,,,,Gilbert Cooper,,,,,,,,,,,,Gilbert Cooper,,,,,,Gilbert Cooper,,,,,,,,,,,,,,,Gilbert Cooper,Gilbert Cooper,male,1903-07-31,1989-05-29,Gilbert,Gilbert Cooper,politician,,,,,,,,,,
Q5592941,Graham Ingham,,,,,,,,,,Graham Ingham,,Graham Ingham,,,,Graham Ingham,,,,,,Graham Ingham,,,,,,Graham Ingham,,,,,,,,,,,,,,,Graham Ingham,Graham Ingham,male,1851-01-30,1926-04-09,Graham,Graham Ingham,priest,0000 0000 8154 1829,74010677,nr94008652,135250649,mp132826,337511,,,,
Q6409462,Kim Swan,,,,,,,,,,Kim Swan,,Kim Swan,,,,,,,,Kim Swan,,,,,,,,Kim Swan,,,,,,,,,,,,,,,Kim Swan,Kim Swan,male,1957-10-04,,,Kim Swan,politician,,,,,,,,,,
Q6668221,Lois Browne-Evans,,,,,,,,,,,,,,,,Lois Browne-Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,Lois Browne-Evans,Lois Browne-Evans,female,1927-06-01,2007-05-29,Lois,Lois Browne-Evans,,,232537301,,,,,,,,
Q7025038,Nicholas Bayard Dill,,,,,,,,,,Nicholas Bayard Dill,,Nicholas Bayard Dill,,,,Nicholas Bayard Dill,,,,,,,,,,,,Nicholas Bayard Dill,,,,,,,,,,,,,,,Nicholas Bayard Dill,Nicholas Bayard Dill,male,1905-12-28,1993-09-10,Nicholas,Nicholas Bayard Dill,engineer,,,,,,,,Nicholas Bayard Dill,Dill-774,
Q7287829,Ralph Marshall,,,,,,,,,,Ralph Marshall,,,,,,Ralph Marshall,,,,Ralph Marshall,,Ralph Marshall,,,,,,,,,,,,,,,,,,,,,Ralph Marshall,Ralph Marshall,male,1927-05-04,2012-09-18,Ralph,Ralph Marshall,civil engineer,,,,,,,,,,Ральф Маршалл
Q7308649,Reginald Conyers,,,,,,,,,,Reginald Conyers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reginald Conyers,Reginald Conyers,male,1879-09-03,1948-07-26,Reginald,Reginald Conyers,cricketer,,,,,,,,,,
