id,type,name__nl,name__en,name__ga,name__zh,start_date,name__pl,name__fr,name__ja,name__de,name__en_ca,name__en_gb,name__gv,name__ru,name__zh_hant,end_date,name__zh_cn,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__ca,name__co,name__cs,name__cy,name__da,name__de_at,name__de_ch,name__eo,name__es,name__et,name__eu,name__fi,name__frc,name__frp,name__fur,name__gd,name__gl,name__gsw,name__hr,name__hu,name__ia,name__id,name__ie,name__io,name__it,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nb,name__nds,name__nds_nl,name__nn,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__pt,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sv,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,flag,coat_of_arms,identifier__freebase,identifier__gnd,name__ko,name__he,name__sr_ec,name__sr,iso_code,website,identifier__dmoz,identifier__fips,identifier__geonames,replaces,name__ar,name__be,name__bg,name__bpy,name__el,name__fa,name__gn,name__hi,name__is,name__ka,name__kw,name__la,name__mk,name__mr,name__os,name__pnb,name__qu,name__sh,name__tet,name__tg,name__th,name__uk,name__war,name__yi,name__yo,name__eml,name__be_tarask,name__uz,name__nan,name__ta,name__ur,name__hy,name__ceb,name__cbk_zam,name__az,name__ay,identifier__bnf,name__ang,name__mwl,name__so,name__sq,name__zh_hans,name__yue,name__mn,name__ku,name__nah,name__vep,name__ne,name__kk,identifier__tgn,name__dz,name__bs,name__sm,name__arz,name__pa,name__lmo,name__tl,name__ml,name__bn,name__na,name__sl,name__za,name__lad,name__xmf,name__zh_hk,name__zh_sg,name__zh_tw
Q1155409,"state of Brazil",Guanabara,Guanabara,,"瓜納巴拉州",1960-04-14,,"État de Guanabara",,"Guanabara (Bundesstaat)",,,,,,1975-03-15,,,,,,,,,,Guanabara,,,,,,"Estado de Guanabara","Guanabara osariik",,,,,,,,,Guanabara,,,,,,Guanabara,,,,,,,,,,,,,Guanabara,,,,,,,,,,Guanabara,,,,,,,,,Guanabara,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/59/Bandeira_do_Estado_da_Guanabara.png,https://upload.wikimedia.org/wikipedia/commons/3/31/Escudo_Rio_de_Janeiro.gif,/m/04l2z6,4764095-9,"구아나바라 주","גואנברה","Гуанабара","Гуанабара",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q119158,"federal district","Federaal District","Federal District",,"聯邦區",1960-04-21,"Dystrykt Federalny","District Fédéral","ブラジリア連邦直轄区","Bundesdistrikt von Brasilien",,,,"Федеральный округ","聯邦區",,"联邦区","Federale Distrik",,,,,"Distrig kevredadel","Districte Federal del Brasil",,"Distrito Federal do Brasil","Distrito Federal","Distrito Federal",,,"Federacia Distrikto","Distrito Federal",Liiduringkond,"Barruti Federala","Distrito Federal",,,,,"Distrito Federal",,"Brazilski federalni distrikt","Szövetségi kerület","Districto Federal","Distrik Federal Brasil",,,"Distretto Federale",,,,,,,,"Federālais distrikts",,,"Wilayah Persekutuan Brazil",,"Distrito Federal",,,,,,,,"Distret Federal dël Brasil",,"Distrito Federal","Distrito Federal",,,"Districtul Federal",,,"Federal Destrict","Distrito Federal do Brasil","Savezni distrikt Brazila","Brasiliens federala distrikt",,"Federal Bölge",,"Quận liên bang Brasil",,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3c/Bandeira_do_Distrito_Federal_(Brasil).svg,"https://upload.wikimedia.org/wikipedia/commons/e/e0/Brasão_do_Distrito_Federal_(Brasil).svg",/m/012l8y,,"연방구","המחוז הפדרלי של ברזיל","Савезни дистрикт Бразила","Савезни дистрикт Бразила",BR-DF,http://www.df.gov.br/,,BR07,3463504,"Goiás","القطاع الفدرالي البرازيلي","Бразілія, федэральная акруга","Федерален окръг",,,"ناحیه فدرال (برزیل)","Distrito Federal Vrasil",,,"ფედერალური ოლქი","Ranndir an Kesunyans Brasilek","Pagus Foederalis","Федерален округ","शासकीय जिल्हा",,"وفاقی ضلع","Tantasqap suyun","Federalni distrikt Brazila",,,,"Федеральний округ у Бразилії","Distrito Federal han Brasil",,"Brazilian Federal District","Distrito Federal",,"Federal okrug",,"கூட்டரசு மாநிலம்","وفاقی ضلع",,"Federal District (estado sa Brasil)",,"Federal dairə",,,,,,"Distrikti Federal i Brazilit","联邦区",,,,,,,,,,,,,,,,,,,,,,,"聯邦區","联邦区","聯邦區"
Q15499,"state of Brazil","Paraná","Paraná","Paraná","巴拉那州",1889,Parana,"Paraná","パラナ州","Paraná",,,,"Парана",,,,"Paraná",,"Paraná",,,"Paraná","Estat de Paranà",,"Paraná","Paraná","Paraná",,,Paranao,"Paraná","Paraná osariik","Paraná","Paraná",,,,,"Estado do Paraná","Paraná","Paraná","Paraná","Paraná","Paraná",,"Paraná","Paraná",,,,"Paraná",,,Parana,Parana,"Paraná",,"Paraná",,"Paraná",,,"Delstaten Paraná",,"Estat del Paraná","Paraná",,"Paranà",,"Paraná","Paraná",,,"Paraná",,,"Paraná","Paraná",,"Paraná","Paraná","Paraná","Paraná","Paraná",,,"Paraná",,,,"https://upload.wikimedia.org/wikipedia/commons/9/93/Bandeira_do_Paraná.svg","https://upload.wikimedia.org/wikipedia/commons/4/49/Brasão_do_Paraná.svg",/m/01hd3f,,"파라나 주","פרנה",,"Парана",BR-PR,http://www.pr.gov.br,Regional/South_America/Brazil/States/Parana/,BR18,3455077,"Paraná Province","بارانا","Штат Парана","Парана","পারানা","Παρανά","پارانا، برزیل",Parana,"पाराना","Paraná","პარანა","Paraná",Parana,"Парана","पाराना","Парана","پارانا","Paraná suyu","Paraná","Paraná","Парана","รัฐปารานา","Парана","Paraná","פאראנא","Paraná","Paraná","Парана",Parana,"Paraná","பரானா","پارانا","Պարանա","Paraná (estado)","Paraná",Parana,"Parana Istadu‎;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q175,"state of Brazil","São Paulo","São Paulo","São Paulo","圣保罗州",1889,"São Paulo","État de São Paulo","サンパウロ州","São Paulo","São Paulo","São Paulo",,"Сан-Паулу","圣保罗州",,"圣保罗州","São Paulo",,"São Paulo",,,"São Paulo","Estat de São Paulo","São Paulo","São Paulo","São Paulo","São Paulo",,,"San-Paŭlo","São Paulo","São Paulo osariik","São Pauloko estatua","São Paulo",,,,,"Estado de San Paulo - São Paulo","São Paulo","São Paulo","São Paulo","São Paulo","São Paulo",,"Sao Paulo","San Paolo",,,,,,,"San Paulas",Sanpaulu,,,"São Paulo",,"São Paulo","São Paulo",,"Delstaten São Paulo",,"São Paulo (estat)",,,"São Paulo",,"São Paulo","São Paulo",,,"São Paulo",,,"São Paulo","São Paulo",,"São Paulo","São Paulo","São Paulo","San Poło","São Paulo",,,"São Paulo",,,,"https://upload.wikimedia.org/wikipedia/commons/2/2b/Bandeira_do_estado_de_São_Paulo.svg","https://upload.wikimedia.org/wikipedia/commons/1/1a/Brasão_do_estado_de_São_Paulo.svg",/m/01hd58,4051668-4,"상파울루 주","סאו פאולו",,"Сао Пауло",BR-SP,http://www.saopaulo.sp.gov.br,Regional/South_America/Brazil/States/Sao_Paulo/,BR27,3448433,"São Paulo Province","ساو باولو","штат Сан-Паўлу","Сао Пауло","সাও পাউলো","Σάο Πάολο","ایالت سائوپائولو","São Paulo",,"São Paulo","სან-პაულუ","São Paulo","Sanctus Paulus","Сао Паоло","साओ पाउलो","Сан-Паулу","ساؤ پاؤلو","São Paulo suyu","São Paulo",,"Сан Паулу","รัฐเซาเปาลู","Сан-Паулу","São Paulo",,"Sao Paulo","São Paulo",,"San Paulu","São Paulo","சாவோ பாலோ","ساؤ پاؤلو","Սան Պաուլու","São Paulo (estado)","Estado de São Paulo",San-Paulo,,11933588t,"São Paulo","San Poulo","São Paulo","Sao Paulo","圣保罗州","聖保羅州","Сан-Паулу муж","Sao Paolo","São Paulo","San Paulu","साँओ पाउलो",,,,,,,,,,,,,,,,,,,
Q38088,"state of Brazil","Paraíba","Paraíba","Paraíba","帕拉伊巴",1889,"Paraíba","Paraíba","パライバ州","Paraíba","Paraíba","Paraíba",,"Параиба",,,,"Paraíba","Paraíba","Paraíba",,,"Paraíba","Paraíba","Paraíba","Paraíba","Paraíba","Paraíba",,,Paraibo,"Paraíba","Paraíba osariik","Paraíba","Paraíba",,,,,"Paraíba",,"Paraíba","Paraíba","Paraíba","Paraíba",,"Paraíba","Paraíba",,,,,,,Paraiba,Paraiba,"Paraíba",,Paraiba,,"Paraíba","Paraíba",,"Paraíba",,"Paraíba",,,"Paraìba",,"Paraíba","Paraíba",,,"Paraíba",,"Paraíba","Paraíba","Paraíba",,"Paraíba","Paraíba","Paraíba",,"Paraíba",,,"Paraíba",,,,"https://upload.wikimedia.org/wikipedia/commons/b/bb/Bandeira_da_Paraíba.svg",https://upload.wikimedia.org/wikipedia/commons/5/50/Brasao_paraiba.PNG,/m/01hdp5,,"파라이바 주","פאראיבה",,"Параиба",BR-PB,http://www.paraiba.pb.gov.br/,"Regional/South_America/Brazil/States/Paraíba/",BR17,3393098,"Paraíba Province","بارايبا","Штат Параіба","Параиба","পারাইবা","Παραΐμπα","پارائیبا",Parayva,"परेबा","Paraíba","პარაიბა","Paraíba",Parahyba,"Параиба","परैबा","Параибæ","پارائیبا","Paraíba suyu","Paraíba","Paraíba","Параиба","รัฐปาราอีบา","Параїба","Paraíba",,"Paraíba","Paraíba","Параіба",Paraiba,"Paraíba",,"پارائیبا","Պարաիբա","Paraíba (estado sa Brasil)","Paraíba",Paraiba,"Paraiba Istadu",119456089,,,,,,,,,,,,"Параиба",,,,,,,,,,,,,,,,,,
Q39109,"state of Brazil","Minas Gerais","Minas Gerais","Minas Gerais","米纳斯吉拉斯",1889,"Minas Gerais","Minas Gerais","ミナスジェライス州","Minas Gerais",,,,"Минас-Жерайс","米納斯吉拉斯",,,"Minas Gerais","Minas Gerais","Minas Gerais",,,"Minas Gerais","Minas Gerais","Minas Gerais","Minas Gerais","Minas Gerais","Minas Gerais",,,"Minas-Ĝerajso","Estado de Minas Gerais","Minas Geraisi osariik","Minas Gerais","Minas Gerais",,,,,"Minas Xerais - Minas Gerais",,"Minas Gerais","Minas Gerais","Minas Gerais","Minas Gerais",,"Minas Gerais","Minas Gerais",,,,,,,"Minas Žeraisas","Minasžeraisa","Minas Gerais",,"Minas Gerais",,"Minas Gerais",,,"Minas Gerais",,"Minas Gerais","Minas Gerais",,"Minas Gerais",,"Minas Gerais","Minas Gerais",,,"Minas Gerais",,,"Minas Gerais","Minas Gerais",,"Minas Gerais","Minas Gerais","Minas Gerais","Minas Gerais","Minas Gerais",,,"Minas Gerais",,,,https://upload.wikimedia.org/wikipedia/commons/f/f4/Bandeira_de_Minas_Gerais.svg,"https://upload.wikimedia.org/wikipedia/commons/d/d2/Brasão_de_Minas_Gerais.svg",/m/01gh6z,4039398-7,"미나스제라이스 주","מינאס ז'ראיס",,"Минас Жераис",BR-MG,http://www.mg.gov.br/,Regional/South_America/Brazil/States/Minas_Gerais/,BR15,3457153,"Minas Gerais Province","ميناس جيرايس","Штат Мінас-Жэрайс","Минас Жерайс","মিনাস জেরায়িস","Μίνας Ζεράις","میناس گرایس","Minas Gerais","मिनास जेरायज़","Minas Gerais","მინას-ჟერაისი","Minas Gerais","Fodinae Generales","Минаш Жераис","मिनास जेराईस","Минас-Жерайс","مناس گیرائس","Minas Gerais suyu","Minas Gerais","Minas Gerais","Минас Жерайс","รัฐมีนัสเชไรส์","Мінас-Жерайс","Minas Gerais",,"Minas Gerais","Minas Gerais","Мінас-Жэрайс",Minas-jerais,"Minas Gerais","மினாஸ் ஜெரைசு","میناس گیرائس","Մինաս Ժերաիս","Minas Gerais",,Minas-Jerays,"Minas Gerais Istadu",11945096r,,,,"Minas Gerais",,,,,,,,"Минас-Жерайс",7006237,"མི་ནས་ཞེ་རའིས་","Minas Gerais","Minas Gerais",,,,,,,,,,,,,,
Q39517,"state of Brazil","Pará","Pará","Pará","帕拉",1889,"Pará","Pará","パラー州","Pará","Pará","Pará",,"Пара",,,,"Pará",,"Pará",,,"Pará","Pará",,"Pará","Pará","Pará",,"Pará",Parao,"Pará","Pará osariik","Pará","Pará",,,,,"Pará",,"Pará","Pará","Pará","Pará",,"Pará","Pará",,,,,"Pará",,Para,Para,"Pará",,"Pará",,"Pará",,,"Pará",,"Pará",,,"Parà",,"Pará","Pará",,,"Pará",,,"Pará","Pará",,"Pará","Pará","Pará","Pará","Pará",,,"Pará",,,,"https://upload.wikimedia.org/wikipedia/commons/0/02/Bandeira_do_Pará.svg","https://upload.wikimedia.org/wikipedia/commons/b/bc/Brasão_do_Pará.svg",/m/01hdnp,,"파라 주","פארה",,"Пара",BR-PA,http://www.pa.gov.br/,"Regional/South_America/Brazil/States/Pará/",BR16,3393129,"Grão-Pará Province","بارا","Пара","Пара","পারা","Παρά","پارا",Para,,,"პარა","Pará",Para,,"पारा","Пара","پارا","Pará suyu","Pará","Pará","Пара","รัฐปารา","Пара","Pará",,"Pará","Pará","Пара",Para,"Pará",,"پارا","Պարա","Pará (estado)",,Para,"Pará Istadu",119785598,,"Pará",,"Pará",,,,,,,,,,,,,"بارا","ਪਾਰਾ",,,,,,,,,,,,
Q40030,"state of Brazil","Rio Grande do Sul","Rio Grande do Sul","Rio Grande do Sul","南里奥格兰德州",1889,"Rio Grande do Sul","Rio Grande do Sul","リオグランデ・ド・スル州","Rio Grande do Sul","Rio Grande do Sul","Rio Grande do Sul",,"Риу-Гранди-ду-Сул",,,,"Rio Grande do Sul",,"Río Grande do Sul",,,"Rio Grande do Sul","Rio Grande do Sul",,"Rio Grande do Sul","Rio Grande do Sul","Rio Grande do Sul",,"Rio Grande do Sul","Suda Rio-Grando","Río Grande del Sur","Rio Grande do Suli osariik","Rio Grande do Sul","Rio Grande do Sul",,,,,"Río Grande do Sur - Rio Grande do Sul",,"Rio Grande do Sul","Río Grande del Sur","Rio Grande do Sul","Rio Grande do Sul",,"Rio Grande do Sul","Rio Grande do Sul",,,,,,,"Pietų Rio Grandė","Riugrandi du Sula","Rio Grande do Sul",,"Rio Grande do Sul",,"Rio Grande do Sul","Rio Grande do Sul",,"Rio Grande do Sul",,"Rio Grande do Sul",,,"Rio Grande dël Sud",,"Rio Grande do Sul","Rio Grande do Sul",,,"Rio Grande do Sul",,,"Rio Grande do Sul","Rio Grande do Sul",,"Rio Grande do Sul","Rio Grande do Sul","Rio Grande do Sul","Rio Grande do Sul","Rio Grande do Sul",,,"Rio Grande do Sul",,,,https://upload.wikimedia.org/wikipedia/commons/6/63/Bandeira_do_Rio_Grande_do_Sul.svg,"https://upload.wikimedia.org/wikipedia/commons/3/38/Brasão_do_Rio_Grande_do_Sul.svg",/m/01l_9d,,"히우그란지두술 주","ריו גראנדה דו סול",,"Рио Гранде до Сул",BR-RS,http://www.rs.gov.br,,BR23,3451133,"São Pedro do Rio Grande do Sul Province","ريو غراندي دو سول","Штат Рыу-Гранды-ду-Сул","Рио Гранди до Сул","রিও গ্রান্ডে ডো সুল","Ρίο Γκράντε ντο Σουρ","ریو گرانده دو سول","Rio Grande do Sul","रियो ग्रांडे दो सुल","Rio Grande do Sul","რიუ-გრანდი-დუ-სული","Rio Grande do Sul","Rivus Magnus Australis","Јужна Рио Гранде","रियो ग्रांदे दो सुल","Риу-Гранди-ду-Сул","ریو گراند دو سول","Urin Hatunmayu suyu","Rio Grande do Sul","Riu Grande do Sul","Риу Гранди ду Сул","รัฐรีอูกรันดีดูซูล","Ріу-Гранді-ду-Сул","Rio Grande do Sul",,"Rio Grande do Sul","Rio Grande do Sul",,"Riu Grandi du Sul","Rio Grande do Sul","இரியோ கிராண்டு டொ சுல்","جنوبی ریو گرانڈی","Ռիու Գրանդի դու Սուլ","Rio Grande do Sul (estado sa Brasil)","Rio Grande do Sul",Riu-Qrandi-du-Sul,"Rio Grande do Sul Istadu",11951602g,,,,,,,,,"Rio Grande do Sul",,,"Риу-Гранди-ду-Сул",,,,,,,"Rio Grande do Sul",,,,,,,,,,,
Q40040,"state of Brazil",Amazonas,Amazonas,Amazonas,"亚马孙州",1889,Amazonas,Amazonas,"アマゾナス州",Amazonas,,,,"Амазонас",,,,Amazonas,,Amazonas,,,Amazonas,"Estat de l'Amazones",,Amazonas,Amazonas,Amazonas,,,Amazonio,"Estado de Amazonas","Amazonase osariik","Amazonaseko estatua",Amazonas,,,,,"Estado do Amazonas",,Amazonas,Amazonas,Amazonas,Amazonas,,Amazonas,Amazonas,,,,,Amazonas,,"Amazonė",Amazonasa,Amazonas,,Amazonas,,Amazonas,,,"Amazonas i Brasil",,Amazonas,,,Amazonas,,Amazonas,Amazonas,,,Amazonas,,,Amazonas,Amazonas,,Amazonas,Amazonas,Amazonas,Amazonas,Amazonas,,,Amazonas,,,,https://upload.wikimedia.org/wikipedia/commons/6/6b/Bandeira_do_Amazonas.svg,"https://upload.wikimedia.org/wikipedia/commons/2/2c/Brasão_do_Amazonas.svg",/m/01hdky,,"아마조나스 주","אמזונאס",,"Амазонас",BR-AM,http://www.amazonas.am.gov.br/,Regional/South_America/Brazil/States/Amazonas/,BR04,3665361,"Amazonas Province","الأمازون","Штат Амазонас","Амазонас","আমাজোনাস","Αμαζόνας","آمازوناس",Amazonas,"आमेज़ोनास",Amazonas,"ამაზონასი",Amazonas,Amazones,"Амазон","अमेझोनास","Амазонас","ایمازوناس","Amarumayu suyu",Amazonas,Amazonas,,"รัฐอามาโซนัส","Амазонас",Amazonas,,Amazonas,Amazonas,"Амазонас",Amazonas,Amazonas,"அமேசோனாசு","ایمازوناس","Ամազոնաս",Amazonas,,Amazonas,"Amazonas Istado",11978558x,Amazonas,,,Amazonas,,"亞馬遜州",,,Amazonas,,,,,,Amazonas,,,,,,,,,,,,,,,
Q40123,"state of Brazil","Ceará","Ceará","Ceará","塞阿腊",1891,"Ceará","Ceará","セアラー州","Ceará",,,,"Сеара",,,,"Ceará",,"Ceará",,,"Ceará","Ceará","Ceará","Ceará","Ceará","Ceará",,,Cearao,"Ceará","Ceará osariik","Ceará","Ceará",,,,,"Ceará",,"Ceará","Ceará","Ceará","Ceará",,"Ceará","Ceará",,,,,,,Seara,Seara,"Ceará",,"Ceará",,"Ceará",,,"Ceará",,"Ceará",,,"Cearà",,"Ceará","Ceará",,,"Ceará",,,"Ceará","Ceará",,"Ceará","Ceará","Ceará","Ceará","Ceará",,,"Ceará",,,,"https://upload.wikimedia.org/wikipedia/commons/2/2e/Bandeira_do_Ceará.svg","https://upload.wikimedia.org/wikipedia/commons/f/fe/Brasão_do_Ceará.svg",/m/01hdlf,4009641-5,"세아라 주","סיארה",,"Сеара",BR-CE,http://www.ceara.gov.br/,"Regional/South_America/Brazil/States/Ceará/",BR06,3402362,"Ceará Province","سيارا","Штат Сеара","Сеара","কিয়েরা","Σεαρά","سئارا",Ceara,"सियारा","Ceará","სეარა","Ceará",Ceara,"Сеара","सियारा","Сеара","کیارا","Ceará suyu","Ceará","Ceará","Сеара","รัฐเซอารา","Сеара","Ceará",,"Ceará","Ceará",,Seara,"Ceará","சியாரா","سئیرا",,"Ceará (estado sa Brasil)",,Seara,"Ceara Istadu",,,,,,,"塞阿拉州",,,,,,"Сеара",,,,,,,,,,,,,,,,,,
