name,wikipedia__en,area,party,area_id,term,source,id
Alvin CHRISTOPHER,Alvin Christopher,District 2,NDP,2,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",alvin_christopher
Andrew FAHIE,"",District 1,VIP,1,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",andrew_fahie
Delores CHRISTOPHER,"",District 5,NDP,5,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",delores_christopher
Julian FRASER,Julian Fraser,District 3,VIP,3,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",julian_fraser
Kedrick PICKERING,"",District 7,NDP,7,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",kedrick_pickering
Lloyd BLACK,"",District 8,NDP,8,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",lloyd_black
Mark VANTERPOOL,"",District 4,VIP,4,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",mark_vanterpool
Omar HODGE,Omar Hodge,District 6,VIP,6,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",omar_hodge
"PARSONS, Eilieene Lucia","",At large,NDP,none,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003","parsons,_eilieene_lucia"
Ralph T. O'NEAL,Ralph T. O'Neal,District 9,VIP,9,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",ralph_t._o'neal
"SKELTON, Ronnie W.","",At large,NDP,none,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003","skelton,_ronnie_w."
"SMITH, D. Orlando",Orlando Smith,At large,NDP,none,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",orlando_smith
"WATTLEY, Paul P.","",At large,NDP,none,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003","wattley,_paul_p."
Alvin CHRISTOPHER,Alvin Christopher,District 2,VIP,2,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",alvin_christopher
Andrew FAHIE,"",District 1,VIP,1,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",andrew_fahie
Ethlyn SMITH,"",District 5,CCM,5,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",ethlyn_smith
"GEORGE, Reeial","",At large,VIP,none,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999","george,_reeial"
Julian FRASER,Julian Fraser,District 3,VIP,3,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",julian_fraser
Kedrick PICKERING,"",District 7,NDP,7,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",kedrick_pickering
Lloyd BLACK,"",District 8,NDP,8,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",lloyd_black
Mark VANTERPOOL,"",District 4,NDP,4,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",mark_vanterpool
Omar HODGE,Omar Hodge,District 6,VIP,6,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",omar_hodge
"PARSONS, Eileene","",At large,VIP,none,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999","parsons,_eileene"
Ralph T. O'NEAL,Ralph T. O'Neal,District 9,VIP,9,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",ralph_t._o'neal
"SKELTON, Ronnie","",At large,NDP,none,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999","skelton,_ronnie"
"SMITH, D. Orlando",Orlando Smith,At large,NDP,none,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",orlando_smith
Alred FRETT,"",At large,VIP,none,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",alred_frett
Alvin CHRISTOPHER,Alvin Christopher,District 2,IND,2,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",alvin_christopher
Andre PENN,"",District 8,UP,8,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",andre_penn
Conrad MADURO,Conrad Maduro,At large,UP,none,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",conrad_maduro
Eileene PARSONS,"",At large,IND,none,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",eileene_parsons
Ethlyn Eugenie SMITH,"",District 5,IND,5,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",ethlyn_eugenie_smith
H. Lavity STOUTT,Hamilton Lavity Stoutt,District 1,VIP,1,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",hamilton_lavity_stoutt
Oliver CILLS,Oliver Cills,District 3,VIP,3,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",oliver_cills
Omar HODGE,Omar Hodge,District 6,CCM,6,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",omar_hodge
Ralph T. O'NEAL,Ralph T. O'Neal,District 9,VIP,9,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",ralph_t._o'neal
Reeial GEORGE,"",At large,VIP,none,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",reeial_george
Terrence LETTSOME,Terrance B. Lettsome,District 7,VIP,7,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",terrance_b._lettsome
Walwyn BREWLEY,Walwyn Brewley,District 4,CCM,4,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",walwyn_brewley
Cyril ROMNEY,Cyril Romney,District 5,IND,5,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",cyril_romney
E. Walwyn BREWLEY,Walwyn Brewley,District 4,IND,4,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",walwyn_brewley
H. Lavity STOUTT,Hamilton Lavity Stoutt,District 1,VIP,1,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",hamilton_lavity_stoutt
Louis WALTERS,"",District 8,VIP,8,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",louis_walters
Oliver CILLS,Oliver Cills,District 3,VIP,3,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",oliver_cills
Omar HODGE,Omar Hodge,District 6,IPM,6,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",omar_hodge
Prince STOUTT,"",District 2,VIP,2,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",prince_stoutt
Ralph T. O'NEAL,Ralph T. O'Neal,District 9,VIP,9,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",ralph_t._o'neal
Terrence LETTSOME,Terrance B. Lettsome,District 7,VIP,7,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",terrance_b._lettsome
Conrad Maduro,Conrad Maduro,District 2,UP,2,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",conrad_maduro
Cyril Romney,Cyril Romney,District 5,IND,5,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",cyril_romney
E. Walwyn Brewley,Walwyn Brewley,District 4,IND,4,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",walwyn_brewley
H. Lavity Stoutt,Hamilton Lavity Stoutt,District 1,VIP,1,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",hamilton_lavity_stoutt
