id,name,honorific_prefix,honorific_suffix,image,constituency,party,term,source,party_id
aeden,Anthony Eden,Hon,"OBE, JP, MLA",http://www.gov.ky/pls/portal/url/ITEM/F7042E9336F2161AE0406F0A6F1F6887,Bodden Town,People’s Progressive Movement,2013,"http://www.legislativeassembly.ky/portal/page?_pageid=4242,7282402&_dad=portal&_schema=PORTAL",PPM
amclaughlin,Alden McLaughlin,Hon,"MBE, JP, MLA",http://www.gov.ky/pls/portal/url/ITEM/F7042E9336DF161AE0406F0A6F1F6887,George Town,People’s Progressive Movement,2013,"http://www.legislativeassembly.ky/portal/page?_pageid=4242,7282402&_dad=portal&_schema=PORTAL",PPM
amclean,Arden McLean,Mr,"JP, MLA",http://www.gov.ky/pls/portal/url/ITEM/F704DBF4888AEB7FE0406F0A6F1F0186,East End,Independent,2013,"http://www.legislativeassembly.ky/portal/page?_pageid=4242,7282402&_dad=portal&_schema=PORTAL",IND
asuckoo,Alva Suckoo,Mr,"",http://www.gov.ky/pls/portal/url/ITEM/F704DBF48882EB7FE0406F0A6F1F0186,Bodden Town,People’s Progressive Movement,2013,"http://www.legislativeassembly.ky/portal/page?_pageid=4242,7282402&_dad=portal&_schema=PORTAL",PPM
bbush,Bernie Bush,Mr,"",http://www.gov.ky/pls/portal/url/ITEM/F704DBF48892EB7FE0406F0A6F1F0186,West Bay,United Democratic Party,2013,"http://www.legislativeassembly.ky/portal/page?_pageid=4242,7282402&_dad=portal&_schema=PORTAL",UDP
eebanks,Eugene Ebanks,Capt,"JP, MLA",http://www.gov.ky/pls/portal/url/ITEM/F7042E9336D6161AE0406F0A6F1F6887,West Bay,United Democratic Party,2013,"http://www.legislativeassembly.ky/portal/page?_pageid=4242,7282402&_dad=portal&_schema=PORTAL",UDP
emiller,D Ezzard Miller,Mr,MLA,http://www.gov.ky/pls/portal/url/ITEM/F704DBF4889AEB7FE0406F0A6F1F0186,North Side,Independent,2013,"http://www.legislativeassembly.ky/portal/page?_pageid=4242,7282402&_dad=portal&_schema=PORTAL",IND
jhew,Joseph Hew,Mr,"",http://www.gov.ky/pls/portal/url/ITEM/F704DBF488A3EB7FE0406F0A6F1F0186,George Town,People’s Progressive Movement,2013,"http://www.legislativeassembly.ky/portal/page?_pageid=4242,7282402&_dad=portal&_schema=PORTAL",PPM
joconnorconnolly,Juliana O'Connor-Connolly,Hon,"JP, MLA",http://www.gov.ky/pls/portal/url/ITEM/F7049ED6C5E6259AE0406F0A6F1F0184,Cayman Brac and Little Cayman,People’s Progressive Movement,2013,"http://www.legislativeassembly.ky/portal/page?_pageid=4242,7282402&_dad=portal&_schema=PORTAL",PPM
ktibbetts,D Kurt Tibbetts,Hon,"OBE, JP, MLA",http://www.gov.ky/pls/portal/url/ITEM/F7042E93370B161AE0406F0A6F1F6887,George Town,People’s Progressive Movement,2013,"http://www.legislativeassembly.ky/portal/page?_pageid=4242,7282402&_dad=portal&_schema=PORTAL",PPM
marcher,Marco Archer,Hon,MLA,http://www.gov.ky/pls/portal/url/ITEM/F7049ED6C5EE259AE0406F0A6F1F0184,George Town,People’s Progressive Movement,2013,"http://www.legislativeassembly.ky/portal/page?_pageid=4242,7282402&_dad=portal&_schema=PORTAL",PPM
mbush,W McKeeva Bush,Hon,"OBE, JP, MLA",http://www.gov.ky/pls/portal/url/ITEM/F7049ED6C5FE259AE0406F0A6F1F0184,West Bay,United Democratic Party,2013,"http://www.legislativeassembly.ky/portal/page?_pageid=4242,7282402&_dad=portal&_schema=PORTAL",UDP
mkirkconnell,Moses Kirkconnell,Hon,"JP, MLA",http://www.gov.ky/pls/portal/url/ITEM/F7049ED6C606259AE0406F0A6F1F0184,Cayman Brac and Little Cayman,People’s Progressive Movement,2013,"http://www.legislativeassembly.ky/portal/page?_pageid=4242,7282402&_dad=portal&_schema=PORTAL",PPM
obodden,Osbourne Bodden,Hon,MLA,http://www.gov.ky/pls/portal/url/ITEM/F7049ED6C60E259AE0406F0A6F1F0184,Bodden Town,People’s Progressive Movement,2013,"http://www.legislativeassembly.ky/portal/page?_pageid=4242,7282402&_dad=portal&_schema=PORTAL",PPM
rmctaggart,Roy McTaggart,Mr,"",http://www.gov.ky/pls/portal/url/ITEM/F704DBF488ABEB7FE0406F0A6F1F0186,George Town,Independent,2013,"http://www.legislativeassembly.ky/portal/page?_pageid=4242,7282402&_dad=portal&_schema=PORTAL",IND
trivers,Tara Rivers,Hon,MLA,http://www.gov.ky/pls/portal/url/ITEM/F704DBF48872EB7FE0406F0A6F1F0186,West Bay,Independent,2013,"http://www.legislativeassembly.ky/portal/page?_pageid=4242,7282402&_dad=portal&_schema=PORTAL",IND
wconolly,Winston Conolly,Mr,MLA,http://www.gov.ky/pls/portal/url/ITEM/F704DBF488B3EB7FE0406F0A6F1F0186,George Town,Independent,2013,"http://www.legislativeassembly.ky/portal/page?_pageid=4242,7282402&_dad=portal&_schema=PORTAL",IND
wpanton,Wayne Panton,Hon,MLA,http://www.gov.ky/pls/portal/url/ITEM/F704DBF4887AEB7FE0406F0A6F1F0186,Bodden Town,People’s Progressive Movement,2013,"http://www.legislativeassembly.ky/portal/page?_pageid=4242,7282402&_dad=portal&_schema=PORTAL",PPM
