uuid,female,male,other,skip,total
10087da4-a5a6-4508-bb68-6ff53a0ad35a,0,1,0,0,1
17e764fa-7034-49d2-8a08-ee687ab5edb9,0,2,0,0,2
19ae0136-48ac-4d69-a907-634323633ddd,0,1,0,0,1
27d97ced-b01c-4054-8b71-da2bc9c54a29,0,1,0,0,1
2d1badd9-dfb4-4db7-8194-eecf8ef41f83,0,2,0,0,2
309370cf-c106-4263-8b0c-5623d2edc8c8,0,0,0,1,1
3e8ea2ca-f198-42f9-88c2-beff647901dd,0,0,0,1,1
4567788a-3078-4e84-b80f-eca0098b955e,0,0,0,2,2
46c119ca-2306-4593-90a6-ff241a83ec4f,0,1,0,1,2
4fd42f04-25ed-450c-ba96-e1e66a78da50,0,0,0,1,1
53988560-2989-4540-900b-05e7260b0376,0,1,0,1,2
546dd525-d7b7-4dba-88a0-00964f01fcfa,0,0,0,2,2
5efa1195-9815-4b77-a377-5f844bed65a8,0,1,0,0,1
5f325b73-a2e5-402f-99a3-88326caaa81a,0,0,0,2,2
6ee9b612-171a-4564-811d-3a023e695c69,0,1,0,0,1
702d0bed-bbe2-4cfa-aa20-d8d6aae81720,0,0,0,1,1
74db8892-8c5b-43f7-ab4a-964170984fcf,0,1,0,1,2
94daa717-2142-4281-9a6e-debabde4d897,0,1,0,0,1
c1392749-e5ce-4af6-8ab0-136952a43bcb,0,0,0,2,2
cb636068-6a68-4928-b34d-ac8fc467b0b1,0,1,0,1,2
d10fac88-65de-4acb-a4a3-f2009e2e86a5,0,0,0,2,2
e9817320-bb67-49fb-97ed-568bc98d6799,0,1,0,1,2
ecf64cc0-56fb-4079-8bd9-8bac04a5b6d7,0,1,0,1,2
f3cc0bcc-d2c8-4d6e-8860-af0d7f682bd3,0,0,0,1,1
