id,label,description,type
Q2207925,Finance Minister of the Czech Republic,"",cabinet
Q25515749,Minister for Regional Development,Czech minister,cabinet
Q12052836,"Minister of Education, Youth and Sport of the Czech Republic",Wikimedia list article,cabinet
Q2501396,Minister of Foreign Affairs,Minister of Foreign Affairs in Czech Republic,cabinet
Q25507811,Minister of Industry and Trade,Czech government minister,cabinet
Q24050789,Minister of the Interior,"",cabinet
Q20058795,Minister of the Interior of the Czech Republic,"",cabinet
Q3409229,Prime Minister of the Czech Republic,"",cabinet
Q28808262,Minister of Agriculture,Czech government minister,unknown
Q27479703,Minister of Labour and Social Affairs,Member of Czech government,unknown
Q1819381,President of the Czech Republic,"",executive
