id,label,description,type
Q12310252,Danish Minister for Commerce,"",cabinet
Q20069142,Danish Minister of Transport,"",cabinet
Q1815344,Defence Minister of Denmark,"",cabinet
Q21070726,Deputy Prime Minister,of Denmark,cabinet
Q12312037,Education and Research Minister,Minister in the Danish cabinet,cabinet
Q5340905,Education Minister of Denmark,"",cabinet
Q5449541,Finance Minister of Denmark,"",cabinet
Q6317024,Justice Minister of Denmark,"",cabinet
Q25776270,Minister for Climate and Energy,Danish minister,cabinet
Q6865812,Minister for Ecclesiastical Affairs of Denmark,"",cabinet
Q24300568,"Minister for Food, Agriculture and Fisheries",Danish minister,cabinet
Q18913275,Minister for Health,Danish cabinet minister,cabinet
Q11991832,Minister for Nordic Co-operation,Danish minister,cabinet
Q1311756,Minister for the Environment,Danish cabinet position,cabinet
Q12341969,Minister of Economic and Business Affairs,Danish minister,cabinet
Q6866144,Minister of Foreign Affairs,Minister of Foreign Affairs for Denmark,cabinet
Q25513955,Minister of Social Affairs,Danish cabinet position,cabinet
Q18913269,Minister of the Interior,Danish cabinet minister,cabinet
Q795477,Prime Minister of Denmark,position,cabinet
Q7689385,Tax Minister of Denmark,"",cabinet
Q27169,member of the European Parliament,person who has been elected to the European Parliament,other_legislatures
Q18913281,leader of Venstres Ungdoms,"",party
Q12311817,member of the Folketing,"",self
Q18913290,Speaker of the Folketing,Speaker of the Danish parliament,self
Q27923963,Culture Minister of Denmark,"",cabinet
Q27924167,Danish Minister for Gender Equality,"",cabinet
Q11781520,Danish Minister for Labour,minister in Danish government,cabinet
Q27923951,Danish Minister for Senior Citizens,"",cabinet
Q12327313,Minister for 2009 United Nations Climate Change Conference,former Danish cabinet minister,cabinet
Q27990812,Minister for Economic Affairs,Danish Minister for Economic Affairs,cabinet
Q12337702,Minister for Health,Danish Minister of Health,cabinet
Q27940846,Minister for Public Innovation,in Denmark,cabinet
