id,name__da,name__pl,name__nb,name__en,name__fr,name__de,name__fo,name__is,name__kl,name__nn,name__sv,name__nl,name__es,name__hu,name,wikipedia__commons,wikipedia__da,wikipedia__de,wikipedia__en,wikipedia__fr,wikipedia__no,wikipedia__pl,image,gender,occupation,identifier__VIAF,identifier__GND,birth_date,identifier__freebase,given_name,website,identifier__EuroparlMEP,weblog,twitter,original_wikiname,name__it,name__ru,instagram,facebook,name__id,wikipedia__id,wikipedia__sv,name__nds,name__lb,name__zh,name__he,name__ko,name__be,name__ta,name__oc,name__ms,name__lv,name__gl,name__et,name__ja,name__br,name__el,name__vi,name__sh,name__ar,name__pt,name__eo,name__tr,name__ro,name__se,name__ca,name__fi,name__uk,name__be_tarask,name__cs,name__io,name__fa,name__az,name__lt,name__pt_br,name__cy,name__de_ch,name__en_ca,name__en_gb,name__sr,name__lmo,name__sco,name__arz,name__ie,name__la,name__sk,name__hy,name__th,wikipedia__ar,wikipedia__arz,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__br,wikipedia__ca,wikipedia__cs,wikipedia__cy,wikipedia__dawikiquote,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fo,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__hy,wikipedia__ie,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__lt,wikipedia__lv,wikipedia__ms,wikipedia__nds,wikipedia__nl,wikipedia__nn,wikipedia__oc,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__sco,wikipedia__se,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sr,wikipedia__ta,wikipedia__th,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__zh,identifier__LCAuth,identifier__IMDB,identifier__NNDB,identifier__Munzinger,identifier__parlement,identifier__quora,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,family_name,identifier__IIAF,death_date,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__FAST,identifier__PACE,identifier__OLID,identifier__BIBSYS,identifier__SELIBR,name__ka,identifier__NTA,wikipedia__dewikiquote,wikipedia__fiwikiquote,name__sl,wikipedia__sl,identifier__snac,identifier__google_knowledge,name__ia,wikipedia__ia,wikipedia__kl,identifier__MusicBrainz,name__sq,wikipedia__sq,linkedin,name__sr_el,name__sr_ec,identifier__NLI,wikipedia__eswikiquote,name__bar,name__fit,identifier__google_scholar,identifier__discogs,wikipedia__ukwikiquote,identifier__allmovie,identifier__SFDb,identifier__SCOPE,identifier__kinopoisk,identifier__DNF,identifier__ne_se,name__de_at,name__gsw,wikipedia__cswikiquote,wikipedia__svwikiquote,name__jv,name__qu,name__yo,name__eu,name__hsb,name__bg,wikipedia__bg,wikipedia__enwikiquote,wikipedia__eu,wikipedia__hsb,wikipedia__itwikiquote,wikipedia__jv,wikipedia__ka,wikipedia__qu,wikipedia__yo,identifier__GTAA,identifier__nlg,political_alignment,wikipedia__frwikiquote,identifier__PORT,identifier__CSFD,name__bs,name__bn,name__ga,name__ast,name__hr,name__an,name__ku,name__mr,name__vro,name__tt,name__ba,name__ne,name__mg,wikipedia__an,wikipedia__ast,wikipedia__bn,wikipedia__bs,wikipedia__dewikinews,wikipedia__fawikiquote,wikipedia__fiu_vro,wikipedia__ga,wikipedia__hr,wikipedia__ku,wikipedia__mg,wikipedia__mr,wikipedia__ruwikinews,wikipedia__srwikinews,wikipedia__trwikinews,wikipedia__tt,identifier__GNC,name__ur,wikipedia__ur,wikipedia__nowikiquote,wikipedia__dawikisource
Q10271941,"Allan Niebuhr",,,"Allan Niebuhr","Allan Niebuhr","Allan Niebuhr",,,,,,,,,"Allan Niebuhr","Category:Allan Niebuhr","Allan Niebuhr",,,,,,https://upload.wikimedia.org/wikipedia/commons/a/ab/Allan_Niebuhr_(KF)_Danmark.jpg,male,,,,1951-09-01,,Allan,,,,,"Allan Niebuhr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1029520,"Kaj Ikast",,,"Kaj Ikast","Kaj Ikast","Kaj Ikast",,,,,"Kaj Ikast","Kaj Ikast","Kaj Ikast","Kaj Ikast","Kaj Ikast",,"Kaj Ikast","Kaj Ikast",,"Kaj Ikast",,,,male,politician,,,1935-12-05,,Kaj,,,,,"Kaj Ikast",,,,,,,"Kaj Ikast",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10314433,"Kirsten Jacobsen",,,"Kirsten Jacobsen","Kirsten Jacobsen","Kirsten Jacobsen",,,,,,,,,"Kirsten Jacobsen",,"Kirsten Jacobsen",,,,,,,female,,64140871,,1942-02-18,,Kirsten,,,,,"Kirsten Jacobsen",,,,,,,,,,,,,,,,,,,,,,,,,,"Kirsten Jacobsen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kirsten Jacobsen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-12-02,"0000 0000 2956 6324",13076851k,057364001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1079744,"Christian Friis Bach","Christian Friis Bach","Christian Friis Bach","Christian Friis Bach","Christian Friis Bach","Christian Friis Bach",,,,,,"Christian Friis Bach","Christian Friis Bach","Christian Friis Bach","Christian Friis Bach","Category:Christian Friis Bach","Christian Friis Bach","Christian Friis Bach","Christian Friis Bach","Christian Friis Bach","Christian Friis Bach","Christian Friis Bach",https://upload.wikimedia.org/wikipedia/commons/f/f2/Christian-friis-bach.2000-11-14.jpg,male,economist,80732288,136377157,1966-04-29,/m/0zm_5_c,Christian,,,,,"Christian Friis Bach",,,,,,,,,,,,,,,,,,,,,,,,,"كريستيان باش",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nb2010003409,,,,,,,,,,,,Bach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10853676,"Marie Krarup",,"Marie Krarup","Marie Krarup","Marie Krarup","Marie Krarup","Marie Krarup","Marie Krarup","Marie Krarup","Marie Krarup","Marie Krarup","Marie Krarup",,,"Marie Krarup",,"Marie Krarup",,,,"Marie Krarup",,,female,politician,,,1965-12-06,,Marie,http://www.mariekrarup.dk/,,http://puls.politiko.dk/author/mariekrarup/,MarieKrarup,"Marie Krarup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1091154,"Jens Bilgrav-Nielsen",,,"Jens Bilgrav-Nielsen","Jens Bilgrav-Nielsen",,,,,,"Jens Bilgrav-Nielsen","Jens Bilgrav-Nielsen",,,"Jens Bilgrav-Nielsen",,"Jens Bilgrav-Nielsen",,,"Jens Bilgrav-Nielsen",,,,male,teacher,,,1936-05-14,,Jens,,,,,"Jens Bilgrav-Nielsen",,,,,,,"Jens Bilgrav-Nielsen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10967294,"Rasmus Jarlov",,"Rasmus Jarlov","Rasmus Jarlov","Rasmus Jarlov","Rasmus Jarlov","Rasmus Jarlov","Rasmus Jarlov","Rasmus Jarlov","Rasmus Jarlov","Rasmus Jarlov","Rasmus Jarlov",,,"Rasmus Jarlov",,"Rasmus Jarlov",,,,"Rasmus Jarlov",,,male,politician,,,1977-04-29,,Rasmus,http://www.jarlov.dk/,,http://puls.politiko.dk/author/rasmusjarlov/,RasmusJarlov,"Rasmus Jarlov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rasmus Jarlov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1101406,"Erling Olsen","Erling Olsen",,"Erling Olsen","Erling Olsen","Erling Olsen",,,,,"Erling Olsen","Erling Olsen","Erling Olsen","Erling Olsen","Erling Olsen",,"Erling Olsen",,"Erling Olsen","Erling Olsen",,"Erling Olsen",,male,politician,51849329,,1927-04-18,/m/04zzr8y,Erling,,,,,"Erling Olsen",,,,,,,"Erling Olsen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Erling Olsen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n78033523,,,,,,,,,,,,,,2011-06-27,"0000 0001 0901 0908",13526082g,05035566X,1759902,,,,,,148651283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11126408,"Knud Enggaard",,"Knud Enggaard","Knud Enggaard","Knud Enggaard",,,,,,"Knud Enggaard","Knud Enggaard",,,"Knud Enggaard",,"Knud Enggaard",,"Knud Enggaard","Knud Enggaard",,,,male,politician,,,1929-06-04,,Knud,,,,,"Knud Enggaard",,,,,,,,,,,,,,,,,,,"Knud Enggaard",,,,,,,,,"Knud Enggaard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Knud Enggaard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Knud Enggaard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11257352,"Hans-Pavia Rosing",,"Hans-Pavia Rosing",,"Hans-Pavia Rosing",,,,,,"Hans-Pavia Rosing",,,,"Hans-Pavia Rosing",,"Hans-Pavia Rosing",,,,"Hans-Pavia Rosing",,,male,,,,1948-06-22,,,,,,,"Hans-Pavia Rosing",,,,,,,"Hans-Pavia Rosing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
