id,name,photo,source,date_of_birth,party,cons,area,term
1139,محمد فتحى خالد يوسف الحشاش,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=1139,http://www.parliament.gov.eg/members/,1952-11-01,مستقل,الأولى,الأولى,2015
1143,يسرى فهمى المغازى إبراهيم,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=1143,http://www.parliament.gov.eg/members/,1946-12-28,مستقل,الدقهلية,الدقهلية,2015
123,عبدالنبى محمد عبد النبى السمان,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=123,http://www.parliament.gov.eg/members/,1967-01-01,المصريين الاحرار,الثانية,الثانية,2015
127,السيد محمود احمد حسين الشريف,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=127,http://www.parliament.gov.eg/members/,1956-03-04,مستقل,الثانية,الثانية,2015
136,كمال احمد محمد احمد,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=136,http://www.parliament.gov.eg/members/,1941-03-13,مستقل,الاسكندرية,الاسكندرية,2015
1387,احمد فؤاد سليمان بغدادى أباظة,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=1387,http://www.parliament.gov.eg/members/,1952-01-16,مستقل,الشرقية,الشرقية,2015
175,عبد العاطى مسعود عبد اللطيف حميدة الشيخ,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=175,http://www.parliament.gov.eg/members/,1957-01-05,مستقل,البحيرة,البحيرة,2015
1864,فيصل عبد الرحمن محمد بدر,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=1864,http://www.parliament.gov.eg/members/,1957-12-10,مستقل,الثانية,الثانية,2015
205,همام العادلى مصطفى محمد عدلى عطا الله,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=205,http://www.parliament.gov.eg/members/,1953-07-02,مستقل,سوهاج,سوهاج,2015
230,عبد المنعم العليمى محمد العطار,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=230,http://www.parliament.gov.eg/members/,1942-03-19,مستقل,الغربية,الغربية,2015
2320,محمد حسين عبد الرحيم حسين,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=2320,http://www.parliament.gov.eg/members/,1941-07-21,مستقل,أسيوط,أسيوط,2015
233,طلعت عماد الدين صادق السويدى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=233,http://www.parliament.gov.eg/members/,1962-06-21,الوفد الجديد,الشرقية,الشرقية,2015
245,محمد على يوسف مرسى ابراهيم,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=245,http://www.parliament.gov.eg/members/,1968-12-28,مستقل,الثالثة,الثالثة,2015
253,محمد فؤاد محسن بدراوى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=253,http://www.parliament.gov.eg/members/,1953-05-02,مستقل,الدقهلية,الدقهلية,2015
271,مرتضى احمد محمد منصور,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=271,http://www.parliament.gov.eg/members/,1952-06-17,مستقل,الدقهلية,الدقهلية,2015
289,محمد كمال على مرعى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=289,http://www.parliament.gov.eg/members/,1958-07-12,مستقل,الغربية,الغربية,2015
2916,عصام الدين فخرى مأمون محمد القاضى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=2916,http://www.parliament.gov.eg/members/,1961-08-10,مستقبل وطن,البحيرة,البحيرة,2015
2917,خالد عبد المنعم فراج عبد الرحيم مجاهد,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=2917,http://www.parliament.gov.eg/members/,1965-07-10,المصريين الاحرار,الاقصر,الاقصر,2015
2939,محمد ابو الطيب احمد فخرى احمد قنديل,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=2939,http://www.parliament.gov.eg/members/,1963-05-23,مستقل,قنا,قنا,2015
2979,محمد انور احمد عصمت السادات,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=2979,http://www.parliament.gov.eg/members/,1955-11-28,الاصلاح والتنمية,المنوفية,المنوفية,2015
2997,علاء الدين عبد المنعم سيد عبد العال,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=2997,http://www.parliament.gov.eg/members/,1951-01-03,مستقل,الأولى,الأولى,2015
2998,محمد مصطفى بكرى محمد,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=2998,http://www.parliament.gov.eg/members/,1956-05-16,مستقل,الثانية,الثانية,2015
