id,label,type
Q16405106,Minister of Agriculture,cabinet
Q16402952,Minister of Culture,cabinet
Q23725838,Minister of Culture and Education,cabinet
Q3741249,Minister of Defence,cabinet
Q21121665,Minister of Economic Affairs and Communications,cabinet
Q16403845,Minister of Economic Affairs and Infrastructure,cabinet
Q6866110,Minister of Education and Research,cabinet
Q20933474,Minister of Entrepreneurship,cabinet
Q21103025,Minister of Finance,cabinet
Q1760777,Minister of Foreign Affairs,cabinet
Q24058803,Minister of Foreign Trade and Entrepreneurship,cabinet
Q24060082,Minister of Health and Labour,cabinet
Q20528230,Minister of Justice,cabinet
Q24061775,Minister of Population and Ethnic Affairs,cabinet
Q20528404,Minister of Public Administration,cabinet
Q23268238,Minister of Regional Affairs,cabinet
Q24060239,Minister of Rural Affairs,cabinet
Q16402881,Minister of Social Affairs,cabinet
Q24060088,Minister of Social Protection,cabinet
Q12361541,Minister of the Environment,cabinet
Q6866431,Minister of the Interior,cabinet
Q24067751,minister without portfolio,cabinet
Q737115,Prime Minister of Estonia,cabinet
Q948558,European Commissioner for Digital Agenda,other
Q3740505,Mayor of Tallinn,other
Q6627739,Mayor of Tartu,other
Q27169,member of the European Parliament,other_legislatures
Q21100241,member of the Estonian Riigikogu,self
Q140686,chairperson,unknown
