id,name__et,name__it,name,wikipedia__et,image,gender,birth_date,given_name,original_wikiname,wikipedia__commons,name__de,name__pl,name__ru,name__fr,name__en,name__lt,name__da,name__sk,name__sl,name__fi,name__ca,name__cs,name__hr,name__la,name__pt,name__ro,name__sv,name__nl,name__es,name__nb,name__nn,name__hu,wikipedia__da,wikipedia__de,wikipedia__en,wikipedia__fr,wikipedia__it,wikipedia__lt,wikipedia__nl,wikipedia__pl,wikipedia__ru,wikipedia__sv,occupation,identifier__freebase,identifier__EuroparlMEP,name__uk,wikipedia__fi,wikipedia__la,wikipedia__uk,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__co,name__cy,name__eo,name__eu,name__fur,name__ga,name__gd,name__gl,name__gsw,name__is,name__lb,name__li,name__lij,name__lmo,name__nap,name__nds,name__nds_nl,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sco,name__sq,name__tr,name__vec,name__vls,name__wa,identifier__VIAF,identifier__LCAuth,name__lv,wikipedia__lv,website,identifier__IMDB,identifier__MusicBrainz,identifier__AlloCine,identifier__discogs,identifier__allmovie,identifier__SFDb,identifier__PORT,identifier__kinopoisk,identifier__CSFD,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__NTA,identifier__PACE,identifier__etis_ee,name__ja,wikipedia__ja,wikipedia__tr,name__bm,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__frc,name__frp,name__ia,name__id,name__ie,name__io,name__jam,name__kab,name__kg,name__mg,name__min,name__ms,name__nrm,name__oc,name__pap,name__prg,name__pt_br,name__rgn,name__sr_el,name__sw,name__vi,name__vmf,name__vo,name__wo,name__zu,wikipedia__ca,wikipedia__es,wikipedia__plwikiquote,wikipedia__ro,identifier__GND,identifier__elonet,identifier__DNF,name__hy,wikipedia__hy,identifier__google_knowledge,name__zh,name__he,name__bg,name__be,name__el,name__fa,name__zh_cn,name__zh_hans,name__ka,name__ko,wikipedia__be,wikipedia__bg,wikipedia__cs,wikipedia__el,wikipedia__enwikiquote,wikipedia__fa,wikipedia__he,wikipedia__hu,wikipedia__io,wikipedia__is,wikipedia__ka,wikipedia__liwikiquote,wikipedia__no,wikipedia__oc,wikipedia__zh,identifier__Munzinger,identifier__FAST,death_date,wikipedia__pt,wikipedia__etwikiquote,wikipedia__nn,family_name,twitter,wikipedia__id,name__az,wikipedia__az,name__ar,name__ta,name__mk,name__hsb,name__tpi,wikipedia__ar,wikipedia__ast,wikipedia__hsb,wikipedia__ie,wikipedia__ko,wikipedia__lb,wikipedia__ruwikinews,wikipedia__ta,wikipedia__tpi,wikipedia__vi,identifier__parlement,name__yo,name__sr,name__se,wikipedia__eo,wikipedia__eu,wikipedia__fiwikiquote,wikipedia__ga,wikipedia__gl,wikipedia__sco,wikipedia__se,wikipedia__simple,wikipedia__sl,wikipedia__sr,wikipedia__yo,identifier__NNDB,identifier__GTAA,name__mn,name__vro,wikipedia__fiu_vro,wikipedia__mn,identifier__IIAF,name__fo,name__zh_hant,name__zh_hk,name__zh_sg,name__zh_tw,name__be_tarask,wikipedia__be_x_old,wikipedia__ukwikiquote
Q11023034,"Ivi Eenmaa",,"Ivi Eenmaa","Ivi Eenmaa","https://upload.wikimedia.org/wikipedia/commons/b/b2/Eenmaa,_Ivi.IMG_0385.JPG",female,1943-06-02,,"Ivi Eenmaa","Category:Ivi Eenmaa","Ivi Eenmaa",,,"Ivi Eenmaa","Ivi Eenmaa",,"Ivi Eenmaa",,,,,,,,,,"Ivi Eenmaa","Ivi Eenmaa",,"Ivi Eenmaa","Ivi Eenmaa",,,,"Ivi Eenmaa",,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30871246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11032994,"Urve Tiidus","Urve Tiidus","Urve Tiidus","Urve Tiidus",https://upload.wikimedia.org/wikipedia/commons/6/6d/RE_Urve_Tiidus.jpg,female,1954-06-06,Urve,"Urve Tiidus","Category:Urve Tiidus","Urve Tiidus","Urve Tiidus",,"Urve Tiidus","Urve Tiidus",,,,,"Urve Tiidus",,,,"Urve Tiidus",,,,"Urve Tiidus","Urve Tiidus",,,,,"Urve Tiidus","Urve Tiidus","Urve Tiidus","Urve Tiidus",,,"Urve Tiidus",,,journalist,,,,"Urve Tiidus","Urve Tiidus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"烏芙·提杜斯",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11158997,"Sven Sester",,"Sven Sester","Sven Sester",https://upload.wikimedia.org/wikipedia/commons/e/e8/IRL_Sven_Sester.jpg,male,1969-07-14,Sven,"Sven Sester","Category:Sven Sester","Sven Sester","Sven Sester","Свен Сестер","Sven Sester","Sven Sester",,,,,"Sven Sester",,,,,,,"Sven Sester","Sven Sester","Sven Sester",,,"Sven Sester",,"Sven Sester","Sven Sester","Sven Sester",,,,"Sven Sester","Сестер, Свен","Sven Sester",politician,/m/0t_g1hj,,,"Sven Sester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1149033,"Tõnis Lukas",,"Tõnis Lukas","Tõnis Lukas","https://upload.wikimedia.org/wikipedia/commons/d/dc/Estonian_education_minister_Tõnis_Lukas_in_Tartu_18_October_2007.jpg",male,1962-06-05,,"Tõnis Lukas","Category:Tõnis Lukas","Tõnis Lukas","Tõnis Lukas","Лукас, Тынис","Tõnis Lukas","Tõnis Lukas","Tõnis Lukas","Tõnis Lukas","Tõnis Lukas","Tõnis Lukas","Tõnis Lukas","Tõnis Lukas","Tõnis Lukas","Tõnis Lukas","Tõnis Lukas","Tõnis Lukas","Tõnis Lukas","Tõnis Lukas","Tõnis Lukas","Tõnis Lukas","Tõnis Lukas","Tõnis Lukas","Tõnis Lukas",,"Tõnis Lukas","Tõnis Lukas","Tõnis Lukas",,,,"Tõnis Lukas","Лукас, Тынис",,politician,/m/08v2g3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40216450,no98112509,,,http://www.lukas.ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tõnis Lukas",,,120715899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11716283,"Margus Tsahkna",,"Margus Tsahkna","Margus Tsahkna",https://upload.wikimedia.org/wikipedia/commons/5/58/IRL_Margus_Tsahkna.jpg,male,1977-04-13,,"Margus Tsahkna","Category:Margus Tsahkna","Margus Tsahkna","Margus Tsahkna","Маргус Тсахкна","Margus Tsahkna","Margus Tsahkna",,,,,"Margus Tsahkna",,,,,,,"Margus Tsahkna","Margus Tsahkna",,,,,,"Margus Tsahkna","Margus Tsahkna","Margus Tsahkna",,,,"Margus Tsahkna","Тсахкна, Маргус","Margus Tsahkna",politician,/m/0t_ccjr,,,"Margus Tsahkna",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Margus Tsahkna",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11857954,"Enn Eesmaa",,"Enn Eesmaa","Enn Eesmaa",https://upload.wikimedia.org/wikipedia/commons/f/fe/KE_Enn_Eesmaa.jpg,male,1946,Enn,"Enn Eesmaa","Category:Enn Eesmaa",,,,,"Enn Eesmaa",,,,,"Enn Eesmaa",,,,,,,,,,,,,,,,,,,,,,,journalist,,,,"Enn Eesmaa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11869065,"Kaja Kallas",,"Kaja Kallas","Kaja Kallas",https://upload.wikimedia.org/wikipedia/commons/e/e0/RE_Kaja_Kallas.jpg,female,1977-06-18,Kaja,"Kaja Kallas","Category:Kaja Kallas","Kaja Kallas","Kaja Kallas","Кая Каллас","Kaja Kallas","Kaja Kallas",,,"Kaja Kallas",,"Kaja Kallas",,"Kaja Kallas",,,,,"Kaja Kallas","Kaja Kallas","Kaja Kallas","Kaja Kallas","Kaja Kallas",,,"Kaja Kallas","Kaja Kallas","Kaja Kallas",,,"Kaja Kallas","Kaja Kallas",,"Kaja Kallas",politician,/m/012tvcbp,124697,"Кая Каллас","Kaja Kallas",,"Кая Каллас",,,,,,,,,,"Kaja Kallas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.europarl.europa.eu/meps/nl/124697/KAJA_KALLAS_home.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kallas,kajakallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11869429,"Kalle Palling",,"Kalle Palling","Kalle Palling",https://upload.wikimedia.org/wikipedia/commons/b/b5/RE_Kalle_Palling.jpg,male,1985-02-27,Kalle,"Kalle Palling","Category:Kalle Palling",,,,"Kalle Palling","Kalle Palling",,,,,"Kalle Palling",,,,,,,,,,,,,,,"Kalle Palling",,,,,,,,,,,,"Kalle Palling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12358062,"Aadu Must","Aadu Must","Aadu Must","Aadu Must",https://upload.wikimedia.org/wikipedia/commons/8/8f/Aadu_Must.jpg,male,,Aadu,"Aadu Must","Category:Aadu Must","Aadu Must","Aadu Must",,"Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must",,"Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must",,,,,,,,,,,,,,,,,,"Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must","Aadu Must",,,,,,,,,,,,,,,,,,,,c8690fee-3683-4b8e-975c-ba529dde801c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12358088,"Aare Heinvee",,"Aare Heinvee","Aare Heinvee",https://upload.wikimedia.org/wikipedia/commons/e/e6/RE_Aare_Heinvee.jpg,male,,,"Aare Heinvee","Category:Aare Heinvee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
