id,name__fo,name__sv,name__nb,name__da,name,wikipedia__commons,wikipedia__da,wikipedia__fo,wikipedia__no,wikipedia__sv,image,gender,birth_date,given_name,original_wikiname,occupation,name__en,name__it,name__hu,name__de,name__nl,wikipedia__de,wikipedia__hu,wikipedia__nowikiquote,name__pl,wikipedia__pl,name__fr,name__zh,name__es,name__ja,wikipedia__en,wikipedia__ja,identifier__freebase,website,identifier__VIAF,death_date,name__fi,wikipedia__fi,name__eo,name__is,name__ru,name__id,name__nn,name__cs,name__el,name__gv,wikipedia__cs,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__fr,wikipedia__gv,wikipedia__id,wikipedia__is,wikipedia__it,wikipedia__nl,wikipedia__nn,wikipedia__ru,wikipedia__zh,name__tr,name__et,wikipedia__et,wikipedia__tr,facebook,name__ia,wikipedia__ia,identifier__GND,identifier__LCAuth,name__nds,identifier__google_knowledge,name__cy,name__zh_hant,name__zh_cn,identifier__SUDOC,name__os,name__sh,name__az,name__ca,name__lt,name__mg,wikipedia__az,wikipedia__ca,wikipedia__lt,wikipedia__mg,wikipedia__os,wikipedia__sh,name__gl,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lv,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__pt,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sw,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name__ar,wikipedia__ar,identifier__ISNI,identifier__BNF
Q1001510,"Finnbogi Arge",,"Finnbogi Arge","Finnbogi Arge","Finnbogi Arge",,"Finnbogi Arge","Finnbogi Arge","Finnbogi Arge",,,male,1955-09-06,Finnbogi,"Finnbogi Arge",,,,"Finnbogi Arge",,"Finnbogi Arge",,"Finnbogi Arge",,,,"Finnbogi Arge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1009810,"Gerhard Lognberg",,"Gerhard Lognberg","Gerhard Lognberg","Gerhard Lognberg",,"Gerhard Lognberg","Gerhard Lognberg","Gerhard Lognberg",,https://upload.wikimedia.org/wikipedia/commons/e/ee/Gerhard_Lognberg_2012.jpg,male,1950-11-01,Gerhard,"Gerhard Lognberg",,,,"Gerhard Lognberg",,"Gerhard Lognberg",,"Gerhard Lognberg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1035008,,"Heini Heinesen","Heini O. Heinesen","Heini O. Heinesen","Heini O. Heinesen",,"Heini O. Heinesen",,"Heini O. Heinesen","Heini Heinesen",,male,1938-08-06,Heini,"Heini O. Heinesen",,,,"Heini O. Heinesen",,"Heini Heinesen",,"Heini O. Heinesen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1035514,"Hergeir Nielsen",,"Hergeir Nielsen","Hergeir Nielsen","Hergeir Nielsen",,"Hergeir Nielsen","Hergeir Nielsen","Hergeir Nielsen",,https://upload.wikimedia.org/wikipedia/commons/c/ce/Hergeir_Nielsen_2012.jpg,male,1949-08-27,Hergeir,"Hergeir Nielsen",teacher,"Hergeir Nielsen",,"Hergeir Nielsen",,"Hergeir Nielsen",,"Hergeir Nielsen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1036083,"Heðin Zachariasen",,"Heðin Zachariasen","Heðin Zachariasen","Heðin Zachariasen",,"Heðin Zachariasen","Heðin Zachariasen","Heðin Zachariasen",,,male,1959-09-13,,"Heðin Zachariasen",politician,,,"Heðin Zachariasen",,"Heðin Zachariasen",,"Heðin Zachariasen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1062961,"Kári P. Højgaard","Kári P. Højgaard","Kári P. Højgaard","Kári P. Højgaard","Kári P. Højgaard","Category:Kári P. Højgaard","Kári P. Højgaard","Kári P. Højgaard","Kári P. Højgaard","Kári P. Højgaard",https://upload.wikimedia.org/wikipedia/commons/8/88/Kari_P_Hojgaard.jpg,male,1951-07-21,,"Kári P. Højgaard",politician,"Kári P. Højgaard",,"Kári P. Højgaard","Kári P. Højgaard","Kári P. Højgaard","Kári P. Højgaard","Kári P. Højgaard",,,,"Kári P. Højgaard",,"Kári P. Højgaard",,"Kári P. Højgaard",,/m/02q_qv7,,,,,,,,,,,"Kári P. Højgaard",,,"Kári P. Højgaard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10963463,"Asbjørn Joensen",,"Asbjørn Joensen","Asbjørn Joensen","Asbjørn Joensen",,"Asbjørn Joensen","Asbjørn Joensen","Asbjørn Joensen",,,male,1927-07-11,"Asbjørn","Asbjørn Joensen",,,,,,,,,,,,,,,,,,,,,1993-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10974089,"Jacob Lindenskov",,"Jacob Lindenskov","Jacob Lindenskov","Jacob Lindenskov",,"Jacob Lindenskov","Jacob Lindenskov","Jacob Lindenskov",,,male,1933-06-10,Jacob,"Jacob Lindenskov",,,,,"Jacob Lindenskov",,"Jacob Lindenskov",,,,,"Jacob Lindenskov",,,,,,,,6583204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10975495,"Flemming Mikkelsen",,"Flemming Mikkelsen",,"Flemming Mikkelsen",,,"Flemming Mikkelsen","Flemming Mikkelsen",,,male,1930-11-21,Flemming,"Flemming Mikkelsen",blacksmith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10978976,"Mikkjal Sørensen",,"Mikkjal Sørensen",,"Mikkjal Sørensen",,,"Mikkjal Sørensen","Mikkjal Sørensen",,"https://upload.wikimedia.org/wikipedia/commons/e/e8/Mikkjal_Sørensen_a_Faroese_politician,_the_Mayor_of_Porkeri_Municipality.jpg",male,1956-06-18,,"Mikkjal Sørensen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
