id,label,description,type
Q3278079,Deputy Prime Minister of Finland,"",cabinet
Q11895142,Minister for European Affairs and Foreign Trade,in Finland,cabinet
Q2386529,Minister for Foreign Affairs of Finland,person handling Finland's foreign affairs,cabinet
Q17118521,Minister for International Development,in Finland,cabinet
Q24205201,Minister of Agriculture and Forestry,Finnish cabinet position,cabinet
Q23725756,Minister of Culture,Finnish cabinet position,cabinet
Q188393,Minister of Defence,cabinet minister in Finland,cabinet
Q10495404,Minister of Economic Affairs,cabinet minister of Finland,cabinet
Q11895091,Minister of Education and Culture of Finland,member of the government of Finland,cabinet
Q2367542,Minister of Finance,cabinet minister of Finland,cabinet
Q18694348,Minister of Health and Social Services,Finnish Cabinet minister,cabinet
Q1294631,Minister of Justice,Minister of Justice in Finland,cabinet
Q10563305,Minister of Labour,member of the government of Finland,cabinet
Q1425432,Minister of the Environment,Finnish cabinet minister,cabinet
Q1445938,Minister of the Interior,Finnish Minister of the Interior,cabinet
Q5482321,Minister of the Ministry of Finance,Finnish deputy Minister,cabinet
Q10495390,Minister of Trade and Industry,government minister of Finland,cabinet
Q15934457,Minister of Transport,in Finland,cabinet
Q11895063,Minister of Transport and Communications,in Finland,cabinet
Q25713902,Minister of Transport and Local Government,Finnish cabinet position,cabinet
Q738695,Prime Minister of Finland,position,cabinet
Q29558,President of Finland,Finland's head of state,executive
Q1780230,European Commissioner for Economic and Monetary Affairs and the Euro,"",other
Q1478101,European Commissioner for Enlargement and European Neighbourhood Policy,position,other
Q1780221,European Commissioner for Industry and Entrepreneurship,"",other
Q2472167,High Commissioner on National Minorities,OSCE Commissioner,other
Q19185575,President of the Nordic Council,position in the Nordic Council,other
Q24238352,Secretary General of the Nordic Council,head of the Nordic Council Secretariat,other
Q7925068,Vice President of the European Parliament,"",other
Q27169,member of the European Parliament,person who has been elected to the European Parliament,other_legislatures
Q22981837,Chairperson of the National Coalition Party,leader of Finnish political party,party
Q22981850,Leader of the Centre Party,Finnish party leader,party
Q17592486,member of the Parliament of Finland,"",self
Q392228,Speaker of the Parliament of Finland,position,self
