id,identifier__freebase,type,start_date,name__et,name__en,name__fi,name__sv,name__it,name__sco,name__zh,name__fr,end_date,replaced_by,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__ca,name__co,name__cs,name__cy,name__da,name__de,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__es,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__ia,name__id,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nb,name__nds,name__nds_nl,name__nl,name__nn,name__nrm,name__oc,name__pap,name__pcd,name__pl,name__pms,name__prg,name__pt,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sk,name__sr_el,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu
Q16250421,,"Electoral district of Finland",,,"Åland","Ahvenanmaan maakunnan vaalipiiri","Landskapet Ålands valkrets",,,"奧蘭群島選區",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18691231,,"Electoral district of Finland",,,"South-Eastern Finland","Kaakkois-Suomen vaalipiiri","Sydöstra Finlands valkrets",,,,"Finlande du sud-est",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18691405,,"Electoral district of Finland",,,Savonia-Karelia,"Savo-Karjalan vaalipiiri","Savolax-Karelens valkrets",,,,Savonia-Karelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3736054,/m/09w68_,"Electoral district of Finland",1907,"Uusimaa valimisringkond",Uusimaa,"Uudenmaan vaalipiiri","Nylands valkrets",Uusimaa,Uusimaa,"新地選區",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3736245,/m/09jhss,"Electoral district of Finland",1952,"Helsingi valimisringkond",Helsinki,"Helsingin vaalipiiri","Helsingfors valkrets",,,"赫爾辛基選區",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5061084,,"Electoral district of Finland",,,"Central Finland","Keski-Suomen vaalipiiri","Mellersta Finlands valkrets",,,"中芬蘭選區",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5450453,/m/09jhhf,"Electoral district of Finland",,,"Finland Proper","Varsinais-Suomen vaalipiiri","Egentliga Finlands valkrets","Collegio elettorale della Vera Finlandia",,"西南芬蘭選區","Finlande extrême Sud Ouest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6304209,/m/09w3j9,"Electoral district of Finland",1962,,Kymi,"Kymen vaalipiiri","Kymmene valkrets",,,"基米選區",,2011,"South-Eastern Finland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6304273,/m/09w50v,"Electoral district of Finland",,,Pirkanmaa,"Pirkanmaan vaalipiiri","Birkalands valkrets",,,"皮爾卡選區",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6304318,/m/09w5k3,"Electoral district of Finland",1962,,"Southern Savonia","Etelä-Savon vaalipiiri","Södra Savolax valkrets",,,"南薩沃尼亞選區","Savonie du Sud",2011,"South-Eastern Finland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6304483,/m/09w5b6,"Electoral district of Finland",,,Satakunta,"Satakunnan vaalipiiri","Satakunta valkrets",,,"薩卡昆達選區",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6304515,/m/09w40c,"Electoral district of Finland",1962,,"Northern Savonia","Pohjois-Savon vaalipiiri","Norra Savolax valkrets",,,"北薩沃尼亞選區",,2011,Savonia-Karelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
