id,wikidata
union_pour_un_mouvement_populaire,Q173152
"socialiste,_radical_et_citoyen_et_divers_gauche",Q2236823
"socialiste,_radical_et_citoyen",Q2236823
non-inscrit,Q327591
nouveau_centre,Q853418
gauche_démocrate_et_républicaine,Q2450519
"apparenté_socialiste,_radical_et_citoyen_et_divers_gauche",Q2236823
apparenté_à_l'union_pour_un_mouvement_populaire,Q173152
députés_n'appartenant_à_aucun_groupe,Q327591
apparenté_nouveau_centre,Q853418
apparenté_union_pour_un_mouvement_populaire,Q173152
tahoeraa_huiraatira,Q3513932
union_pour_la_majorité_présidentielle,Q173152
parti_socialiste,Q170972
les_républicains,Q20012759
socialiste,Q170972
union_pour_la_démocratie_française,Q827415
parti_radical_de_gauche,Q427965
europe_Écologie_les_verts,Q613786
parti_communiste_français,Q192821
debout_la_france,Q12962
parti_socialiste_guyanais,Q3366765
no_oe_e_te_nuna'a,Q3342491
mouvement_indépendantiste_martiniquais,Q3142671
front_national,Q205150
