id,label,type
Q1408517,Minister of Labour,cabinet
Q21113166,Minister of City Affairs,cabinet
Q1587677,Prime Minister of France,cabinet
Q15215099,Minister of the Armed Forces,cabinet
Q3251880,Minister of Health,cabinet
Q12436652,Minister of Culture (France),cabinet
Q16059954,Minister of National Education,cabinet
Q25398921,Minister of Higher Education,cabinet
Q20203208,Minister of Foreign Affairs,cabinet
Q29962890,Minister of Europe and Foreign Affairs,cabinet
Q20202948,"Minister of the Economy, Finances and Industry",cabinet
Q17553783,Minister of Justice,cabinet
Q20203006,Minister of the Interior,cabinet
Q3251870,Minister of Youth Affairs and Sports,cabinet
