id,name__fr,name__nb,name__da,name__nn,name__sv,name__en,name__nl,name,wikipedia__fr,image,gender,identifier__VIAF,identifier__BNF,birth_date,family_name,given_name,identifier__sycomore,twitter,original_wikiname,name__en_ca,name__en_gb,name__es,name__de,name__ca,name__oc,name__it,name__hu,wikipedia__en,wikipedia__oc,facebook,name__tr,wikipedia__de,wikipedia__tr,identifier__SUDOC,identifier__freebase,name__pl,name__ro,wikipedia__pl,wikipedia__ro,website,identifier__EuroparlMEP,name__la,wikipedia__ca,wikipedia__it,wikipedia__la,name__ru,name__el,identifier__ISNI,name__pt,name__mk,name__eo,name__uk,name__zh,wikipedia__commons,wikipedia__el,wikipedia__eo,wikipedia__frwikiquote,wikipedia__pt,wikipedia__uk,wikipedia__zh,identifier__GND,identifier__LCAuth,name__lb,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ja,name__vi,name__hr,name__ar,wikipedia__ar,wikipedia__da,wikipedia__es,wikipedia__hr,wikipedia__ja,wikipedia__lb,wikipedia__vi,identifier__IMDB,name__mg,wikipedia__mg,name__de_ch,name__br,wikipedia__br,wikipedia__ru,name__eu,name__he,name__yo,name__ms,name__et,name__id,name__ckb,name__fi,name__mr,name__fa,name__bg,name__io,name__lt,name__be,name__cs,name__sco,name__cy,name__hy,name__ie,name__ko,wikipedia__bg,wikipedia__ckb,wikipedia__cs,wikipedia__cy,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__frwikinews,wikipedia__he,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__itwikiquote,wikipedia__ko,wikipedia__lt,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__no,wikipedia__plwikiquote,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sv,wikipedia__yo,identifier__AlloCine,identifier__Munzinger,identifier__GNC,identifier__FAST,death_date,name__mwl,wikipedia__mwl,identifier__MusicBrainz,identifier__NTA,name__af,name__an,name__ast,name__bar,name__co,name__de_at,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__ia,name__is,name__kg,name__li,name__lij,name__min,name__nap,name__nds,name__nds_nl,name__nrm,name__pcd,name__pms,name__pt_br,name__rm,name__sc,name__scn,name__sk,name__sl,name__sr_el,name__sw,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,instagram,wikipedia__simple,name__ta,wikipedia__ta,wikipedia__nrm,identifier__senatDOTfr,wikipedia__cswikiquote,linkedin,identifier__PACE,name__mn,wikipedia__mn,identifier__CANTIC,name__kw,name__sr_ec,name__sh,name__hi,name__th,name__km,name__ka,name__sr,name__sq,name__lv,wikipedia__af,wikipedia__als,wikipedia__ast,wikipedia__be,wikipedia__enwikinews,wikipedia__frp,wikipedia__frwikisource,wikipedia__ga,wikipedia__gl,wikipedia__hi,wikipedia__ka,wikipedia__km,wikipedia__kw,wikipedia__lv,wikipedia__mk,wikipedia__nds,wikipedia__nn,wikipedia__sh,wikipedia__sk,wikipedia__sq,wikipedia__sr,wikipedia__th,name__gv,wikipedia__gv,name__be_tarask,wikipedia__be_x_old,identifier__PTBNP,wikipedia__sl,identifier__parlement,name__bs,name__ceb,name__lmo,name__bo,name__mzn,name__nov,name__pih,wikipedia__bo,wikipedia__ia,wikipedia__mzn,wikipedia__ruwikiquote,name__szl,wikipedia__szl,name__az,wikipedia__az,wikipedia__trwikiquote,wikipedia__is,identifier__Britannica,identifier__GTAA,name__ty,wikipedia__ty,identifier__SBN_it,identifier__kinopoisk,identifier__NLA,wikipedia__bs,name__arz,name__bcl,name__bn,name__dsb,name__ext,name__fy,name__hsb,name__jv,name__kk,name__kn,name__lad,name__my,name__pam,name__qu,name__se,name__so,name__tl,name__tt,name__uz,name__vep,name__war,name__xmf,name__yi,name__ku,name__mt,name__pa,name__ln,name__hak,name__eml,name__yue,name__ne,name__kab,name__fo,name__ml,name__ur,name__ce,name__av,wikipedia__an,wikipedia__arz,wikipedia__av,wikipedia__bcl,wikipedia__bn,wikipedia__cawikinews,wikipedia__ce,wikipedia__co,wikipedia__dsb,wikipedia__elwikiquote,wikipedia__eml,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__eowikinews,wikipedia__ext,wikipedia__fo,wikipedia__fy,wikipedia__gd,wikipedia__hak,wikipedia__hewikiquote,wikipedia__hsb,wikipedia__jv,wikipedia__kab,wikipedia__kg,wikipedia__kk,wikipedia__kn,wikipedia__ku,wikipedia__lad,wikipedia__lmo,wikipedia__ln,wikipedia__ml,wikipedia__mt,wikipedia__my,wikipedia__nlwikiquote,wikipedia__pam,wikipedia__pa,wikipedia__ptwikinews,wikipedia__qu,wikipedia__scn,wikipedia__se,wikipedia__so,wikipedia__tl,wikipedia__tt,wikipedia__ur,wikipedia__uz,wikipedia__vec,wikipedia__vep,wikipedia__war,wikipedia__xmf,wikipedia__yi,wikipedia__zh_yue,identifier__CiNii,identifier__BNE,identifier__BIBSYS,name__rw,wikipedia__rw,name__xh,name__tw,wikipedia__ceb,wikipedia__pcd,wikipedia__tw,wikipedia__xh,wikipedia__pms,identifier__ULAN,identifier__NDL,wikipedia__eswikiquote,name__bm,name__frc,name__jam,name__pap,name__prg,name__rgn,name__vmf,wikipedia__zh_min_nan,name__nan,name__kl,wikipedia__ptwikiquote,wikipedia__dewikinews,identifier__NNDB,identifier__CSPAN,name__ug,name__wuu,wikipedia__arwikiquote,wikipedia__ug,wikipedia__wuu,identifier__NKC,identifier__IIAF,wikipedia__fawikiquote,identifier__CSFD,identifier__bigenc_ru,identifier__OLID,wikipedia__azb,identifier__google_knowledge,identifier__guardian_topic,name__azb
Q1027406,Fanélie Carrey-Conte,Fanélie Carrey-Conte,Fanélie Carrey-Conte,Fanélie Carrey-Conte,Fanélie Carrey-Conte,Fanélie Carrey-Conte,Fanélie Carrey-Conte,Fanélie Carrey-Conte,Fanélie Carrey-Conte,https://upload.wikimedia.org/wikipedia/commons/7/70/Fanélie_Carrey-Conte.jpg,female,,,1980-05-16,,Fanélie,18572,FCarreyConte,Fanélie Carrey-Conte,,,,Fanélie Carrey-Conte,,,,Fanélie Carrey-Conte,,,fanelie.carreyconte,,Fanélie Carrey-Conte,,,,,,,,http://www.faneliecarreyconte.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10287,Manuel Valls,Manuel Valls,Manuel Valls,Manuel Valls,Manuel Valls,Manuel Valls,Manuel Valls,Manuel Valls,Manuel Valls,https://upload.wikimedia.org/wikipedia/commons/1/1c/Valls_Toulouse_2012.JPG,male,10142929,15104128n,1962-08-13,,Manuel,10782,manuelvalls,Manuel Valls,Manuel Valls,Manuel Valls,Manuel Valls,Manuel Valls,Manuel Valls,Manuel Valls,Manuel Valls,Manuel Valls,Manuel Valls,Manuel Valls,manuelvalls,Manuel Valls,Manuel Valls,Manuel Valls,092378005,/m/047drb0,Manuel Valls,Manuel Valls,Manuel Valls,Manuel Valls,,,Manuel Valls,Manuel Valls i Galfetti,Manuel Valls,Manuel Valls,Мануэль Вальс,Μάνουελ Βαλλς,0000 0001 2020 7824,manuel vall,Мануел Валс,Manuel Valls,Мануель Вальс,曼纽尔·瓦尔斯,Category:Manuel Valls,Μανουέλ Βαλλς,Manuel Valls,Manuel Valls,Manuel Valls,Мануель Вальс,曼纽尔·瓦尔斯,1013106393,n2007063578,Manuel Valls,,,,曼纽尔·瓦尔斯,,,マニュエル・ヴァルス,Manuel Valls,Manuel Valls,مانوال فالس,مانويل فالس,Manuel Valls,Manuel Valls (político),Manuel Valls,マニュエル・ヴァルス,Manuel Valls,Manuel Valls,,,,Manuel Valls,Manuel Valls,Manuel Valls,"Вальс, Мануэль",Manuel Valls,מנואל ואלס,,,Manuel Valls,Manuel Valls,,Manuel Valls,,مانوئل والس,,,,,Manuel Valls,Manuel Valls,,Մանուել Վալս,Manuel Valls,마누엘 발스,,,Manuel Valls,,Manuel Valls,Manuel Valls,مانوئل والس,Manuel Valls,Catégorie:Manuel Valls,מנואל ואלס,Manuel Valls,Մանուել Վալս,Manuel Valls,Manuel Valls,,Manuel Valls,마뉘엘 발스,,,,Manuel Valls,Manuel Valls,Manuel Valls,Категория:Мануэль Вальс,Manuel Valls,Manuel Valls,,,00000029155,,1684582,,,,,,,,,,,,Manuel Valls,,Manuel Valls,,Manuel Valls,Manuel Valls,,Manuel Valls,,,,,,,,,,,Manuel Valls,,,,Manuel Valls,,,,,,,,,,,Manuel Valls,,,,,Manuel Valls,,,,,,,,Manuel Valls,,มานุแอล วาลส์,,მანუელ ვალსი,Мануел Валс,,,,Manuel Valls,,,,Manuel Valls,,Manuel Valls,Manuel Valls,,მანუელ ვალსი,,,,Мануел Валс,,Manuel Valls,Manuel Valls,Manuel Valls,,Мануел Валс,มานุแอล วาลส์,,,,,,,,,,,,,,,,,,Мануэль Вальс,,,,,,Manuel Valls,biography/Manuel-Valls,237293,,,,,,,,,,,,,Manuel Valls,,,,,,,,,,,,,,,,,,,,Manuel Valls,,,,,,,,,,,,,,,,,,,,,,Manuel Valls,,,,,,,,,Manuel Valls,,,,,,,,,Manuel Valls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1103356,Sylvie Andrieux,Sylvie Andrieux,Sylvie Andrieux,Sylvie Andrieux,Sylvie Andrieux,Sylvie Andrieux,Sylvie Andrieux,Sylvie Andrieux,Sylvie Andrieux,,female,,,1961-12-15,Andrieux,Sylvie,141,andrieux_sylvie,Sylvie Andrieux,,,Sylvie Andrieux,Sylvie Andrieux,,,,Sylvie Andrieux,Sylvie Andrieux,,,,Sylvie Andrieux,,,/m/04zw5l_,,,,,https://sylvieandrieux.wordpress.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1108330,Avi Assouly,,,,,Avi Assouly,Avi Assouly,Avi Assouly,Avi Assouly,https://upload.wikimedia.org/wikipedia/commons/5/5f/Avi_Assouly-IMG_5677.JPG,male,,,1950-06-05,,Avi,18577,,Avi Assouly,,,,Avi Assouly,,,Avi Assouly,Avi Assouly,,,avi.assouly,,Avi Assouly,,,,,,,,,,,,,,,,,,,,,,Category:Avi Assouly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q117340,François de Rugy,,,,,François de Rugy,François de Rugy,François de Rugy,François de Rugy,https://upload.wikimedia.org/wikipedia/commons/0/02/François_De_Rugy_-_Assemblée_Nationale_-_20111025-02.jpg,male,250659381,16607606f,1973-12-06,,François,17282,FdeRugy,François de Rugy,,,François de Rugy,François de Rugy,François de Rugy,François de Rugy,,François de Rugy,François de Rugy,,francoisderugy,François de Rugy,,François de Rugy,164531831,,,,,,http://www.francoisderugy.fr/,,,,,,,,0000 0003 7117 2160,,,,,,Category:François de Rugy,,,,,,,,n2012076712,,,,,,,,,,,,,,,,,,,,,,,François de Rugy,François de Rugy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1192864,Pierre Morel-A-L'Huissier,Pierre Morel-A-L'Huissier,Pierre Morel-A-L'Huissier,Pierre Morel-A-L'Huissier,Pierre Morel-A-L'Huissier,Pierre Morel-A-L'Huissier,Pierre Morel à l'Huissier,Pierre Morel-A-L'Huissier,Pierre Morel-A-L'Huissier,https://upload.wikimedia.org/wikipedia/commons/2/23/Pierre_morel_a_l'huissier.jpg,male,69207294,15009964r,1958-12-21,,Pierre,10612,morelpierre,Pierre Morel-A-L'Huissier,,,Pierre Morel-A-L'Huissier,Pierre Morel-A-L’Huissier,,,,Pierre Morel-A-L'Huissier,Pierre Morel-A-L'Huissier,,pierremorelalhuissier,,Pierre Morel-A-L’Huissier,,092898890,/m/04zz6qc,Pierre Morel-À-L'Huissier,,,,http://www.pierre-morel.fr/,,,,,,,,0000 0001 1493 1592,,,,,,,,,,,,,143422162,,,,,,,,,,,Pierre Morel-À-L'Huissier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pierre Morel-À-L'Huissier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12922,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,https://upload.wikimedia.org/wikipedia/commons/7/7b/Pierre-Alain_Muet_-_Janvier_2012.jpg,male,68933297,119171679,1945-01-01,,Pierre-Alain,17359,pierrealainmuet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,muetpierrealain,Pierre-Alain Muet,,,027041948,/m/04zx_w5,Pierre-Alain Muet,Pierre-Alain Muet,,,http://www.pierrealainmuet.fr/,,,,,,,,0000 0001 1573 4988,Pierre-Alain Muet,,Pierre-Alain Muet,,,Category:Pierre-Alain Muet,,,,,,,170085848,n84083924,Pierre-Alain Muet,,,,,,,,Pierre-Alain Muet,Pierre-Alain Muet,,,,,,,,,,Pierre-Alain Muet,,Pierre-Alain Muet,Pierre-Alain Muet,,,Pierre-Alain Muet,,,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,,Pierre-Alain Muet,,,,Pierre-Alain Muet,Pierre-Alain Muet,,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,,Pierre-Alain Muet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070514127,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,,,,,,,,,,,,,,,,,,,,,,Pierre-Alain Muet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pierre-Alain Muet,Pierre-Alain Muet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,Pierre-Alain Muet,,,Pierre-Alain Muet,,,,,,,,,,,,,,,,,,,
Q12924,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,,female,,,1951-06-01,,Dominique,18485,,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,,Dominique Nachury,DominiqueNachury,Dominique Nachury,,,,,Dominique Nachury,Dominique Nachury,,,http://www.dominique-nachury.com/,,,,,,,,,Dominique Nachury,,Dominique Nachury,,,,,,,,,,,,Dominique Nachury,,,,,,,,Dominique Nachury,Dominique Nachury,,,,,,,,,,Dominique Nachury,,Dominique Nachury,Dominique Nachury,,,Dominique Nachury,,,Dominique Nachury,Dominique Nachury,Dominique Nachury,,Dominique Nachury,,,,Dominique Nachury,Dominique Nachury,,Dominique Nachury,Dominique Nachury,Dominique Nachury,,Dominique Nachury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,,,,,,,,,,,,,,,,,,,,,,Dominique Nachury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dominique Nachury,Dominique Nachury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,Dominique Nachury,,,Dominique Nachury,,,,,,,,,,,,,,,,,,,
Q12926,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,,female,134237842,162251696,1944-05-20,,Pascale,17295,,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,pascale.crozon,Pascale Crozon,,,,/m/04zy5b6,Pascale Crozon,Pascale Crozon,,,http://pascalecrozon.org/,,,,,,,,,Pascale Crozon,,Pascale Crozon,,,,,,,,,,,,Pascale Crozon,,,,,,,,Pascale Crozon,Pascale Crozon,,,,,,,,,,Pascale Crozon,,Pascale Crozon,Pascale Crozon,,,Pascale Crozon,,,Pascale Crozon,Pascale Crozon,Pascale Crozon,,Pascale Crozon,,,,Pascale Crozon,Pascale Crozon,,Pascale Crozon,Pascale Crozon,Pascale Crozon,,Pascale Crozon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,,,,,,,,,,,,,,,,,,,,,,Pascale Crozon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pascale Crozon,Pascale Crozon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,Pascale Crozon,,,Pascale Crozon,,,,,,,,,,,,,,,,,,,
Q12930,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,,male,182378341,165384146,1973-12-29,,Patrice,17213,PatriceVerchere,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,patrice.verchere,Patrice Verchère,Patrice Verchère,,153937734,,Patrice Verchère,Patrice Verchère,,,http://www.patriceverchere.fr/,,,,,,,,,Patrice Verchère,,Patrice Verchère,,,,,,,,,,,,Patrice Verchère,,,,,,,,Patrice Verchère,Patrice Verchère,,,,,,,,,,Patrice Verchère,,Patrice Verchère,Patrice Verchère,,,Patrice Verchère,,,Patrice Verchère,Patrice Verchère,Patrice Verchère,,Patrice Verchère,,,,Patrice Verchère,Patrice Verchère,,Patrice Verchère,Patrice Verchère,Patrice Verchère,,Patrice Verchère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,,,,,,,,,,,,,,,,,,,,,,Patrice Verchère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patrice Verchère,Patrice Verchère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,Patrice Verchère,,,Patrice Verchère,,,,,,,,,,,,,,,,,,,
