id,wikidata
01_1,Q3402037
01_2,Q3025173
01_3,Q3540108
01_4,Q3413555
01_5,Q2972952
02_1,Q3402041
02_2,Q3025175
02_3,Q3540109
02_4,Q3413556
02_5,Q2972957
03_1,Q3402043
03_2,Q3025176
03_3,Q3540111
03_4,Q3413558
04_1,Q3402112
04_2,Q3025239
05_1,Q3402122
05_2,Q3025248
06_1,Q3402111
06_2,Q3025240
06_3,Q3540154
06_4,Q3413596
06_5,Q2972976
06_6,Q3485706
06_7,Q779735
06_8,Q3142947
06_9,Q3338775
07_1,Q3402036
07_2,Q3025171
07_3,Q3540110
08_1,Q3402114
08_2,Q3025241
08_3,Q3540155
09_1,Q3402039
09_2,Q3025172
10_1,Q3402046
10_2,Q3025177
10_3,Q3540112
11_1,Q3402049
11_2,Q3025182
11_3,Q3540113
12_1,Q3402050
12_2,Q3025183
12_3,Q3540115
13_1,Q2379890
13_2,Q3025238
13_3,Q3540153
13_4,Q3413595
13_5,Q2972974
13_6,Q3485704
13_7,Q3479043
13_8,Q3142944
13_9,Q3338773
13_10,Q3032621
13_11,Q3352902
13_12,Q3038245
13_13,Q3538378
13_14,Q3413416
13_15,Q3414696
13_16,Q3477973
14_1,Q532896
14_2,Q3025258
14_3,Q3540167
14_4,Q3413608
14_5,Q2972987
14_6,Q3485713
15_1,Q3402137
15_2,Q3025262
16_1,Q3402059
16_2,Q3025189
16_3,Q3540124
16_4,Q3413564
17_1,Q3402063
17_2,Q3025192
17_3,Q3540126
17_4,Q3413570
17_5,Q2972962
18_1,Q3402133
18_2,Q3025256
18_3,Q3540166
19_1,Q767203
19_2,Q3025194
19_3,Q3540125
21_1,Q3402062
21_2,Q3025191
21_3,Q3540127
21_4,Q3413567
21_5,Q2972959
22_1,Q3402115
22_2,Q3025247
22_3,Q3540157
22_4,Q3413600
22_5,Q2972978
23_1,Q3402066
23_2,Q3025196
23_,Q2973925
24_1,Q3402064
24_2,Q3025193
24_3,Q2362391
24_4,Q3413566
25_1,Q3402135
25_2,Q3025257
25_3,Q3540169
25_4,Q3413607
25_5,Q2972982
26_1,Q3402067
26_2,Q3025197
26_3,Q3540128
26_4,Q3413568
27_1,Q3402047
27_2,Q3025180
27_3,Q3540116
27_4,Q3413559
27_5,Q2972954
28_1,Q3401945
28_2,Q3025079
28_3,Q3540084
28_4,Q3413536
29_1,Q3402141
29_2,Q924710
29_3,Q3540168
29_4,Q3413611
29_5,Q2972983
29_6,Q3485716
29_7,Q3479048
29_8,Q3142955
2A_1,Q3402060
2A_2,Q3025190
2B_1,Q2394708
2B_2,Q3025201
30_1,Q3402139
30_2,Q3025260
30_3,Q3540170
30_4,Q3413610
30_5,Q2972985
30_6,Q3485711
31_1,Q3402073
31_2,Q3025202
31_3,Q3540132
31_4,Q3413572
31_5,Q2972960
31_6,Q3485692
31_7,Q3479037
31_8,Q3142938
31_9,Q3338765
31_10,Q3032613
32_1,Q3402140
32_2,Q3025261
33_1,Q3402071
33_2,Q3025203
33_3,Q3540130
33_4,Q3413573
33_5,Q2972964
33_6,Q3485695
33_7,Q3479039
33_8,Q662655
33_9,Q3338769
33_10,Q3032620
33_11,Q730131
33_12,Q3038241
34_1,Q3402052
34_2,Q3025181
34_3,Q3540117
34_4,Q3413561
34_5,Q2972956
34_6,Q3485688
34_7,Q3479033
34_8,Q3142933
34_9,Q3338763
35_1,Q3401953
35_2,Q3025087
35_3,Q3540086
35_4,Q3413541
35_5,Q2972941
35_6,Q3485677
35_7,Q3479028
35_8,Q3142930
36_1,Q3402166
36_2,Q3025281
36_3,Q3540118
37_1,Q3401948
37_2,Q3025082
37_3,Q3540085
37_4,Q3413537
37_5,Q2972934
38_1,Q3402053
38_2,Q3025184
38_3,Q3540119
38_4,Q3413562
38_5,Q2972955
38_6,Q3485690
38_6,Q3485689
38_7,Q3479035
38_7,Q3479034
38_8,Q3142934
38_9,Q3338764
38_10,Q3032612
39_1,Q3402143
39_2,Q3025264
39_3,Q3540172
40_1,Q3402124
40_2,Q3025249
40_3,Q3540160
41_1,Q3401995
41_2,Q3025128
41_3,Q3540098
42_1,Q3402080
42_2,Q3025210
42_3,Q3540135
42_4,Q3413578
42_5,Q2972963
42_6,Q3485697
42_7,Q3479038
43_1,Q3402072
43_2,Q3025204
44_1,Q3402081
44_2,Q3025212
44_3,Q3540138
44_4,Q3413579
44_5,Q2972973
44_6,Q3485700
44_7,Q3479042
44_8,Q3142941
44_9,Q3338767
44_10,Q2375663
45_1,Q3402145
45_2,Q3025265
45_3,Q3540173
45_4,Q3413613
45_5,Q2972988
45_6,Q3485717
46_1,Q3402146
46_2,Q3025266
47_1,Q3401996
47_2,Q3025129
47_3,Q3540100
48_1,Q3402083
48_2,Q3025213
48_,Q2973926
49_1,Q3401999
49_2,Q3025130
49_3,Q3540099
49_4,Q3413544
49_5,Q2972942
49_6,Q3485678
49_7,Q3479026
50_1,Q3402084
50_2,Q3025214
50_3,Q3540136
50_4,Q3413581
50_5,Q2972965
51_1,Q3402085
51_2,Q3025215
51_3,Q3540137
51_4,Q3413582
51_5,Q2972966
51_6,Q3485698
52_1,Q3402074
52_2,Q3025206
53_1,Q3402089
53_2,Q3025218
53_3,Q3540140
54_1,Q2390935
54_2,Q3025136
54_3,Q2309942
54_4,Q3413543
54_5,Q2972944
54_6,Q3485680
54_7,Q3479027
55_1,Q3402090
55_2,Q3025219
56_1,Q3402147
56_2,Q3025267
56_3,Q3540174
56_4,Q3413615
56_5,Q2972989
56_6,Q3485718
57_1,Q3402091
57_2,Q3025220
57_3,Q2372577
57_4,Q3413584
57_5,Q2972967
57_6,Q3485699
57_7,Q3479040
57_8,Q3142939
57_9,Q3338768
57_10,Q3032616
58_1,Q3402092
58_2,Q3025221
58_3,Q3540141
59_1,Q3402152
59_2,Q3025272
59_3,Q3540175
59_4,Q3413617
59_5,Q2972995
59_6,Q3485720
59_7,Q3479054
59_8,Q3142956
59_9,Q3338783
59_10,Q3032630
59_11,Q3352909
59_12,Q17355414
59_12,Q3038249
59_13,Q3538383
59_14,Q3413419
59_15,Q3414700
59_16,Q3477976
59_17,Q3032540
59_18,Q2413257
59_19,Q3032535
59_20,Q3560265
59_21,Q3560168
59_22,Q3560113
59_23,Q3560153
59_24,Q3560146
60_1,Q3402055
60_2,Q3025185
60_3,Q3540120
60_4,Q3413563
60_5,Q2364083
60_6,Q3485691
60_7,Q3479036
61_1,Q3402057
61_2,Q3025186
61_3,Q3540121
62_1,Q3402157
62_2,Q3025274
62_3,Q3540176
62_3,Q16681207
62_4,Q3413621
62_5,Q579644
62_6,Q3485722
62_7,Q3479057
62_8,Q3142959
62_9,Q3338786
62_10,Q3032629
62_11,Q3352914
62_11,Q16668096
62_12,Q3038251
62_13,Q3538385
62_14,Q3413421
63_1,Q3402150
63_2,Q3025269
63_3,Q3540177
63_4,Q3413616
63_5,Q2972991
63_6,Q3485723
64_1,Q3402125
64_2,Q650207
64_3,Q3540159
64_4,Q14437746
64_5,Q2972981
64_6,Q3485710
65_1,Q3402121
65_2,Q3025243
65_3,Q3540158
66_1,Q3402130
66_2,Q945317
66_3,Q3540164
66_3,Q16467659
66_4,Q3413603
67_1,Q3402131
67_2,Q3025255
67_3,Q3540165
67_4,Q3413606
67_5,Q2414947
67_6,Q3485709
67_7,Q3479047
67_8,Q3142951
67_9,Q3338778
68_1,Q3402142
68_2,Q3025263
68_3,Q3540171
68_4,Q3413612
68_5,Q2972986
68_6,Q3485715
68_7,Q3479050
69_1,Q3402151
69_2,Q3025270
69_3,Q3540178
69_4,Q3413620
69_5,Q2972992
69_6,Q3485721
69_7,Q3479051
69_8,Q3142957
69_9,Q3338780
69_10,Q3032624
69_11,Q3352910
69_12,Q3038248
69_13,Q3538382
69_14,Q3413418
70_1,Q3402077
70_2,Q3025208
70_3,Q3540133
71_1,Q3402015
71_2,Q3025145
71_3,Q3540103
71_4,Q3413550
71_5,Q2972949
71_6,Q3485686
72_1,Q3402096
72_2,Q3025224
72_3,Q2396895
72_4,Q3413586
72_5,Q2972968
73_1,Q3402095
73_2,Q3025225
73_3,Q3540145
73_4,Q3413587
74_1,Q3402076
74_2,Q3025207
74_3,Q3540131
74_4,Q3413575
74_5,Q2972961
74_6,Q3485693
75_1,Q3402008
75_1,Q3402014
75_1,Q16040914
75_2,Q3025143
75_2,Q3025141
75_2,Q3025142
75_3,Q3540102
75_3,Q3540104
75_3,Q3540101
75_4,Q3413547
75_4,Q3413546
