id,name,position,start_date,end_date,type
da13fed8-8b73-495a-aae9-ea05ff5a3b32,Augustin BONREPAUX,President of the General Council,2001,2014,other
ba5fb299-227f-4291-9b29-293e11bb1b59,Aurélie Filippetti,Minister of Culture (France),2012-05-16,,executive
873093fe-28a4-49f0-8fc9-534ded561b0b,Axelle Lemaire,Secretary of State for Digital,2014-04-09,"",executive
fe5ed395-9fde-42bd-9aa3-5046ab174759,Bernard Cazeneuve,Minister of the Interior,2014-04-02,,executive
9b7d521f-5a46-45c3-9aa7-ea240f877a27,Bertho AUDIFAX,member of the Regional Council of Réunion,,,other_legislatures
8ba4d827-08a9-4265-8870-0b8e5b2c1c3f,Dominique STRAUSS-KAHN,"Minister of the Economy, Finances and Industry",1997-06-04,1999-11-02,executive
3facfe40-8c66-4533-8a46-8c0dcf7bd210,Edouard BALLADUR,Prime Minister of France,1993-03-29,1995-05-10,executive
3facfe40-8c66-4533-8a46-8c0dcf7bd210,Edouard BALLADUR,"Minister of the Economy, Finances and Industry",1986-03-20,1988-05-12,executive
3facfe40-8c66-4533-8a46-8c0dcf7bd210,Edouard BALLADUR,General Secretary of the Elysee Palace,1973-04-05,1974-04-02,other
a563208d-04fc-4ab4-b021-b525a12b7700,Huguette Bello,member of the Regional Council of Réunion,,,other_legislatures
ad007d9a-9315-461d-997f-a9854d930f0a,Jean Jacques Vlody,member of the Regional Council of Réunion,,,other_legislatures
c1bce382-b32b-499a-a367-c7bc12773715,Jean TIBERI,mayor of Paris,1995-05-22,2001-03-24,other
d3e15be7-24a4-49e8-9e48-fd0419a7f103,Jean-Jacques Urvoas,Minister of Justice,,,executive
ab597313-13d2-45b7-9c4e-16bee846cd92,Jean-Marc Ayrault,Prime Minister of France,2012-05-15,2014-03-31,executive
ab597313-13d2-45b7-9c4e-16bee846cd92,Jean-Marc Ayrault,Mayor of Nantes,1989-03-18,2012-06-21,other
fb049393-5d2e-45a0-b4da-c65cfaed608c,Laurent Fabius,Minister of Foreign Affairs and International Development,,,executive
fb049393-5d2e-45a0-b4da-c65cfaed608c,Laurent Fabius,Prime Minister of France,1984-07-17,1986-03-20,executive
fb049393-5d2e-45a0-b4da-c65cfaed608c,Laurent Fabius,"Minister of the Economy, Finances and Industry",2000-03-28,2002-05-07,executive
90369219-5215-4152-add4-c2c2bb3b6307,Manuel Valls,Prime Minister of France,2014-03-31,,executive
90369219-5215-4152-add4-c2c2bb3b6307,Manuel Valls,Minister of the Interior,2012-05-16,2014-03-31,executive
846c85ca-d379-49d9-9ca6-5e6090f0ef00,Marisol Touraine,Minister of Social Affairs,2012-05-16,,executive
846c85ca-d379-49d9-9ca6-5e6090f0ef00,Marisol Touraine,Minister of Health,2012-05-16,,executive
f88f5b29-324a-4084-8cd3-250b0e5ee619,Marylise Lebranchu,Keeper of the Seals of France,2000-10-18,2002-05-06,other
6beac649-751f-40a8-a72f-f7746ebffbad,Michel SAPIN,"Minister of the Economy, Finances and Industry",,,executive
1bed009b-693b-4077-9369-a9b24c25f152,Nathalie Appéré,mayor of Rennes,2014-04-04,,other
1677f35e-3e1b-4522-9268-36e532682d57,René-Paul VICTORIA,mayor of Saint-Denis,,,other
1677f35e-3e1b-4522-9268-36e532682d57,René-Paul VICTORIA,member of the Regional Council of Réunion,,,other_legislatures
37935b38-0073-4622-957e-7c8829fe949b,Sébastien Pietrasanta,Mayor of Asnières-sur-Seine,2008,2014,other
11977b6d-a93a-408d-b84d-dc2356e3e952,Élisabeth Guigou,Minister of Social Affairs,,,executive
081c1833-1862-4788-885b-0f19c3f00ca7,Éric Ciotti,President of the General Council,2008-12-18,2015-04-02,other
