id,name,birth_date,email,party,start_date,end_date,area,area_id,source,term
ada-marshania,"Ada Marshania",1967-07-01,amarshania@parliament.ge,"Patriots of Georgia",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/ada-marshania,9
akaki-bobokhidze,"Akaki Bobokhidze",1964-09-14,abobokhidze@parliament.ge,"მოძრაობა თავისუფლებისთვის - რეგიონები",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/akaki-bobokhidze,9
akaki-zoidze,"Akaki Zoidze",1968-06-03,azoidze@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/akaki-zoidze,9
aleksandre-erkvania,"Aleksandre Erkvania",1975-12-24,aerqvania@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/aleksandre-erkvania,9
aleksandre-kantaria,"Aleksandre Kantaria",1959-10-07,akantaria@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/aleksandre-kantaria,9
anri-okhanashvili,"Anri Okhanashvili",1985-06-10,aokhanashvili@parliament.ge,"",2017-02-10,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/anri-okhanashvili,9
anzor-bolkvadze,"Anzor Bolkvadze",1960-09-09,abolkvadze@parliament.ge,"The Georgian Dream",2016-11-18,,"#73 Khulo",73,http://www.chemiparlamenti.ge/en/parliamentarian/anzor-bolkvadze,9
archil-khabadze,"Archil Khabadze",1981-03-11,akhabadze@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/archil-khabadze,9
archil-talakvadze,"Archil Talakvadze",1983-01-16,atalakvadze@parliament.ge,"The Georgian Dream",2016-11-18,,"#59 Ozurgeti",59,http://www.chemiparlamenti.ge/en/parliamentarian/archil-talakvadze,9
azer-suleimanovi,"Azer Suleimanovi",1967-07-23,asuleimanovi@parliament.ge,"The United National Movement",2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/azer-suleimanovi,9
beka-natsvlishvili,"Beka Natsvlishvili",1977-10-19,bnatsvlishvili@parliament.ge,"Faction ""The Georgian Dream - Social-Democrats""",2016-11-18,,"#10 ისანი",10,http://www.chemiparlamenti.ge/en/parliamentarian/beka-natsvlishvili,9
beka-odisharia,"Beka Odisharia",1974-09-02,bodisharia@parliament.ge,"The Georgian Dream",2016-11-18,,"#7 კრწანისი",7,http://www.chemiparlamenti.ge/en/parliamentarian/beka-odisharia,9
bidzina-gegidze,"Bidzina Gegidze",1958-03-03,bgegidze@parliament.ge,"The Georgian Dream",2016-11-18,,"#2 ვაკე",2,http://www.chemiparlamenti.ge/en/parliamentarian/bidzina-gegidze,9
david-bakradze,"David Bakradze",1972-07-01,dbakradze@parliament.ge,"Movement for Liberty - European Georgia",,,,,http://www.chemiparlamenti.ge/en/parliamentarian/david-bakradze,9
david-chichinadze,"David Chichinadze",1965-07-31,dchichinadze@parliament.ge,"The Georgian Dream",2016-11-18,,"#9 ისანი",9,http://www.chemiparlamenti.ge/en/parliamentarian/david-chichinadze,9
david-matikashvili,"David Matikashvili",1978-08-14,"","The Georgian Dream",2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/david-matikashvili,9
