id,uuid
zaza-papuashvili,033e3b65-a6ef-4024-8a06-ac3e7aee5ca8
leri-khabelovi,03b04f60-c024-4714-8e17-505eded5cc2c
tengizi-khubuluri,041be1e1-ec6f-4d8b-bcec-690b9209aa5d
giorgi-gachechiladze,07cd77bd-8b28-4b1b-95ed-12f2593515f9
irakli-sesiashvili,0c983ee7-1067-4bdc-92e3-30b43e580c4b
zaza-kedelashvili,104fdf0b-ba80-4dce-88b2-9ae75a7bcc00
george-gviniashvili,13795a29-865b-450d-a5e4-50049477e943
giorgi-kakhiani,2aa6bac3-63da-4c20-92e4-727a9060a04d
phati-khalvashi,2b8bda52-8472-4d49-ab2f-ba319d5c1590
giorgi-khatidze,2dae846e-cb6b-49dd-b93d-bafbc0a5f641
gela-samkharauli,34fe9149-8dff-444f-8b18-6f37082e5ccd
erekle-tripolski,36485e01-985b-4e63-b23c-adfc1a30c1b2
irma-nadirashvili,3a5e585d-7437-4568-8d32-5f4402adc531
otar-chrdileli,3dbd2223-cb7e-4149-b2a1-bd838d800630
giorgi-kandelaki,4494aae3-0105-44e5-b6ed-b92b93307945
sergo-ratiani,45d41141-3d9a-4832-b4be-3c4b8ffbc13e
ruslan-poghosiani,4a32ef71-846e-4c21-acbc-26108f48a5ee
aleksandre-kantaria,4b2da604-7737-4c75-b4de-79dbb7632501
kakhaber-okriashvili,4f574651-c97c-4bb2-8c41-067c299123f5
tinatin-bokuchava,51d3bc9f-6f68-4714-909b-6bded63f10a6
giga-bukia,53df0004-a42b-43f0-ba99-d6344c618484
dimitri-khundadze,56d3353e-2ba1-43bc-81c6-feabbab00612
viktor-japaridze,6e66aa5e-02a6-42ed-aebf-665e06d7d128
zviad-dzidziguri,6f22f377-09b8-45fe-ad30-8917704c1e7d
miriani-tsiklauri,7b7cbf2b-69e5-4c84-a604-191f5c683dcd
makhir-darzievi,7dc9d436-4b25-435c-8efa-dbecfe69ffe1
azer-suleimanovi,7fd9bdcf-1f30-4275-9c45-8f7f2cf8ba03
david-bakradze,94c068ba-3df7-42a3-81f7-fd98a7b8d972
nino-goguadze,99444b3a-a8ff-450a-823f-9a7ef202777e
enzel-mkoiani,a6a6b327-009a-4a89-bc79-da80785e070c
shota-khabareli,aa4b0975-5007-4497-abd8-c976e4e03e30
khatuna-gogorishvili,aa87b010-21f4-4ebe-95ef-cb6ffa13b7d5
gia-jorjoliani,b146ea1b-a39c-47cb-a504-c74816f54a5a
giorgi-volski,b5eadf50-158e-4a8c-a872-32f8d8bcd248
guguli-magradze,b74ba5d1-a8eb-4442-952b-ded5b50aa432
akaki-bobokhidze,bb7d8d43-14ef-4fe4-ab34-88ec562a8836
karlo-kopaliani,be07ff13-f8bf-4c33-8f21-a729e3c4e595
gocha-enukidze,c4c775b4-065a-4853-9f62-f4b7f74a5c14
zakaria-kutsnashvili,c767b6fd-1450-40a7-be09-6930e1fbab63
paata-kvijinadze,cafcd251-0c95-4caa-87f4-49992513d675
giorgi-tsereteli,cecc764a-a369-4fd0-a7ed-afd343774d40
zviad-kvachantiradze,d203ca80-1d64-46b3-a132-40331c235bf0
ramaz-nikolaishvili,df6e11a1-9d6f-4100-bb5b-4751fa716bba
teimuraz-chkuaseli,e28e3d96-800d-49f2-811d-bd21e93344ff
eka-beselia,e5b73641-5fe3-4f38-8a0f-59be7e7cb535
shalva-kiknavelidze,efba708e-6ba8-46d5-8ab9-bc6b80f6486e
koba-nakopia,f284e4e1-7f8e-4e3b-8eab-477f60a62894
gedevan-popkhadze,f828c10e-3556-47fd-a9f6-fe960206163a
anzor-bolkvadze,fbc2023d-3122-44b7-aa0e-534e55bbb0f5
