id,position,label,description,start_date,replaces,replaced_by,end_date,of,constituency,term,election,party
Q1000195,Q11902879,Lord Mayor,title of the mayor of a major city with special recognition,1989,,Wilfried Horn,1999,Hagen,,,,
Q1000195,Q1939555,member of the German Bundestag,deputy of the German parliament,1994,Hans-Günther Tötemeyer,René Röspel,1996,,,,,
Q1000337,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1000337,Q514725,Landrat,public official,"",,,,,,,,
Q100218,Q18327349,Member of the Landtag of Mecklenburg-Vorpommern,"",1998,,,2005,,,,,
Q100218,Q1939555,member of the German Bundestag,deputy of the German parliament,2005,,,,,,,,
Q100250,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100250,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q100255,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100294,Q18130496,Member of the Landtag of Schleswig-Holstein,"","",,,,,,,,
Q100294,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100304,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100304,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,,
Q100357,Q18327349,Member of the Landtag of Mecklenburg-Vorpommern,"","",,,,,,,,
Q100357,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100379,Q18130496,Member of the Landtag of Schleswig-Holstein,"","",,,,,,,,
Q100379,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100503,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100514,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100613,Q17781726,member of the Landtag of North Rhine-Westphalia,"","",,,,,,,,
Q100613,Q17850767,member of the Reichstag of the Weimar Republic,German legislator between 1919 and 1933,"",,,,,,,,
Q100613,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100615,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100617,Q18557729,member of the Volkskammer,"","",,,,,,,,
Q100617,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100617,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q100797,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100797,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q100805,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100805,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q100805,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,,
Q100838,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100915,Q19360355,Member of the Hamburg Parliament,"","",,,,,,,,
Q100915,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100915,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,,
Q100924,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100924,Q514725,Landrat,public official,"",,,,,,,,
Q100960,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100960,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q100986,Q1939555,member of the German Bundestag,deputy of the German parliament,2005-10-18,,,2009-10-27,,,,,
Q100986,Q1939555,member of the German Bundestag,deputy of the German parliament,2009-10-27,,,2013-10-22,,,,,
Q100986,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,Petra Rode-Bosse,2015-10-20,,,,,
Q101061,Q17586301,Member of the Landtag of Bavaria,"","",,,,,,,,
Q101061,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q101183,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q101183,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q101192,Q140686,chairperson,highest officer of an organized group,1984,,,1985,Young Socialists in the SPD,,,,
Q101192,Q140686,chairperson,highest officer of an organized group,2014-01-15,,,2015-05-20,Defence Committee,,,,
Q101192,Q1939555,member of the German Bundestag,deputy of the German parliament,1998-10-26,,,2002-10-17,,,,,
