id,name,position,start_date,end_date,type
2f5f8e97-cb5a-4d2d-bac8-487406e83fc4,Bodo Ramelow,Minister-President,2014-12-05,,cabinet
5559eab3-bb57-4b0a-a685-159f664f5efe,Hans-Dietrich Genscher,Vice-Chancellor of Germany,1974-05-16,1982-09-17,cabinet
5559eab3-bb57-4b0a-a685-159f664f5efe,Hans-Dietrich Genscher,Vice-Chancellor of Germany,1982-10-04,1992-05-18,cabinet
5559eab3-bb57-4b0a-a685-159f664f5efe,Hans-Dietrich Genscher,Minister for Foreign Affairs (Federal Republic of Germany),1974-05-16,1982-09-17,cabinet
3eb6871b-6405-4f30-b1d7-c5dbf0aee955,Oskar Lafontaine,Federal Minister of Finance,"",,cabinet
3eb6871b-6405-4f30-b1d7-c5dbf0aee955,Oskar Lafontaine,Minister-President,1985,1998-11-09,cabinet
955dc500-239e-4d61-838e-503b9774a47b,Klaus Kinkel,Vice-Chancellor of Germany,1993-01-21,1998-10-26,cabinet
955dc500-239e-4d61-838e-503b9774a47b,Klaus Kinkel,Minister for Foreign Affairs (Federal Republic of Germany),1992,1998,cabinet
c30c2858-599a-436d-b8b3-ad27656317e7,Wolfgang Schäuble,Federal Minister of Finance,2009-10-28,,cabinet
c30c2858-599a-436d-b8b3-ad27656317e7,Wolfgang Schäuble,Federal Minister of the Interior,1989-04-21,1991-11-26,cabinet
c30c2858-599a-436d-b8b3-ad27656317e7,Wolfgang Schäuble,Federal Minister of the Interior,2005-11-22,2009-10-28,cabinet
c30c2858-599a-436d-b8b3-ad27656317e7,Wolfgang Schäuble,Federal Minister for Special Affairs of Germany,1984-11-15,1989-04-21,cabinet
f0b0dd80-8bcb-41e6-afe1-4b6afd413124,Sigmar Gabriel,Vice-Chancellor of Germany,2013-12-17,,cabinet
f0b0dd80-8bcb-41e6-afe1-4b6afd413124,Sigmar Gabriel,Minister for Foreign Affairs (Federal Republic of Germany),2017-01-27,,cabinet
016dc380-cc52-46da-bd79-2652670bbc34,Franz Blücher,Vice-Chancellor of Germany,"",,cabinet
fd42a445-d9d2-4a9e-ad5b-b5e6ae18a124,Konrad Adenauer,Minister for Foreign Affairs (Federal Republic of Germany),1951-03-15,1956-06-06,cabinet
da1291a0-5eef-44fa-a402-97afb258cf50,Ludwig Erhard,Vice-Chancellor of Germany,1957-10-29,1963-10-15,cabinet
da1291a0-5eef-44fa-a402-97afb258cf50,Ludwig Erhard,Chancellor of Germany,1963-10-16,1966-12-01,cabinet
ad44d3fd-95f9-42e4-bd42-13c6895211ef,Kurt Georg Kiesinger,Chancellor of Germany,1966-12-01,1969-10-21,cabinet
d932bd03-42f1-439c-9270-40c4d8a46f81,Willy Brandt,Vice-Chancellor of Germany,1966-12-01,1969-10-20,cabinet
d932bd03-42f1-439c-9270-40c4d8a46f81,Willy Brandt,Minister for Foreign Affairs (Federal Republic of Germany),1966-12-01,1969-10-20,cabinet
64044d44-a2a8-475d-8875-3e0afba0794b,Helmut Schmidt,Chancellor of Germany,1974-05-16,1982-10-01,cabinet
bf793a9d-77cc-4282-b51b-c7f8f79e001d,Helmut Kohl,Chancellor of Germany,1982-10-01,1998-10-27,cabinet
6c74a150-6c12-4678-b9b9-9faf19c62dd7,Gerhard Schröder,Minister-President,1990,1998,cabinet
9b5daafd-3bd3-4f96-a177-f9cfde74439c,Walter Scheel,Vice-Chancellor of Germany,1969-10-21,1974-05-16,cabinet
