id,label,description,type
Q23901451,Minister for the Protection of the Citizen (Greece),Greek government minister,cabinet
Q23901401,Minister of Administrative Reform and Electronic Governance of Greece,Greek government minister,cabinet
Q23901093,Minister of Aviation of Greece,former Greek cabinet position,cabinet
Q23901460,MInister of Health and Welfare of Greece,Greek government minister,cabinet
Q23901461,Minister of Hygiene and Social Welfare of Greece,Greek government minister,cabinet
Q19860550,Minister of Naval Affairs of Greece,Greek government minister,cabinet
Q20685769,Minister of Religions and National Education of Greece,former Greek cabinet position,cabinet
Q20083739,Minister of Social Services of Greece,Greek government minister,cabinet
Q23901458,Minister of the Press and Information,Greek government minister,cabinet
Q23901457,Minister of the Press of Greece,Greek government minister,cabinet
Q2606039,Ministry of National Defence,Greek government ministry responsible for military and national defense matters,cabinet
Q3394691,Deputy Prime Minister of Greece,"",cabinet
Q23901100,Employment Minister of Greece,former Greek cabinet position,cabinet
Q19752714,Finance minister of Greece,Greek government minister,cabinet
Q19858317,Greek Minister of the Interior,Greek government minister,cabinet
Q23640201,Greek underseceratary of Administrative Reform and Electronic Government,undersecretary to a ministry of the Greek government,executive
Q23652101,"Greek undersecretary of Education, Learning and Religion",undersecretary to a ministry of the Greek government,executive
Q23653075,Greek vice-ministre of Health and Social Solidarity,undersecretary to a ministry of the Greek government,executive
Q19860747,Labour minister of Greece,Greek government minister,cabinet
Q23901330,Minister for Employment and Social Protection,Greek government minister,cabinet
Q16147098,Minister for Foreign Affairs of Greece,Greek government minister,cabinet
Q23901465,"Minister for Infrastructure, Transport and Networks",Greek government minister,cabinet
Q6865935,Minister for National Defence of Greece,Greek government minister,cabinet
Q6866010,Minister for the Press and the Media,"",cabinet
Q20128305,Minister of Agricultural Development and Food of Greece,Greek government minister,cabinet
Q19860606,Minister of Agriculture of Greece,Greek government minister,cabinet
Q19860769,Minister of Commerce of Greece,Greek government minister,cabinet
Q19858626,Minister of Commercial Marine of Greece,Greek government minister,cabinet
Q19904335,Minister of Coordination of Greece,Greek government minister,cabinet
Q19942365,Minister of Culture and Sciences of Greece,Greek government minister,cabinet
Q19904334,Minister of Culture of Greece,Greek government minister,cabinet
Q23901075,Minister of Development od Competitiveness,former Greek cabinet position,cabinet
Q19943050,Minister of Development of Greece,Greek government minister,cabinet
