id,honorific_prefix
annette-ferguson,Ms.
bheri-ramsarran,Dr.
bishop-juan-a-edghill,Bishop
carl-greenidge,Mr.
clement-rohee,Mr
dr-barton-scotland,Dr.
dr-george-norton,Dr.
dr-jennifer-westford,Dr.
dr-karen-cummings,Dr
dr-rupert-roopnarine,Dr.
gail-teixeira,Ms
hon-mr-dominic-gaskin,Mr.
hon-mr-noel-holder,Mr
hon-mr-winston-dacosta-jordan,Mr.
kathy-hughes,Mrs.
keith-scott,Mr.
khemraj-ramjattan,Mr.
lt-col-ret-joseph-harmon,Lt. Col. (Ret’)
mr-audwin-rutherford-mp,Mr
mr-basil-williams,Mr.
mr-charrandaspersaud,Mr
mr-cornel-damon,Mr.
mr-jaipaul-sharma,Mr.
mr-jermaine-figueira-mp,Mr
mr-john-adams,Mr.
mr-komal-chand,Mr.
mrs-dawn-hastings-williams,Mrs.
mrs-volda-lawrence,Mrs.
ms-africo-selman,Ms
ms-amna-ally,Ms
ms-jennifer-wade,Ms
ms-rajcoomarie-bancroft,Ms.
ms-valarie-patterson,Ms
odinga-lumumba,Mr.
priya-manickchand,Ms
raphael-gctrotman,Mr
ronald-bulkan,Mr.
sydney-c-allicock,Mr.
valerie-garrido-lowe,Mrs.
winston-felix,Mr.
