id,label,description,type
Q3315094,Prime Minister of Hungary,"",cabinet
Q470760,Minister of Civilian Intelligence Services,"",cabinet
Q282907,Minister of Defence of Hungary,Hungary's national defense and armed forces minister,cabinet
Q24205239,Minister of Human Resources,Hungarian cabinet position,cabinet
Q23645099,Minister of Labour,Hungarian cabinet position,cabinet
Q23644987,Minister of Transport and Water Management,Hungarian cabinet position,cabinet
Q17278782,Minister of Youth Affairs and Sports,in Hungary,cabinet
Q520765,President of Hungary,position,executive
Q23645103,Secretary of State for Territorial Public Administration,Hungarian cabinet position,executive
Q17590876,member of the National Assembly of Hungary,"",self
Q468879,Speaker of the National Assembly of Hungary,position,self
Q27169,member of the European Parliament,person who has been elected to the European Parliament,other_legislatures
