id,label,description,type
Q19190022,Prime Minister of Iceland,"",cabinet
Q12351697,"Minister of Education, Science and Culture",Icelandic cabinet position,cabinet
Q17278719,Minister of Finance,Icelandic minister,cabinet
Q20087600,Minister of Fisheries,government minister in Iceland,cabinet
Q17278723,Minister of Fisheries and Agriculture,in Iceland,cabinet
Q17278720,Minister of Industry and Commerce,in Iceland,cabinet
Q17013941,Minister of Justice and Ecclesiastical Affairs,"",cabinet
Q16429233,Minister of the Interior,Icelandic Minister of the Interior,cabinet
Q6866420,Minister of Welfare,"",cabinet
Q19188924,President of Iceland,"",executive
Q21272959,Member of the Althing,Member of the Icelandic parliament,self
