id,name,start_date,end_date,area,area_id,party,party_id,term
Q12395898,Björt Ólafsdóttir,2013-04-27,2016-10-29,Reykjavík North,Q1526538,Bright Future,Q5019160,2013
Q1305893,Einar Kristinn Guðfinnsson,2013-04-27,2016-10-29,Northwest,Q2001582,Independence Party,Q218303,2013
Q1328085,Ragnheiður Ríkharðsdóttir,2013-04-27,2016-10-29,Southwest,Q770576,Independence Party,Q218303,2013
Q13370916,Jón Þór Ólafsson,2013-04-27,2015-07-01,Reykjavík South,Q2037988,Pirate Party Iceland,Q198403,2013
Q13422896,Helgi Hrafn Gunnarsson,2013-04-27,2016-10-29,Reykjavík North,Q1526538,Pirate Party Iceland,Q198403,2013
Q1385796,Eygló Harðardóttir,2013-04-27,2016-10-29,Southwest,Q770576,Progressive Party,Q1046777,2013
Q144270,Birgitta Jónsdóttir,2013-04-27,2016-10-29,Southwest,Q770576,Pirate Party Iceland,Q198403,2013
Q15109949,Þórunn Egilsdóttir,2013-04-27,2016-10-29,Northeast,Q2001559,Progressive Party,Q1046777,2013
Q15214902,Steinunn Þóra Árnadóttir,2014-08-18,2016-10-29,Reykjavík North,Q1526538,Left-Green Movement,Q1130754,2013
Q1557723,Guðbjartur Hannesson,2013-04-27,2015-10-23,Northwest,Q2001582,Social Democratic Alliance,Q1141127,2013
Q1557735,Guðlaugur Þór Þórðarson,2013-04-27,2016-10-29,Reykjavík South,Q2037988,Independence Party,Q218303,2013
Q1557755,Guðmundur Steingrímsson,2013-04-27,2016-10-29,Southwest,Q770576,Bright Future,Q5019160,2013
Q15622430,Ásmundur Friðriksson,2013-04-27,2016-10-29,South,Q1419190,Independence Party,Q218303,2013
Q15622449,Bjarkey Gunnarsdóttir,2013-04-27,2016-10-29,Northeast,Q2001559,Left-Green Movement,Q1130754,2013
Q15624512,Brynhildur Pétursdóttir,2013-04-27,2016-10-29,Northeast,Q2001559,Bright Future,Q5019160,2013
Q15630813,Brynjar Þór Níelsson,2013-04-27,2016-10-29,Reykjavík North,Q1526538,Independence Party,Q218303,2013
Q15632998,Elsa Lára Arnardóttir,2013-04-27,2016-10-29,Northwest,Q2001582,Progressive Party,Q1046777,2013
Q15644764,Frosti Sigurjónsson,2013-04-27,2016-10-29,Reykjavík North,Q1526538,Progressive Party,Q1046777,2013
Q15730617,Haraldur Benediktsson,2013-04-27,2016-10-29,Northwest,Q2001582,Independence Party,Q218303,2013
Q16103460,Haraldur Einarsson,2013-04-27,2016-10-29,South,Q1419190,Progressive Party,Q1046777,2013
Q16334491,Jóhanna María Sigmundsdóttir,2013-04-27,2016-10-29,Northwest,Q2001582,Progressive Party,Q1046777,2013
Q16420871,Óttarr Proppé,2013-04-27,2016-10-29,Reykjavík South,Q2037988,Bright Future,Q5019160,2013
