id,label,description,type
Q6866049,Minister of Chemicals and Fertilizers,"",cabinet
Q6866064,Minister of Communications and Information Technology,India,cabinet
Q313465,Minister of External Affairs,in India,cabinet
Q17073489,Minister of Health and Family Welfare,"",cabinet
Q3440901,Minister of Home Affairs,head of the Ministry of Home Affairs in India,cabinet
Q6866250,Minister of Mines,"",cabinet
Q6866301,Minister of Railways,head of the Ministry of Railways in India,cabinet
Q6866308,Minister of Road Transport and Highways,"",cabinet
Q16874648,Minister of Rural Development (India),"",cabinet
Q6866319,Minister of Science and Technology,Indian cabinet minister,cabinet
Q16875646,Minister of Shipping (India),"",cabinet
Q6866396,Minister of Textiles,"",cabinet
Q6866408,Minister of Tribal Affairs,"",cabinet
Q16868002,Minister of Urban Development (India),"",cabinet
Q192711,Prime Minister of India,head of the Indian government,cabinet
Q24456735,Member of the Arunachal Pradesh Legislative Assembly,"",other_legislatures
Q21191662,Member of the Assam Legislative Assembly,"",other_legislatures
Q24457068,Member of the Bihar Legislative Assembly,"",other_legislatures
Q24461612,Member of the Delhi Legislative Assembly,"",other_legislatures
Q17582810,Member of the Gujarat Legislative Assembly,"",other_legislatures
Q24497178,Member of the Haryana Legislative Assembly,"",other_legislatures
Q18055586,Member of the Himachal Pradesh Legislative Assembly,"",other_legislatures
Q18171423,member of the Jammu and Kashmir Legislative Assembly,"",other_legislatures
Q24525324,Member of the Jharkhand Legislative Assembly,"",other_legislatures
Q24525419,Member of the Karnataka Legislative Assembly,"",other_legislatures
Q19468152,Member of the Kerala Legislative Assembly,"",other_legislatures
Q24529702,Member of the Madhya Pradesh Legislative Assembly,"",other_legislatures
Q18055379,Member of the Maharashtra Legislative Assembly,"",other_legislatures
Q24529704,Member of the Maharashtra Legislature,"",other_legislatures
Q24540202,Member of the Mizoram Legislative Assembly,"",other_legislatures
Q24541525,Member of the Nagaland Legislative Assembly,"",other_legislatures
Q24546266,Member of the Odisha Legislative Assembly,"",other_legislatures
Q24340546,Member of the Puducherry Legislative Assembly,"",other_legislatures
Q24340550,Member of the Punjab Legislative Assembly,political representative,other_legislatures
Q17599276,Member of the Rajasthan Legislative Assembly,"",other_legislatures
Q17324844,member of the Rajya Sabha,"",other_legislatures
Q24558764,Member of the Tamil Nadu Legislative Assembly,"",other_legislatures
Q18039836,Member of the Uttar Pradesh Legislative Assembly,"",other_legislatures
Q18055681,Member of the Uttarakhand Legislative Assembly,"",other_legislatures
Q19007052,Member of the West Bengal Legislative Assembly,"",other_legislatures
Q5261083,Deputy Speaker of Lok Sabha,"",self
Q6508539,Leader of the Opposition,parliamentary position of the Parliament of India,self
Q16556694,member of the Lok Sabha,"",self
