id,label,type
Q6865750,"Minister for Agriculture, Food and the Marine",cabinet
Q6865747,"Minister for Arts, Heritage and the Gaeltacht",cabinet
Q6865756,Minister for Children and Youth Affairs,cabinet
Q6865770,"Minister for Communications, Energy and Natural Resources",cabinet
Q6865781,Minister for Defence,cabinet
Q6865816,Minister for Education and Skills,cabinet
Q4294945,Minister for Finance,cabinet
Q6865853,Minister for Foreign Affairs and Trade,cabinet
Q6865864,Minister for Health,cabinet
Q6865902,"Minister for Jobs, Enterprise and Innovation",cabinet
Q6865904,Minister for Justice and Equality,cabinet
Q6865939,Minister for Public Expenditure and Reform,cabinet
Q6865958,Minister for Social Protection,cabinet
Q6866004,"Minister for the Environment, Community and Local Government",cabinet
Q6865981,"Minister for Transport, Tourism and Sport",cabinet
Q6866341,Minister of State at the Department of the Taoiseach,cabinet
Q6866339,Minister of State for Children,cabinet
Q6866355,Minister of State for Fisheries and Forestry,cabinet
Q6866356,"Minister of State for Food, Horticulture and Food Safety",cabinet
Q23308552,Minister of State for Housing and Planning,cabinet
Q6866364,Minister of State for Labour Affairs,cabinet
Q6866369,Minister of State for Overseas Development,cabinet
Q25342399,Minister of State for Regional Economic Development,cabinet
Q23957944,Minister of State for Rural Economic Development and Rural Transport,cabinet
Q24198537,Minister of State for Small Business,cabinet
Q22983531,Minister of State for the NewEra Project,cabinet
Q25342400,Minister of State for Tourism and Sport,cabinet
Q6866375,Minister of State for Trade and Development,cabinet
Q191827,Taoiseach,cabinet
Q1146214,Tánaiste,executive
Q16707842,Member of Parliament in the United Kingdom,other_legislatures
Q27169,member of the European Parliament,other_legislatures
Q3272410,Member of the Legislative Assembly of Northern Ireland,other_legislatures
Q18043391,senator of Ireland,other_legislatures
Q25391770,Deputy Leader of the Labour Party,party
Q16257756,Leader of Fianna Fáil,party
Q6508511,Leader of Fine Gael,party
Q17182852,Leader of Sinn Féin,party
Q6508524,Leader of the Labour Party,party
Q6797712,Mayor of Galway,party
Q22981805,Vice-President of Sinn Féin,party
Q1052201,Ceann Comhairle,self
Q654291,Deputy to the Dáil,self
Q2962019,Leader of the Opposition,self
Q5260191,"Department of Community, Equality and Gaeltacht Affairs",unknown
Q831015,Green Party,unknown
Q6866523,Ministers of State of the 31st Dáil,unknown
Q661973,Progressive Democrats,unknown
