id,label,description,type
Q20021291,Education Minister of Israel,"",cabinet
Q2433405,Internal Affairs Minister of Israel,"",cabinet
Q742063,Justice Minister of Israel,Israeli minister,cabinet
Q890855,Labor Minister of Israel,position,cabinet
Q15731462,Minister of Agriculture and Rural Development,Israeli minister,cabinet
Q20021270,Minister of Communications,Israeli minister,cabinet
Q20021264,Minister of Construction,Israeli minister,cabinet
Q13222899,Minister of Defence,Israeli minister,cabinet
Q2566297,Minister of Diaspora Affairs,Israeli ministerial post,cabinet
Q23902466,Minister of Economics and Planning,Israeli minister,cabinet
Q20021283,Minister of Environmental Protection,Israeli minister,cabinet
Q15722817,Minister of Finance,political head of the Ministry of Finance of Israel,cabinet
Q15710855,Minister of Foreign Affairs,political head of the Israeli Ministry of Foreign Affairs,cabinet
Q15722942,Minister of Health,political head of the Israeli Ministry of Health,cabinet
Q20021262,Minister of Immigrant Absorption,Israeli minister,cabinet
Q2082321,Minister of Intelligence and Atomic Energy,Israeli minister,cabinet
Q15732343,"Minister of National Infrastructure, Energy, and Water",Israeli minister,cabinet
Q20021305,Minister of Public Security of Israel,Israeli cabinet position,cabinet
Q15722454,Minister of Tourism,Israeli minister,cabinet
Q15731446,Minister of Transport and Road Safety,in Israel,cabinet
Q6866420,Minister of Welfare,"",cabinet
Q15733044,Minister without portfolio,Israeli Minister without portfolio,cabinet
Q208487,Prime Minister of Israel,position of the Israeli head of government,cabinet
Q20021301,"Science, Technology and Space Minister",Israeli minister,cabinet
Q19803218,Social Equality Minister of Israel,"",cabinet
Q2564757,Strategic Affairs Minister of Israel,"",cabinet
Q7040859,Deputy Prime Minister of Israel,"",cabinet
Q327948,President of Israel,position,executive
Q21191589,deputy of Saeima,"",other_legislatures
Q4047513,Knesset member,member of Israeli parliament,self
Q2457733,Leader of the Opposition,parliamentary position in the Israeli Knesset,self
Q2668563,Speaker of the Knesset,Wikimedia list article,self
