id,label,description,type
Q796897,Prime Minister of Italy,head of government of the Italian Republic,cabinet
Q27447034,Minister without portfolio,,cabinet
Q27795992,Minister of Health,Italian minister,cabinet
Q27999166,Minister for Parliamentary Relations,member of the Cabinet of the Italian Republic,cabinet
Q658082,Minister of Agriculture,position,cabinet
Q1538785,Minister of Defence,,cabinet
Q28002382,Minister of Economy and Finance,,cabinet
Q3721646,Minister of Education,,cabinet
Q6092842,Minister of Infrastructures,,cabinet
Q28000241,Minister of Labour and Social Affairs,,cabinet
Q27999438,Minister of Transports,,cabinet
Q6092845,Minister of Transports and Infrastructures,member of the Cabinet of the Italian Republic,cabinet
Q1541071,Minister of the Interior,position,cabinet
Q28002426,Minister of Cultural Heritage and Activities and Tourism,,cabinet
Q25514257,Minister of Communications,Italian minister,cabinet
Q27991508,Minister of Economic Development,Italian minister,cabinet
Q23554157,Minister of Federal Reforms,Italian cabinet position,cabinet
Q27991492,Minister of Foreign Affairs,Italian minister,cabinet
Q25973167,Minister of Justice,Italian minister,cabinet
Q26912078,minister of Air Force,,cabinet
Q26877839,minister of War,,cabinet
Q26877879,minister of the Navy,,cabinet
