name,image,party,constituency,id
Alando Terrelonge,http://jamaica-elections.com/general/2016/info/candidates_images/alando_terrelonge_jlp.jpg,JLP,ST. CATHERINE EAST CENTRAL,alando_terrelonge
Andre Hylton M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/andre_hylton_pnp.jpg,PNP,ST. ANDREW EASTERN,andre_hylton_m.p.
Andrea Walters,http://jamaica-elections.com/general/2016/info/candidates_images/andrea_walters_jlp.jpg,JLP,WESTMORELAND EASTERN,andrea_walters
Andrew Holness M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/andrew_holness_jlp.jpg,JLP,ST. ANDREW WEST CENTRAL,andrew_holness_m.p.
Andrew Wheatley M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/andrew_wheatley_jlp.jpg,JLP,ST. CATHERINE SOUTH CENTRAL,andrew_wheatley_m.p.
Ansel Lee,http://jamaica-elections.com/general/2016/info/candidates_images/ansel_lee_mgppp.jpg,MGPPP,KINGSTON CENTRAL,ansel_lee
Anthony Henry,http://jamaica-elections.com/general/2016/info/candidates_images/anthony_henry_pnp.jpg,PNP,ST. JAMES NORTH WESTERN,anthony_henry
Arlington Seaton,http://jamaica-elections.com/general/2016/info/candidates_images/arlington_seaton_mgppp.jpg,MGPPP,KINGSTON WESTERN,arlington_seaton
Arnaldo Brown M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/arnaldo_brown_pnp.jpg,PNP,ST. CATHERINE EAST CENTRAL,arnaldo_brown_m.p.
Ashley-Ann Foster,http://jamaica-elections.com/general/2016/info/candidates_images/ashley-ann_foster_pnp.jpg,PNP,ST. JAMES CENTRAL,ashley-ann_foster
Audley Shaw M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/audley_shaw_jlp.jpg,JLP,MANCHESTER NORTH EASTERN,audley_shaw_m.p.
Beverly Prince,http://jamaica-elections.com/general/2016/info/candidates_images/beverly_prince_jlp.jpg,JLP,ST. ANDREW EAST CENTRAL,beverly_prince
Brian Wallace,http://jamaica-elections.com/general/2016/info/candidates_images/brian_wallace_jlp.jpg,JLP,HANOVER WESTERN,brian_wallace
Caswell Pinnock,http://jamaica-elections.com/general/2016/info/candidates_images/caswell_pinnock_jlp.jpg,JLP,CLARENDON NORTHERN,caswell_pinnock
Charlton Collie,http://jamaica-elections.com/general/2016/info/candidates_images/charlton_collie_jlp.jpg,JLP,ST. ANDREW SOUTH EASTERN,charlton_collie
Christopher Tufton M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/christopher_tufton_jlp.jpg,JLP,ST. CATHERINE WEST CENTRAL,christopher_tufton_m.p.
Clifford Barnett,http://jamaica-elections.com/general/2016/info/candidates_images/clifford_barnett_mgppp.jpg,MGPPP,ST. JAMES WEST CENTRAL,clifford_barnett
Clinton Clarke,http://jamaica-elections.com/general/2016/info/candidates_images/clinton_clarke_pnp.jpg,PNP,ST. CATHERINE WEST CENTRAL,clinton_clarke
Colin Fagan M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/colin_fagan_pnp.jpg,PNP,ST. CATHERINE SOUTH EASTERN,colin_fagan_m.p.
Courtney Spence,http://jamaica-elections.com/general/2016/info/candidates_images/courtney_spence_pnp.jpg,PNP,ST. CATHERINE SOUTH CENTRAL,courtney_spence
Curtis Campbell,http://jamaica-elections.com/general/2016/info/candidates_images/curtis_campbell_ndm.jpg,NDM,ST. CATHERINE SOUTH EASTERN,curtis_campbell
Daren Powell,http://jamaica-elections.com/general/2016/info/candidates_images/daren_powell_pnp.jpg,PNP,ST. ELIZABETH NORTH WESTERN,daren_powell
Daryl Vaz M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/daryl_vaz_jlp.jpg,JLP,PORTLAND WESTERN,daryl_vaz_m.p.
Dave Hume-Brown,http://jamaica-elections.com/general/2016/info/candidates_images/dave_hume-brown_jlp.jpg,JLP,HANOVER EASTERN,dave_hume-brown
Dayton Campbell M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/dayton_campbell_pnp.jpg,PNP,ST. ANN NORTH WESTERN,dayton_campbell_m.p.
Deborah Golding,http://jamaica-elections.com/general/2016/info/candidates_images/deborah_golding_ind.jpg,IND,KINGSTON WESTERN,deborah_golding
Delano Seiveright,http://jamaica-elections.com/general/2016/info/candidates_images/delano_seiveright_jlp.jpg,JLP,ST. THOMAS EASTERN,delano_seiveright
Delroy Chuck M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/delroy_chuck_jlp.jpg,JLP,ST. ANDREW NORTH EASTERN,delroy_chuck_m.p.
Delroy Slowley,http://jamaica-elections.com/general/2016/info/candidates_images/delroy_slowley_ind.jpg,IND,ST. ELIZABETH NORTH EASTERN,delroy_slowley
Denise Daley M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/denise_daley_pnp.jpg,PNP,ST. CATHERINE EASTERN,denise_daley_m.p.
Dennis Meadows,http://jamaica-elections.com/general/2016/info/candidates_images/dennis_meadows_jlp.jpg,JLP,TRELAWNY NORTHERN,dennis_meadows
Dennis Messias,http://jamaica-elections.com/general/2016/info/candidates_images/dennis_messias_jlp.jpg,JLP,ST. ANDREW SOUTHERN,dennis_messias
Dennis Minott,http://jamaica-elections.com/general/2016/info/candidates_images/dennis_minott_ind.jpg,IND,PORTLAND EASTERN,dennis_minott
Derrick Kellier M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/derrick_kellier_pnp.jpg,PNP,ST. JAMES SOUTHERN,derrick_kellier_m.p.
Derrick Smith M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/derrick_smith_jlp.jpg,JLP,ST. ANDREW NORTH WESTERN,derrick_smith_m.p.
Derron Wood,http://jamaica-elections.com/general/2016/info/candidates_images/derron_wood_jlp.jpg,JLP,PORTLAND EASTERN,derron_wood
Desmond Brennan,http://jamaica-elections.com/general/2016/info/candidates_images/desmond_brennan_pnp.jpg,PNP,CLARENDON NORTH CENTRAL,desmond_brennan
Desmond Gilmore,http://jamaica-elections.com/general/2016/info/candidates_images/desmond_gilmore_pnp.jpg,PNP,ST. ANN NORTH EASTERN,desmond_gilmore
Desmond McKenzie M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/desmond_mckenzie_jlp.jpg,JLP,KINGSTON WESTERN,desmond_mckenzie_m.p.
Dixeth Palmer,http://jamaica-elections.com/general/2016/info/candidates_images/dixeth_palmer_jlp.jpg,JLP,WESTMORELAND WESTERN,dixeth_palmer
Donovan Isaacs,http://jamaica-elections.com/general/2016/info/candidates_images/donovan_isaacs_pnp.jpg,PNP,ST. ANDREW NORTH WESTERN,donovan_isaacs
Dwayne Vaz M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/dwayne_vaz_pnp.jpg,PNP,WESTMORELAND CENTRAL,dwayne_vaz_m.p.
Dwight Peccoo,http://jamaica-elections.com/general/2016/info/candidates_images/dwight_peccoo_jlp.jpg,JLP,ST. CATHERINE EASTERN,dwight_peccoo
Edmund Bartlett M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/edmund_bartlett_jlp.jpg,JLP,ST. JAMES EAST CENTRAL,edmund_bartlett_m.p.
Eton Williams,http://jamaica-elections.com/general/2016/info/candidates_images/eton_williams_ndm.jpg,NDM,CLARENDON NORTHERN,eton_williams
Everald Warmington M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/everald_warmington_jlp.jpg,JLP,ST. CATHERINE SOUTH WESTERN,everald_warmington_m.p.
Evon Redman,http://jamaica-elections.com/general/2016/info/candidates_images/evon_redman_pnp.jpg,PNP,ST. ELIZABETH NORTH EASTERN,evon_redman
Fayval Williams,http://jamaica-elections.com/general/2016/info/candidates_images/fayval_williams_jlp.jpg,JLP,ST. ANDREW EASTERN,fayval_williams
Fenton Ferguson M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/fenton_ferguson_pnp.jpg,PNP,ST. THOMAS EASTERN,fenton_ferguson_m.p.
Fitz Jackson M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/fitz_jackson_pnp.jpg,PNP,ST. CATHERINE SOUTHERN,fitz_jackson_m.p.
Floyd Green,http://jamaica-elections.com/general/2016/info/candidates_images/floyd_green_jlp.jpg,JLP,ST. ELIZABETH SOUTH WESTERN,floyd_green
Franklyn Witter,http://jamaica-elections.com/general/2016/info/candidates_images/franklyn_witter_jlp.jpg,JLP,ST. ELIZABETH SOUTH EASTERN,franklyn_witter
Garth Barnett,http://jamaica-elections.com/general/2016/info/candidates_images/garth_barnett_mgppp.jpg,MGPPP,ST. CATHERINE NORTH CENTRAL,garth_barnett
Gene Guthrie,http://jamaica-elections.com/general/2016/info/candidates_images/gene_guthrie_ind.jpg,IND,ST. CATHERINE NORTH WESTERN,gene_guthrie
George Hylton M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/george_hylton_pnp.jpg,PNP,ST. ANDREW WESTERN,george_hylton_m.p.
George Wright,http://jamaica-elections.com/general/2016/info/candidates_images/george_wright_jlp.jpg,JLP,WESTMORELAND CENTRAL,george_wright
"Graham McDonnough,Jr","http://jamaica-elections.com/general/2016/info/candidates_images/graham_mcdonnough,jr_ndm.jpg",NDM,ST. ANN NORTH WESTERN,"graham_mcdonnough,jr"
Haile Mika'el,http://jamaica-elections.com/general/2016/info/candidates_images/haile_mika'el_ind.jpg,IND,WESTMORELAND EASTERN,haile_mika'el
Headley Wilson,http://jamaica-elections.com/general/2016/info/candidates_images/headley_wilson_jlp.jpg,JLP,KINGSTON EAST AND PORT ROYAL,headley_wilson
Heroy Clarke,http://jamaica-elections.com/general/2016/info/candidates_images/heroy_clarke_jlp.jpg,JLP,ST. JAMES CENTRAL,heroy_clarke
Hidran McKulsky,http://jamaica-elections.com/general/2016/info/candidates_images/hidran_mckulsky_jlp.jpg,JLP,MANCHESTER SOUTHERN,hidran_mckulsky
Homer Davis,http://jamaica-elections.com/general/2016/info/candidates_images/homer_davis_jlp.jpg,JLP,ST. JAMES SOUTHERN,homer_davis
Horace Chang M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/horace_chang_jlp.jpg,JLP,ST. JAMES NORTH WESTERN,horace_chang_m.p.
Horace Dalley M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/horace_dalley_pnp.jpg,PNP,CLARENDON NORTHERN,horace_dalley_m.p.
