id,wikidata
aichi_10th_district,Q11494336
aichi_11th_district,Q11494338
aichi_12th_district,Q11494337
aichi_13th_district,Q11494340
aichi_14th_district,Q11494339
aichi_15th_district,Q11494341
aichi_1st_district,Q11494342
aichi_2nd_district,Q11494344
aichi_3rd_district,Q11494346
aichi_4th_district,Q11494348
aichi_5th_district,Q4696554
aichi_6th_district,Q4696552
aichi_7th_district,Q11494352
aichi_8th_district,Q11494353
aichi_9th_district,Q11494354
akita_1st_district,Q11595528
akita_2nd_district,Q11595529
akita_3rd_district,Q11595531
aomori_1st_district,Q4778663
aomori_2nd_district,Q11662287
aomori_3rd_district,Q11662288
aomori_4th_district,Q11662289
chiba_10th_district,Q11406376
chiba_11th_district,Q11406376
chiba_12th_district,Q11406377
chiba_13th_district,Q11406378
chiba_1st_district,Q11406379
chiba_2nd_district,Q11406381
chiba_3rd_district,Q11406383
chiba_4th_district,Q5095299
chiba_5th_district,Q11406386
chiba_6th_district,Q11406387
chiba_7th_district,Q11406389
chiba_8th_district,Q11406388
chiba_9th_district,Q11406390
ehime_1st_district,Q11493668
ehime_2nd_district,Q11493670
ehime_3rd_district,Q11493673
ehime_4th_district,Q11493674
fukui_1st_district,Q11591498
fukui_2nd_district,Q11591499
fukuoka_10th_district,Q11592614
fukuoka_11th_district,Q11592612
fukuoka_1st_district,Q11592613
fukuoka_2nd_district,Q11592616
fukuoka_3rd_district,Q11592618
fukuoka_4th_district,Q11592620
fukuoka_5th_district,Q11592622
fukuoka_6th_district,Q11592623
fukuoka_7th_district,Q11592624
fukuoka_8th_district,Q5507680
fukuoka_9th_district,Q11592625
fukushima_1st_district,Q11593326
fukushima_2nd_district,Q11593328
fukushima_3rd_district,Q5507720
fukushima_4th_district,Q11593331
fukushima_5th_district,Q11593333
gifu_1st_district,Q11471571
gifu_2nd_district,Q11471573
gifu_3rd_district,Q11471575
gifu_4th_district,Q11471576
gifu_5th_district,Q11471577
gumma_1st_district,Q5618871
gumma_2nd_district,Q11609702
gumma_3rd_district,Q11609704
gumma_4th_district,Q5618873
gumma_5th_district,Q11609705
hiroshima_1st_district,Q11484884
hiroshima_2nd_district,Q11484886
hiroshima_3rd_district,Q11484887
hiroshima_4th_district,Q11484889
hiroshima_5th_district,Q11484891
hiroshima_6th_district,Q11484890
hiroshima_7th_district,Q5771187
hokkaido_10th_district,Q11402999
hokkaido_11th_district,Q11403000
hokkaido_12th_district,Q11403001
hokkaido_1st_district,Q5878053
hokkaido_2nd_district,Q9498886
hokkaido_3rd_district,Q11403004
hokkaido_4th_district,Q11403007
hokkaido_5th_district,Q5878048
hokkaido_6th_district,Q11403009
hokkaido_7th_district,Q11403010
hokkaido_8th_district,Q9498966
hokkaido_9th_district,Q9499044
hokkaido_bloc,Q5878130
hyogo_10th_district,Q11393144
hyogo_11th_district,Q10959517
hyogo_12th_district,Q11393145
hyogo_1st_district,Q11393146
hyogo_2nd_district,Q11393148
