id,label,description,type
Q218014,President of Latvia,"",executive
Q369500,Prime Minister of Latvia,position,cabinet
Q20557220,Minister of Finance,,cabinet
Q16361617,Minister for the Environmental Protection and Regional Development of Latvia,"",cabinet
Q16361623,Minister of Agriculture,in Latvia,cabinet
Q25907368,Minister of Culture,Latvian minister,cabinet
Q6590375,Minister of Defence,in Latvia,cabinet
Q16361620,Minister of the Environment,in Latvia,cabinet
Q21191589,deputy of Saeima,"",self
Q27169,member of the European Parliament,person who has been elected to the European Parliament,other_legislatures
