name,area,image,party,term,end_date
 Muhammed Alfitouri Alhanish,Zawia,https://www.temehu.com/pictures1/hor11/1315-zawiyah.jpg,Independent,1,
Abdulaghani Hasan Milad Altoumi,Wadi Ashathi,https://www.temehu.com/pictures2/hor12/550-wadi-shathi.jpg,Independent,1,2014-08-04
Abdulghani Ahmed Alfthisi,Zliten,https://www.temehu.com/pictures2/hor12/abdulghani-alfthisi.jpg,Independent,1,
Abdulhafid Muhammed Alsaghir,Awbari,https://www.temehu.com/pictures3/hor13/905-awbari.jpg,Independent,1,
Abdullah Housein Allafi,Zawia,https://www.temehu.com/pictures3/hor13/957-zawiyah.jpg,Independent,1,
Abdullah Muhammed Lehmish,Wadi Ashathi,https://www.temehu.com/pictures2/hor12/584-wadi-shathi.jpg,Independent,1,
Abdulmun'aim Emar Balkour,Ajaylat,https://www.temehu.com/pictures1/hor11/523-ajilat.jpg,Independent,1,
Abdulmun'aim Faraj Alfaqih,Msallatah,https://www.temehu.com/pictures2/hor12/158-msellatah.jpg,Independent,1,
Abdulmunaim Jum'aa Hasan,Merj,https://www.temehu.com/pictures3/hor13/234-merj.jpg,Independent,1,
Abdulmuthalib Idris Hamed,Bayda,https://www.temehu.com/pictures1/hor11/1195-bayda.jpg,Independent,1,
Abdulnabi Albashir Abdulmawla,Zawia,https://www.temehu.com/pictures1/hor11/509-zawiyah.jpg,Independent,1,
Abdulnaser Alameen Alna'as,Khoms City,https://www.temehu.com/pictures1/hor11/496-khoms-city.jpg,Independent,1,
Abdulnaser Bashir BenNafi'a,Tripoli: Ain Zara,https://www.temehu.com/pictures1/hor11/488-ainzara.jpg,Independent,1,
Abdulqader Bashir Hibah,Ghadamis,https://www.temehu.com/pictures1/hor11/546-ghadames.jpg,Independent,1,
Abdulqader Hasen Sulieman,Awbari,https://www.temehu.com/pictures1/hor11/136-awbari.jpg,Independent,1,
Abdulrahman Alhshibani Alsweihli,Mesratha,https://www.temehu.com/pictures2/hor12/abdulrahman-alsweihli.jpg,Independent,1,
Abdulraouf Ibrahim Almana'ai,Tripoli: Abu Salim,https://www.temehu.com/pictures2/hor12/801-abu-salim.jpg,Independent,1,
Abdulsalam Abdullah Nasiyah,Zintan,https://www.temehu.com/pictures1/hor11/1094-zintan.jpg,Independent,1,
Abdulsalam Muhammed Ali,Awbari,https://www.temehu.com/pictures2/hor12/743-awbari.jpg,Independent,1,
Abdulwahhab Omar Zoliyah,Alasab'aa,https://www.temehu.com/pictures2/hor12/1568-asabiaa.jpg,Independent,1,
Abdulwahid Emar 'Aashour Alqadi,Janzur,https://www.temehu.com/pictures1/hor11/1298-janzur.jpg,Independent,1,2014-08-04
Abosalah Abdulsalam Shalbi,Wadi Ashathi,https://www.temehu.com/pictures1/hor11/374-wadi-shathi.jpg,Independent,1,
Aboualkhayer Alsha'ab Belkhayer,Tripoli: Tajoura,https://www.temehu.com/pictures2/hor12/792-tajoura.jpg,Independent,1,
Aboubaker Ahmed Saleh,Tarhunah,https://www.temehu.com/pictures1/hor11/503-tarhouna.jpg,Independent,1,
Aboubaker Ibrahim Milad,Khoms Coast,https://www.temehu.com/pictures1/hor11/1378-khoms-coast.jpg,Independent,1,
Aboubaker Omar Muhammed,Sirte,https://www.temehu.com/pictures1/hor11/348-sirte.jpg,Independent,1,
Abubaker Mustafa B'airah,Benghazi,https://www.temehu.com/pictures2/hor12/1393-benghazi.jpg,Independent,1,
Adam Saleh Busakhra,Bayda,https://www.temehu.com/pictures1/hor11/55-bayda.jpg,Independent,1,
Adel Faraj Ibrahim Althirah,Benghazi,https://www.temehu.com/pictures2/hor12/1692-benghazi.jpg,Independent,1,
Adel Mawloud Mahfoud,Ajaylat,https://www.temehu.com/pictures3/hor13/952-ajilat.jpg,Independent,1,
Adnan Fouzi Alsha'ab,Msallatah,https://www.temehu.com/pictures2/hor12/67-msellatah.jpg,Independent,1,
Agila Saleh Egwaider,Qubah,https://www.temehu.com/pictures1/hor11/1271b-qubbah.jpg,Independent,1,
Ahlam Muhammed Allafi,Sabha,https://www.temehu.com/pictures3/hor13/889-sabha.jpg,Independent,1,
Ahmed Alsharef Rhouma,Sabha,https://www.temehu.com/pictures3/hor13/929-sabha.jpg,Independent,1,
Ahmed Shihoub Alwahdi,Benghazi,https://www.temehu.com/pictures1/hor11/110-benghazi.jpg,Independent,1,
Aisha Almahdi Shalabi,Zawia,https://www.temehu.com/pictures2/hor12/1710-zawiyah.jpg,Independent,1,
Aisha Yousef Althbelqi,Benghazi,https://www.temehu.com/pictures2/hor12/1395-benghazi.jpg,Independent,1,
Akram Esa Omar Khalifa,Kikla + Qal'ah,https://www.temehu.com/pictures1/hor11/129-kikla-qala.jpg,Independent,1,
Alhadi Ali Alsaghir,Wadi Ashathi,https://www.temehu.com/pictures2/hor12/593-wadi-shathi.jpg,Independent,1,
Ali Ahmed Ali Altekali,Tripoli: Ain Zara,https://www.temehu.com/pictures1/hor11/1336-ainzara.jpg,Independent,1,
Ali Als'aidi Alqaidi,Wadi Ashathi,https://www.temehu.com/pictures1/hor11/360-wadi-shathi.jpg,Independent,1,
Ali Faraj Ibrahim Khaled,Abyar,https://www.temehu.com/pictures3/hor13/312-abyar.jpg,Independent,1,
Ali Khalifa Al'aisawi,Kabaw,https://www.temehu.com/pictures1/hor11/1079-kabaw.jpg,Independent,1,
Ali Khalifa Salem Alsoul,Castelverde,https://www.temehu.com/pictures3/hor13/203-castelverde.jpg,Independent,1,
Ali Muftah Omar Almjdoub,Mseihel + Alsaeh + Sbi'aa,https://www.temehu.com/pictures1/hor11/1138-mseihel.jpg,Independent,1,
Ali Muhammed Hasan Abozriba,Zawia,https://www.temehu.com/pictures1/hor11/1237-zawiyah.jpg,Independent,1,
Ali Muhammed Housein Kshir,Aziziyah,https://www.temehu.com/pictures2/hor12/1421-aziziyah.jpg,Independent,1,
Ali Omar Aboalqasem Altekbali,Tripoli Centre,https://www.temehu.com/pictures3/hor13/1777-tripoli-centre.jpg,Independent,1,
Ali Ramadan Abuz'akouk,Benghazi,https://www.temehu.com/pictures2/hor12/746-benghazi.jpg,Independent,1,
Ali Rhouma Alsaba'ai,Tripoli: Hay Alandulus,https://www.temehu.com/pictures3/hor13/1772-hay-andulus.jpg,Independent,1,
Almabrouk Abdullah Alkabir,Sabratah,https://www.temehu.com/pictures2/hor12/almbrouk-mansour.jpg,Independent,1,
Almahdi Masoud Al'awer,Um-Alaraneb,https://www.temehu.com/pictures3/hor13/269-um-aranab.jpg,Independent,1,
Almuntasir Sa'ad 'Ali,Cyrene,https://www.temehu.com/pictures3/hor13/32-cyrene.jpg,Independent,1,
Alsadeq Ali Alkahili,Tripoli: Tajoura,https://www.temehu.com/pictures3/hor13/982-tajoura2.jpg,Independent,1,
Alsadeq Muhammed Idris,Tripoli: Ben Ghashir,https://www.temehu.com/pictures2/hor12/708-qasr-ben-ghashir4.jpg,Independent,1,
Alsadiq Muftah Hmoudah,Tripoli: Souq Aljum'aa,https://www.temehu.com/pictures3/hor13/869-souq-jumaa.jpg,Independent,1,
Amal Muhammed B'ayyu,Benghazi,https://www.temehu.com/pictures1/hor11/1373-benghazi.jpg,Independent,1,
Amer Omran Aboubaker,Sidra,https://www.temehu.com/pictures3/hor13/923-sidra.jpg,Independent,1,
Asma Mahmoud Alkhouja,Tripoli: Ain Zara,https://www.temehu.com/pictures2/hor12/1619-ainzara.jpg,Independent,1,
Asmahan Abdulqader Bela'oun,Benghazi,https://www.temehu.com/pictures1/hor11/1112-benghazi.jpg,Independent,1,
Assalhin Abdannabi Sa'ad,Tobruk,https://www.temehu.com/pictures2/hor12/7-tobruk.jpg,Independent,1,
Asseyyedah Kamel Aly'aqoubi,Gharyan,https://www.temehu.com/pictures1/hor11/43-gheryan.jpg,Independent,1,
Aymen Almbrouk Saif Alnaser,Janzur,https://www.temehu.com/pictures1/hor11/1142-janzur.jpg,Independent,1,
Aziza Kerkrah Abousetta,Sirte,https://www.temehu.com/pictures2/hor12/1467-sirte.jpg,Independent,1,
Bader Ali Sulieman Musa,Benghazi,https://www.temehu.com/pictures1/hor11/481-benghazi.jpg,Independent,1,
Bashir Ali Sa'ad Alahmar,Janzur,https://www.temehu.com/pictures2/hor12/795-janzur.jpg,Independent,1,
Ehfid Khalifa Shaninah,Batin Aljabal,https://www.temehu.com/pictures1/hor11/1080-jabel-bathen.jpg,Independent,1,
Ehmid Hamed Ali Houma,Tmassah - Zawilah,https://www.temehu.com/pictures2/hor12/827-tmessah.jpg,Independent,1,
Emar Milad Rajab Alablaq,Zliten,https://www.temehu.com/pictures3/hor13/emmar-alabeq.jpg,Independent,1,
Emarah Ali Hasan Shenbaro,Zawia,https://www.temehu.com/pictures2/hor12/1527-zawiyah.jpg,Independent,1,
Emhamed Ali Belqasem Sh'aib,Zawia,https://www.temehu.com/pictures2/hor12/1513b-zawiyah.jpg,Independent,1,
Esa Muhammed Al'aribi,Benghazi,https://www.temehu.com/pictures2/hor12/629-benghazi.jpg,Independent,1,
Ezeddine Abdulsalam Qweireb,Zliten,https://www.temehu.com/pictures3/hor13/ezeddin-goubreb.jpg,Independent,1,
Ezeddine Musbah Aborawi,Swani Ben Adam,https://www.temehu.com/pictures1/hor11/390-swani.jpg,Independent,1,
Faez Mustafa Fouzi Alsaraj,Tripoli: Hay Alandulus,https://www.temehu.com/pictures3/hor13/1757-hay-andulus.jpg,Independent,1,
Fahmi Abdulrahman Altawati,Mizdah,https://www.temehu.com/pictures1/hor11/1071-mezdah.jpg,Independent,1,
Faraj Abdullah Hashem,Merj,https://www.temehu.com/pictures3/hor13/21-merj.jpg,Independent,1,
Faraj Bashir Abdulmalik,Sabratah,https://www.temehu.com/pictures1/hor11/abdulmalik-bashir.jpg,Independent,1,
Fathallah Housein Abdulkarim,Ajdabiya,https://www.temehu.com/pictures3/hor13/fathella-abdulkarim.jpg,Independent,1,
Fathi Abdulrahim Alqabasi,Awjilah,https://www.temehu.com/pictures3/hor13/fathi-alqabbasi.jpg,Independent,1,
Fathi Abdulsalam Alsharif,Qasr Alakhyar,https://www.temehu.com/pictures2/hor12/662-qasr-akhyar.jpg,Independent,1,
Fathi Ali Bashagha,Mesratha,https://www.temehu.com/pictures3/hor13/fathi-bashagha.jpg,Independent,1,
Fatima Aboubaker Abousa'adah,Sabha,https://www.temehu.com/pictures2/hor12/585-sabha.jpg,Independent,1,
Fatima Ahmed Karis,Awjilah + Jalu + Jakharrad,https://www.temehu.com/pictures1/hor11/1341-jalu-awjla-women-2.jpg,Independent,1,
Fatimah Abdulsalam Alsou'ai,Awbari,https://www.temehu.com/pictures1/hor11/1015-awbari.jpg,Independent,1,
Fouzi Althaher Alnweiry,Surman,https://www.temehu.com/pictures2/hor12/1526-serman.jpg,Independent,1,
Fouziyyah Muhammed Aboghalya,Tripoli Centre,https://www.temehu.com/pictures1/hor11/1173-tripoli-centre.jpg,Independent,1,
Friha Abdulsalam Alhadiri,Ajdabiya + Brega,https://www.temehu.com/pictures2/hor12/1490-ejdabiyah-brega2.jpg,Independent,1,
Hamed Muhammed Maqiq,Jalu + Jakharrad,https://www.temehu.com/pictures2/hor12/hmed-maqiq.jpg,Independent,1,
Hamoudah Ahmed Sayyala,Tripoli Centre,https://www.temehu.com/pictures1/hor11/1171-tripoli-centre.jpg,Independent,1,
Hana Khalifa Khalid Abodeib,Tripoli: Hay Alandulus,https://www.temehu.com/pictures3/hor13/871-hay-andulus.jpg,Independent,1,
Hanan Muhammed Shlouf,Mesratha (Misrata),https://www.temehu.com/pictures2/hor12/hanan-shellouf.jpg,Independent,1,
Hasen Abubaker Omar Saleh,Awbari,https://www.temehu.com/pictures3/hor13/1730-awbari.jpg,Independent,1,
Hasen Alfurjani Salem,Tarhunah,https://www.temehu.com/pictures2/hor12/678-tarhouna.jpg,Independent,1,
Hasen Althaher Musbah,Bani Walid,https://www.temehu.com/pictures2/hor12/hsein-altaher-musbah.jpg,Independent,1,
Hasen Saleh Alzarqa,Sirte,https://www.temehu.com/pictures3/hor13/972-sirte.jpg,Independent,1,
Hujrah Abdulsalam Eskenda,Awbari,https://www.temehu.com/pictures3/hor13/1729-awbari.jpg,Independent,1,2014-08-04
Ibrahim Abdullah Alzaghid,Gmines,https://www.temehu.com/pictures2/hor12/166-gmines.jpg,Independent,1,
Ibrahim Abubaker Aldarsi,Benghazi,https://www.temehu.com/pictures3/hor13/852-benghazi.jpg,Independent,1,
Ibrahim Fathi 'Ameish,Benghazi,https://www.temehu.com/pictures3/hor13/302-benghazi.jpg,Independent,1,
Ibrahim Muftah Hamed Salem,Sirte,https://www.temehu.com/pictures2/hor12/560-sirte.jpg,Independent,1,2014-08-04
Ibrahim Muhammed Krenfouda,Awbari,https://www.temehu.com/pictures2/hor12/620-awbari.jpg,Independent,1,
Ibrahim Musbah Alhadi,Sabha,https://www.temehu.com/pictures2/hor12/695-sabha.jpg,Independent,1,
Ibtisam Abdulhafid Omar Salem,Aziziyah,https://www.temehu.com/pictures3/hor13/1781-aziziyah.jpg,Independent,1,
Ibtisam Abdulsalam Ben Jum'aa,Castelverde,https://www.temehu.com/pictures1/hor11/469-castelverde.jpg,Independent,1,
Idris Abdullah Faraj,Brega,https://www.temehu.com/pictures2/hor12/565-brega.jpg,Independent,1,
Idris Omran Adam,Bayda,https://www.temehu.com/pictures1/hor11/409-bayda.jpg,Independent,1,
Ism Abdullah Aljahani,Benghazi,https://www.temehu.com/pictures1/hor11/1120-benghazi-2.jpg,Independent,1,
Ismaeil Muhammed Ismaeil,Jufra,https://www.temehu.com/pictures3/hor13/341-jufrah.jpg,Independent,1,
Jaballah Muhammed Jaballah,Tawergha,https://www.temehu.com/pictures3/hor13/1807-tawergha.jpg,Independent,1,
Jalal Saleh Ashwihdi,Benghazi,https://www.temehu.com/pictures1/hor11/1108-benghazi.jpg,Independent,1,
Kamal Albashir Aljamel,Mesratha,https://www.temehu.com/pictures1/hor11/kamal-bashir.jpg,Independent,1,
Khadijah Ahmed Alzarouq,Wadi Ashathi,https://www.temehu.com/pictures1/hor11/353-wadi-shathi.jpg,Independent,1,
Khalid Ali Muhammed Alostha,Tripoli: Tajoura,https://www.temehu.com/pictures2/hor12/1597-tajoura.jpg,Independent,1,
