id,position,label,description,start_date,end_date,replaces,replaced_by
Q11024912,Q18507240,"Member of the Seimas","","",,,
Q11714005,Q18507240,"Member of the Seimas","","",,,
Q11781375,Q18507240,"Member of the Seimas","","",,,
Q11781375,Q27169,"member of the European Parliament","person who has been elected to the European Parliament","",,,
Q118937,Q18507240,"Member of the Seimas","","",,,
Q118937,Q25470413,"Minister of National Defence","in Lithuania",2004-12-14,2006-07-18,"Linas Antanas Linkevičius","Juozas Olekas"
Q118937,Q845439,"Prime Minister of Lithuania",position,2006-07-04,2008-12-09,,
Q1261946,Q18507240,"Member of the Seimas","","",,,
Q12665225,Q18507240,"Member of the Seimas","","",,,
Q12678481,Q18507240,"Member of the Seimas","","",,,
Q12679000,Q18507240,"Member of the Seimas","","",,,
Q1291415,Q18507240,"Member of the Seimas","","",,,
Q1304328,Q18507240,"Member of the Seimas","","",,,
Q1310448,Q18507240,"Member of the Seimas","","",,,
Q1361304,Q18507240,"Member of the Seimas","","",,,
Q1361333,Q18507240,"Member of the Seimas","","",,,
Q1361333,Q27169,"member of the European Parliament","person who has been elected to the European Parliament","",,,
Q1376538,Q18507240,"Member of the Seimas","","",,,
Q1376538,Q25470413,"Minister of National Defence","in Lithuania",2006-07-04,2008-12-09,"Gediminas Kirkilas","Rasa Juknevičienė"
Q1376538,Q25470413,"Minister of National Defence","in Lithuania",2012-12-13,,"Rasa Juknevičienė",
Q1376538,Q25707086,"Minister of Health","Lithuanian cabinet position",2003-03-10,2004-11-29,"Konstantinas Romualdas Dobrovolskis","Žilvinas Padaiga"
Q1395873,Q18507240,"Member of the Seimas","","",,,
Q1427363,Q18507240,"Member of the Seimas","","",,,
Q15137892,Q18507240,"Member of the Seimas","","",,,
Q15138158,Q18507240,"Member of the Seimas","","",,,
Q15138159,Q18507240,"Member of the Seimas","","",,,
Q15138320,Q18507240,"Member of the Seimas","","",,,
Q15138339,Q18507240,"Member of the Seimas","","",,,
Q15240798,Q18507240,"Member of the Seimas","","",,,
Q15782189,Q18507240,"Member of the Seimas","","",,,
