id,name,position,start_date,end_date,type
1cbf7dee-4299-479a-8209-a82918868b57,Gediminas Kirkilas,Minister of National Defence,2004-12-14,2006-07-18,cabinet
1cbf7dee-4299-479a-8209-a82918868b57,Gediminas Kirkilas,Prime Minister of Lithuania,2006-07-04,2008-12-09,cabinet
80143900-14e6-4b97-8d0f-1e761c140a41,Juozas Olekas,Minister of National Defence,2006-07-04,2008-12-09,cabinet
80143900-14e6-4b97-8d0f-1e761c140a41,Juozas Olekas,Minister of National Defence,2012-12-13,,cabinet
80143900-14e6-4b97-8d0f-1e761c140a41,Juozas Olekas,Minister of Health,2003-03-10,2004-11-29,cabinet
f79db7dd-b3e0-4aee-9777-d99e6657941c,Rasa Juknevičienė,Minister of National Defence,2008-12-09,2012-12-13,cabinet
46ebbf8c-9bfe-4e21-9c08-dd52d59a54c7,Juras Požela,Minister of Health,2016-03-15,2016-10-16,cabinet
dcd40b3f-c019-45c1-a9ac-c73142611da5,Andrius Kubilius,Prime Minister of Lithuania,1999-11-03,2000-11-09,cabinet
dcd40b3f-c019-45c1-a9ac-c73142611da5,Andrius Kubilius,Prime Minister of Lithuania,2008-11-26,2012-11-22,cabinet
f9c176ee-cb66-43e3-9f5d-47419f90d752,Audronius Ažubalis,Minister of Foreign Affairs,2010-02-11,2012-12-13,cabinet
325fca9c-6725-409b-bfbe-34b3bebd391b,Rimantė Šalaševičiūtė,Minister of Health,2014-07-17,2016-02-17,cabinet
3a2589a7-7bc2-45f7-85e9-662c9fc3f05f,Vytenis Povilas Andriukaitis,Minister of Health,2012-12-13,2014-07-14,cabinet
