id,position,label,description,start_date,end_date,election,replaces,constituency,of,replaced_by
Q13101525,Q21328592,deputy,member of the Chamber of Deputies of the Luxembourg,2009-07-08,2013-10-06,,,,,
Q13101525,Q21328592,deputy,member of the Chamber of Deputies of the Luxembourg,2013-11-13,2013-12-03,,,,,
Q13101525,Q21328592,deputy,member of the Chamber of Deputies of the Luxembourg,2014-04-01,,,,,,
Q13101525,Q29639349,,"",2011-11,2013-12,,,,Erpeldange,
Q13101525,Q30101438,Secretary of State,"",2013-12-04,2014-03-28,,,,"Minister for Education, Children and Youth",
Q13101525,Q8077915,Échevin,"a municipal office in Luxembourg, equivalent to the Dutch schepen, the Belgian échevin or schepen, the German Schöffe, the Italian scabino, and the Czech šepmistr.",2007-10-31,2011-11,,,,Erpeldange,
Q13102284,Q21328592,deputy,member of the Chamber of Deputies of the Luxembourg,2015-04-29,"",,Justin Turpel,Centre,,""
Q13102779,Q21328592,deputy,member of the Chamber of Deputies of the Luxembourg,2012-02-01,2013-10-06,,,,,
Q13102779,Q21328592,deputy,member of the Chamber of Deputies of the Luxembourg,2013-11-13,,,,Sud,,
Q13102779,Q29639349,,"",2005-11-11,"",,Fred Sunnen,Sanem,,""
Q13102905,Q21328592,deputy,member of the Chamber of Deputies of the Luxembourg,2013-12-04,2015-12-17,,Maggy Nagel,Est,,Claude Lamberty
Q13102905,Q29639349,,"",2003,2015,,Carlo Meintz,,Walferdange,Joëlle Elvinger
Q13102905,Q736559,Secretary of State,minister or senior civil servant in the government of a state,2015-12-17,,,Maggy Nagel,,Ministère de la Culture,
Q13103716,Q21328592,deputy,member of the Chamber of Deputies of the Luxembourg,2014-11-04,"",,,,,
Q13103716,Q29639349,,"",2011-11-14,"","Luxembourgish communal election, 2011","",Bettembourg,,""
Q13104062,Q21328592,deputy,member of the Chamber of Deputies of the Luxembourg,2004-08-03,2009-06-07,"Luxembourgian legislative election, 2004",,,,
Q13104062,Q21328592,deputy,member of the Chamber of Deputies of the Luxembourg,2009-07-08,2013-10-06,"Luxembourgian legislative election, 2009",,,,
Q13104062,Q21328592,deputy,member of the Chamber of Deputies of the Luxembourg,2014-10-14,"",,Luc Frieden,Centre,,
Q13104099,Q21328592,deputy,member of the Chamber of Deputies of the Luxembourg,2013-12-05,"","Luxembourg general election, 2013",,,,
Q13104862,Q21328592,deputy,member of the Chamber of Deputies of the Luxembourg,2004-08-03,2009-06-07,"Luxembourgian legislative election, 2004",,,,
Q13104862,Q21328592,deputy,member of the Chamber of Deputies of the Luxembourg,2009-07-28,2013-10-06,"Luxembourgian legislative election, 2009",,,,
Q13104862,Q21328592,deputy,member of the Chamber of Deputies of the Luxembourg,2013-12-05,2018-04-17,"Luxembourg general election, 2013",,,,Simone Asselborn-Bintz
Q13680517,Q21328592,deputy,member of the Chamber of Deputies of the Luxembourg,2013-11-13,,,,Nord,,
Q13680517,Q30461,president,"leader of a country or part of a country, usually in republics",2014-03-30,,,Alex Bodry,,Luxembourg Socialist Workers' Party,
Q1384206,Q29639349,,"",2010,2012,,,,Bascharage,
Q1384206,Q29639349,,"",2012,,,,,Käerjeng,
Q1384206,Q30461,president,"leader of a country or part of a country, usually in republics",2009,2014,,François Biltgen,,Christian Social People's Party,Marc Spautz
Q16438796,Q21328592,deputy,member of the Chamber of Deputies of the Luxembourg,2004-07-13,2009-06-07,,,,,
Q16438796,Q21328592,deputy,member of the Chamber of Deputies of the Luxembourg,2009-07-08,2013-10-06,,,Centre,,
Q16438796,Q21328592,deputy,member of the Chamber of Deputies of the Luxembourg,2013-12-05,2018-04-16,,,Centre,,Sam Tanson
Q16438796,Q8077915,Échevin,"a municipal office in Luxembourg, equivalent to the Dutch schepen, the Belgian échevin or schepen, the German Schöffe, the Italian scabino, and the Czech šepmistr.",1999-01-01,2004-12-31,,,Mersch,,
Q16438812,Q21328592,deputy,member of the Chamber of Deputies of the Luxembourg,2005-10-11,2009-06-07,,,,,
