id,name__en,name,wikipedia__en,image,gender,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__SUDOC,birth_date,death_date,identifier__freebase,given_name,identifier__NTA,identifier__Oxforddnb,identifier__Munzinger,family_name,identifier__MusicBrainz,name__de,name__es,name__fr,name__hi,name__id,name__io,name__ja,name__jv,name__ko,name__ms,name__oc,name__pt,name__ru,name__sv,name__th,name__zh,name__de_ch,name__en_ca,name__en_gb,name__pt_br,name__ca,name__ta,name__it,name__uk,name__nb,name__da,name__nn,name__nl,name__fa,wikipedia__de,wikipedia__es,wikipedia__fa,wikipedia__fr,wikipedia__hi,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__jv,wikipedia__ko,wikipedia__ms,wikipedia__oc,wikipedia__pt,wikipedia__ru,wikipedia__sv,wikipedia__ta,wikipedia__th,wikipedia__uk,wikipedia__zh,original_wikiname,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__ml,name__vi,name__sh,name__bcl,name__ar,name__tr,name__fi,name__tl,name__min,name__az,name__bn,wikipedia__ar,wikipedia__az,wikipedia__bcl,wikipedia__bn,wikipedia__commons,wikipedia__da,wikipedia__fi,wikipedia__min,wikipedia__ml,wikipedia__no,wikipedia__pl,wikipedia__sh,wikipedia__tl,wikipedia__tr,wikipedia__vi,identifier__BNF,identifier__CANTIC,twitter,wikipedia__nl,identifier__FIFA,occupation,name__cy,name__hu,website,facebook,identifier__FAST,name__nds,name__vmf,name__eu,name__my,wikipedia__eu,wikipedia__my,identifier__Britannica,identifier__google_knowledge,wikipedia__enwikiquote,name__ky,wikipedia__ky,identifier__NLAtrove,name__br,name__co,name__ro,name__ty,name__sco,name__pa,wikipedia__pa,wikipedia__sco,wikipedia__simple,name__cs,identifier__bigenc_ru,identifier__snac,identifier__quora,name__qu,name__et,name__eo,name__is,name__hak,name__mk,name__be_tarask,name__ne,name__kk_arab,name__kk_cn,name__kk_tr,name__kk_kz,name__kk_cyrl,name__kk_latn,name__nan,name__be,name__he,name__lv,name__li,name__yue,name__sa,name__war,name__bg,name__mr,name__km,name__kk,name__sr,name__new,name__si,name__la,name__mg,name__lzh,name__pnb,name__wuu,name__yi,name__ur,name__ba,name__ka,name__sd,name__tt,name__vo,name__hy,name__lb,name__lo,name__mn,name__te,name__gu,name__gl,name__ast,name__el,name__kn,name__zh_mo,name__zh_my,wikipedia__arwikiquote,wikipedia__ast,wikipedia__ba,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__ca,wikipedia__cs,wikipedia__cy,wikipedia__dewikiquote,wikipedia__el,wikipedia__enwikinews,wikipedia__eo,wikipedia__et,wikipedia__gu,wikipedia__hak,wikipedia__he,wikipedia__hu,wikipedia__hy,wikipedia__is,wikipedia__ka,wikipedia__kk,wikipedia__km,wikipedia__kn,wikipedia__la,wikipedia__lb,wikipedia__li,wikipedia__lo,wikipedia__lv,wikipedia__mg,wikipedia__mk,wikipedia__mn,wikipedia__mr,wikipedia__ne,wikipedia__new,wikipedia__nn,wikipedia__nnwikiquote,wikipedia__plwikiquote,wikipedia__pnb,wikipedia__qu,wikipedia__ro,wikipedia__ruwikinews,wikipedia__ruwikiquote,wikipedia__sa,wikipedia__sd,wikipedia__sr,wikipedia__te,wikipedia__thwikiquote,wikipedia__tt,wikipedia__ukwikiquote,wikipedia__ur,wikipedia__vo,wikipedia__war,wikipedia__wuu,wikipedia__yi,wikipedia__zh_classical,wikipedia__zh_min_nan,wikipedia__zh_yue,wikipedia__zhwikiquote,identifier__IMDB,identifier__NDL,identifier__NNDB,identifier__wikitree,identifier__CSPAN,name__sk,name__yo,name__lt,name__ckb,name__fo,name__kl,name__uz,wikipedia__ckb,wikipedia__eowikinews,wikipedia__lt,wikipedia__uz,wikipedia__yo,identifier__OLID,name__lmo,identifier__ioc_athlete,identifier__NLA,identifier__NPG,identifier__britishmuseum,identifier__NLI,instagram,wikipedia__si,identifier__GTAA,wikipedia__itwikiquote,name__so,name__bs,name__ace,wikipedia__ace,wikipedia__bswikiquote,wikipedia__so,wikipedia__trwikiquote,identifier__nyt_topic,wikipedia__gl
Q10045531,"Subramaniam Sathasivam","Subramaniam Sathasivam","Subramaniam Sathasivam",https://upload.wikimedia.org/wikipedia/commons/4/4b/Datuk_Dr.S.Subramaniam.jpg,male,,,,,,1953-04-01,,,,,,,,,"Subramaniam Sathasivam","Subramaniam Sathasivam","Subramaniam Sathasivam",,"Subramaniam Sathasivam",,,,,"Subramaniam Sathasivam",,"Subramaniam Sathasivam",,"Subramaniam Sathasivam",,"苏巴马廉",,"Subramaniam Sathasivam","Subramaniam Sathasivam",,,"ச. சுப்பிரமணியம்","Subramaniam Sathasivam",,"Subramaniam Sathasivam","Subramaniam Sathasivam","Subramaniam Sathasivam","Subramaniam Sathasivam",,,,,,,"Subramaniam Sathasivam",,,,,,"Subramaniam Sathasivam",,,,,"ச. சுப்பிரமணியம்",,,"苏巴马廉","Subramaniam Sathasivam",,,,,,,,,,,,,,,,,,,,,,,"Category:Subramaniam Sathasivam",,,,,,,,,,,,,,,,politician,,"Subramaniam Sathasivam",,,,,,,,,,,,,,,,"Subramaniam Sathasivam","Subramaniam Sathasivam","Subramaniam Sathasivam","Subramaniam Sathasivam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1015710,"Abdul Taib Mahmud","Abdul Taib Mahmud","Abdul Taib Mahmud",https://upload.wikimedia.org/wikipedia/commons/7/7d/Pehin_Sri_Haji_Abdul_Taib_Mahmud.jpg,male,,63112319,,n88245890,,1936-05-21,,/m/07m4ry,Abdul,,,,,,"Abdul Taib Mahmud","Abdul Taib Mahmud","Abdul Taib Mahmud",,"Abdul Taib Mahmud",,,,"압둘 타입 마흐무드","Abdul Taib Mahmud",,,,"Abdul Taib Mahmud",,"泰益瑪目",,,,,,,,,"Abdul Taib Mahmud","Abdul Taib Mahmud","Abdul Taib Mahmud","Abdul Taib Mahmud",,,,,,,"Abdul Taib Mahmud",,,,,"압둘 타입 마흐무드","Abdul Taib Mahmud",,,,"Abdul Taib Mahmud",,,,"泰益瑪目","Abdul Taib Mahmud","泰益玛目","泰益瑪目","泰益瑪目","泰益·马哈茂德",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,244893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1049213,"Liow Tiong Lai","Liow Tiong Lai","Liow Tiong Lai",https://upload.wikimedia.org/wikipedia/commons/0/08/Liow_Tiong_Lai.jpg,male,,,,,,1961-10,,/m/0406yf7,,,,,,,"Liow Tiong Lai","Liow Tiong Lai","Liow Tiong Lai",,"Liow Tiong Lai",,"リオウ・ティオング・ライ",,,"Liow Tiong Lai",,,,"Liow Tiong Lai",,"廖中莱",,,,,,,"Liow Tiong Lai",,"Liow Tiong Lai","Liow Tiong Lai","Liow Tiong Lai","Liow Tiong Lai",,,,,"Liow Tiong Lai",,"Liow Tiong Lai",,"Liow Tiong Lai",,,,"Liow Tiong Lai",,,,,,,,"廖中莱","Liow Tiong Lai","廖中莱","廖中萊","廖中萊",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,"Liow Tiong Lai",http://www.liowtionglai.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Liow Tiong Lai",,,,,,,,,
Q1058538,"Onn Jaafar","Onn Jaafar","Onn Jaafar",,male,"0000 0000 3709 3184",1216763,133958795,n88259930,135695821,1895,1962-01-19,/m/060qfy,,072782900,101094673,,,,"Onn Jaafar","Onn Jaafar","Onn Jaafar",,"Onn Jaafar",,"ダトー・オン・ビン・ジャーハル",,"다토 온 자파르","Onn Jaafar",,"Onn Jaafar","Онн Бин Джафар","Onn Jaafar",,"翁惹化",,,,,,,"Onn Jaafar",,"Onn Jaafar","Onn Jaafar","Onn Jaafar","Onn Jaafar",,,,,,,"Onn Jaafar",,,,,"다토 온 자파르","Onn Jaafar",,,,,,,,"翁惹化","Onn Jaafar",,,,,,,,,,,,"عون بن جعفر","Onn Jaafar",,,,,,"عون بن جعفر",,,,,,,,,,,,,,,,,,,,politician,,"Onn Jaafar",,,259764,"Onn Jaafar",,,,,,,,,,,,"Onn Jaafar","Onn Jaafar","Onn Jaafar","Onn Jaafar",,,,,,,2689707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1059617,"Samy Vellu","Samy Vellu","Samy Vellu",,male,"0000 0000 2935 3601",58180735,,n88228365,,1936-03-08,,/m/04ccwx,Samy,376445815,,,,,"Samy Vellu","Samy Vellu","Samy Vellu",,,,,,,"Samy Vellu",,,,"Samy Vellu",,"三美威魯",,,,,,"ச. சாமிவேலு","Dato' Seri S. Samy Vellu,",,"Samy Vellu","Samy Vellu","Samy Vellu","Samy Vellu",,,,,,,,,,,,,"Samy Vellu",,,,,"ச. சாமிவேலு",,,"三美威魯","Samy Vellu","三美威鲁","三美威魯","三美威魯",,,,"Samy Vellu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,"Samy Vellu",,,259888,,,,,,,,,"Samy Vellu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1060949,"Muhyiddin Yassin","Muhyiddin Yassin","Muhyiddin Yassin",https://upload.wikimedia.org/wikipedia/commons/d/d3/MuhyiddinUS.jpg,male,,60678556,,n89219864,,1947-05-15,,/m/0bp276,Muhyiddin,,,,,,"Muhyiddin Yassin","Muhyiddin Yassin","Muhyiddin Yassin",,"Muhyiddin Yassin",,"ムヒディン・ヤシン",,"무히딘 야신","Muhyiddin Yassin",,,"Мухиддин Ясcин","Muhyiddin Yassin",,"慕尤丁",,,,,,,,,"Muhyiddin Yassin","Muhyiddin Yassin","Muhyiddin Yassin","Muhyiddin Yassin",,,,,"Muhyiddin Yassin",,"Muhyiddin Yassin",,,,,"무히딘 야신","Muhyiddin Yassin",,,"Мухиддин Яссин",,,,,"慕尤丁","Muhyiddin Yassin","慕尤丁","慕尤丁","穆希丁·雅辛","穆希丁·雅辛",,"穆希丁·雅辛",,,,,,,,,,,,,,,,,"Category:Muhyiddin Yassin",,,,,,,,,,,,,,,,politician,,"Muhyiddin Yassin",,,324329,,,,,,,,,"Muhyiddin Yassin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10728896,"Lee Boon Chye","Lee Boon Chye","Lee Boon Chye",,male,,,,,,1959-09-26,,,,,,,,,"Lee Boon Chye",,,,"Lee Boon Chye",,,,,"Lee Boon Chye",,,,"Lee Boon Chye",,"李文材",,"Lee Boon Chye","Lee Boon Chye",,,,,,"Lee Boon Chye","Lee Boon Chye","Lee Boon Chye","Lee Boon Chye",,,,,,,"Lee Boon Chye",,,,,,"Lee Boon Chye",,,,,,,,"李文材","Lee Boon Chye",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10887151,"Ismail Muttalib","Ismail Muttalib","Ismail Muttalib",,male,,,,,,1954-12-01,,,Ismail,,,,,,"Ismail Muttalib",,,,"Ismail Abd Muttalib",,,,,"Ismail Bin Abd. Muttalib",,,,"Ismail Bin Abd. Muttalib",,"依斯迈慕达立",,,,,,,,,"Ismail Bin Abd. Muttalib","Ismail Bin Abd. Muttalib","Ismail Bin Abd. Muttalib","Ismail Muttalib",,,,,,,"Ismail Abd Muttalib",,,,,,"Ismail Abd Muttalib",,,,,,,,"依斯迈慕达立","Ismail Muttalib",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10887152,"Ismail Mohamed Said","Ismail Mohamed Said","Ismail Mohamed Said",,male,,,,,,1965-09-07,,,Ismail,,,,,,"Ismail Mohamed Said",,"Ismail Mohamed Said",,"Ismail Mohamed Said",,,,,"Ismail Mohamed Said",,,,"Ismail Mohamed Said",,"依斯迈莫哈末沙益",,,,,,,,,"Ismail Mohamed Said","Ismail Mohamed Said","Ismail Mohamed Said","Ismail Mohamed Said",,,,,,,"Ismail Mohamed Said",,,,,,"Ismail Mohamed Said",,,,,,,,"依斯迈莫哈末沙益","Ismail Mohamed Said",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10904961,"Lim Lip Eng","Lim Lip Eng","Lim Lip Eng",,male,,,,,,1972-07-25,,,,,,,,,"Lim Lip Eng",,,,"Lim Lip Eng",,,,,"Lim Lip Eng",,,,"Lim Lip Eng",,"林立迎",,,,,,,,,"Lim Lip Eng","Lim Lip Eng","Lim Lip Eng","Lim Lip Eng",,,,,,,"Lim Lip Eng",,,,,,"Lim Lip Eng",,,,,,,,"林立迎","Lim Lip Eng",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
