id,name__en,name__nl,name__fr,name,wikipedia__en,gender,occupation,birth_date,given_name,original_wikiname,name__de,name__it,death_date,name__yo,wikipedia__yo,name__hu,identifier__NPG,identifier__hansard,identifier__VIAF,name__ca,wikipedia__ca,identifier__ISNI,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__NTA,identifier__FAST,name__new,wikipedia__new,image,name__es,wikipedia__fr,name__sv,wikipedia__sv,name__nb,name__da,name__nn,wikipedia__de,name__cy,name__ru,wikipedia__ru,name__tr,wikipedia__no,wikipedia__tr,identifier__freebase,name__gl,wikipedia__it,name__zh_hant,name__zh_cn,name__dv,name__ja,wikipedia__dv,name__cs,name__eu,name__pl,wikipedia__pl,name__id,name__sk,name__el,name__hy,name__ar,wikipedia__ar,wikipedia__el,wikipedia__id,wikipedia__ja,wikipedia__sk,name__fa,name__sh,name__sr_el,name__sr_ec,name__sr,wikipedia__fa,wikipedia__sh,wikipedia__sr,name__he,wikipedia__simple,name__zh_hans,name__zh_hk,name__zh,name__fi,wikipedia__es,wikipedia__fi,wikipedia__nl,wikipedia__zh,identifier__Britannica,name__zh_sg,name__zh_tw,name__ko,name__ta,name__et,name__hi,name__pt,name__hr,name__lt,name__bn,name__en_ca,name__en_gb,name__pt_br,name__uk,wikipedia__bn,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__enwikiquote,wikipedia__et,wikipedia__gl,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__ko,wikipedia__lt,wikipedia__pt,wikipedia__ta,wikipedia__uk,name__ka,name__ms,name__vi,name__lb,name__oc,name__min,name__ml,name__mr,name__ne,name__la,name__pa,wikipedia__ka,wikipedia__la,wikipedia__lb,wikipedia__min,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__ne,wikipedia__oc,wikipedia__pa,wikipedia__vi,name__br,name__eo,name__ksh,name__mk,name__sco,wikipedia__br,wikipedia__eo,wikipedia__ksh,wikipedia__sco,identifier__IMDB,website,twitter
Q11051353,"Ilyas Ibrahim","Ilyas Ibrahim","Ilyas Ibrahim","Ilyas Ibrahim","Ilyas Ibrahim",male,politician,1945-12-18,,"Ilyas Ibrahim","Ilyas Ibrahim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"އަލްފާޟިލް އިލްޔާސް އިބްރާހިމް",,"އަލްފާޟިލް އިލްޔާސް އިބްރާހިމް",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12300379,"Abdulla Jihad",,,"Abdulla Jihad","Abdulla Jihad",male,,1963-01-03,,"Abdulla Jihad",,,,,,,,,,,,,,,,,,,,,,,,,"Abdulla Jihad","Abdulla Jihad",,,,,,,"Abdulla Jihad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abdulla Jihad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1255051,"Ahmed Shaheed","Ahmed Shaheed","Ahmed Shaheed","Ahmed Shaheed","Ahmed Shaheed",male,politician,1964,Ahmed,"Ahmed Shaheed","Ahmed Shaheed",,,,,"Ahmed Shaheed",,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Ahmed_Shaheed,_Human_Rights_Council_Special_Rapporteur_on_Iran_(cropped).jpg","Ahmed Shaheed","Ahmed Shaheed",,,,,,,,,,,,,/m/02q2_fx,,,,,,,,,,,,,,,,,,,,,,"احمد شهید","Ahmed Šahid","Ahmed Šahid","Ахмед Шахид","Ахмед Шахид","احمد شهید","Ahmed Šahid","Ахмед Шахид",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1398138,"Fatima Ibrahim Didi","Fatima Ibrahim Didi","Fatima Ibrahim Didi","Fatima Ibrahim Didi","Fatima Ibrahim Didi",female,politician,1918,Fatima,"Fatima Ibrahim Didi","Fatima Ibrahim Didi",,2008,,,,,,,,,,,,,,,,,,,,,,,,,"Fatima Ibrahim Didi","Fatima Ibrahim Didi",,,,,,/m/012srkfp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q152381,"Mohamed Nasheed","Mohamed Nasheed","Mohamed Nasheed","Mohamed Nasheed","Mohamed Nasheed",male,politician,1967-05-17,Mohamed,"Mohamed Nasheed","Mohamed Nasheed","Mohamed Nasheed",,"Mohamed Nasheed","Mohamed Nasheed","Mohamed Nasheed",,,29226230,,,,no2003082829,,,,1915644,,,https://upload.wikimedia.org/wikipedia/commons/2/2f/Mohamed_Nasheed_by_UNDP.jpg,"Mohamed Nasheed","Mohamed Nasheed","Mohamed Nasheed","Mohamed Nasheed","Mohamed Nasheed","Mohamed Nasheed",,"Mohamed Nasheed",,"Нашид, Мохамед","Нашид, Мохамед","Muhammed Naşid","Mohamed Nasheed","Muhammed Naşid",/m/077h7y,,"Mohamed Nasheed","穆罕默德·納希德","穆罕默德·纳希德","މުޙައްމަދު ނަޝީދު","モハメド・ナシード","މުޙައްމަދު ނަޝީދު",,"Mohamed Nasheed","Mohamed Nasheed","Mohamed Nasheed","Mohamed Nasheed",,"Μοχάμετ Νασίντ",,"محمد ناشيد","محمد نشيد","Μοχάμετ Νασίντ","Mohamed Nasheed","モハメド・ナシード",,"محمد ناشید","Mohamed Nasheed",,,,"محمد نشید","Mohamed Nasheed",,"מוחמד נשיד",,"穆罕默德·纳希德","穆罕默德·納希德","穆罕默德·纳希德","Mohamed Nasheed","Mohamed Nasheed","Mohamed Nasheed","Mohamed Nasheed","穆罕默德·纳希德",biography/Mohamed-Nasheed,"穆罕默德·纳希德","穆罕默德·納希德","모하메드 나시드","முகமது நசீது","Mohamed Nasheed","मोहम्मद नशीद","Mohamed Nasheed",,,"মোহাম্মদ নাশিদ",,,,"Мохамед Нашид","মোহাম্মদ নাশিদ","Category:Mohamed Nasheed",,"Mohamed Nasheed","Mohamed Nasheed","Mohamed Nasheed",,"מוחמד נשיד","मोहम्मद नशीद",,"모하메드 나시드",,"Mohamed Nasheed","முகம்மது நசீது","Мохамед Нашид",,"Mohamed Nasheed","Mohamed Nasheed","Mohamed Nasheed",,,"മുഹമ്മദ് നഷീദ്",,,,,,,"Mohamed Nasheed",,"മുഹമ്മദ് നഷീദ്",,"Mohamed Nasheed",,,,"Mohamed Nasheed","Mohamed Nasheed","Mohamed Naŝid","Mohamed Nasheed","Мухамед Нашид","Mohamed Nasheed","Mohamed Nasheed","Mohamed Naŝid","Mohamed Nasheed","Mohamed Nasheed",nm4686829,http://raeesnasheed.com/,mohamednasheed
Q15428017,"Abdul Samad Abdulla","Abdul Samad Abdulla","Abdul Samad Abdulla","Abdul Samad Abdulla","Abdul Samad Abdulla",male,politician,1946-03-10,"Abdul Samad","Abdul Samad Abdulla","Abdul Samad Abdulla",,2013-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,"Abdul Samad Abdulla","Абдулла, Абдул Самад","Абдулла, Абдул Самад",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16057942,"Abdul Majeed Abdul Bari","Abdul Majeed Abdul Bari",,"Abdul Majeed Abdul Bari","Abdul Majeed Abdul Bari",male,,,"Abdul Majid","Abdul Majeed Abdul Bari","Abdul Majeed Abdul Bari",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ޢަބުދުލް މަޖީދު ޢަބުދުލް ބާރީ",,"ޢަބުދުލް މަޖީދު ޢަބުދުލް ބާރީ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16146287,"Asim Ahmed",,,"Asim Ahmed","Asim Ahmed",male,politician,,Asim,"Asim Ahmed","Asim Ahmed","Asim Ahmed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16146737,"Ahmed Jamsheed Mohamed",,,"Ahmed Jamsheed Mohamed","Ahmed Jamsheed Mohamed",male,,,Ahmed,"Ahmed Jamsheed Mohamed","Ahmed Jamsheed Mohamed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16146747,"Ahmed Mahloof",,"Ahmed Mahloof","Ahmed Mahloof","Ahmed Mahloof",male,"association football player",1980-03-26,Ahmed,"Ahmed Mahloof","Ahmed Mahloof","Ahmed Mahloof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
