id,name__en,name__nl,name__fr,name,wikipedia__en,gender,occupation,birth_date,given_name,original_wikiname,name__de,name__it,death_date,name__yo,wikipedia__yo,name__hu,identifier__NPG,identifier__hansard,identifier__VIAF,name__ca,wikipedia__ca,identifier__ISNI,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__NTA,identifier__FAST,name__new,wikipedia__new,image,name__es,wikipedia__fr,name__sv,wikipedia__sv,name__nb,name__da,name__nn,wikipedia__de,name__cy,name__ru,wikipedia__ru,name__tr,wikipedia__no,wikipedia__tr,identifier__freebase,name__gl,wikipedia__it,name__zh_hant,name__zh_cn,name__dv,name__ja,wikipedia__dv,name__cs,name__eu,name__pl,wikipedia__pl,name__id,name__sk,name__el,name__hy,name__ar,wikipedia__ar,wikipedia__el,wikipedia__id,wikipedia__ja,wikipedia__sk,name__fa,name__sh,name__sr_el,name__sr_ec,name__sr,wikipedia__fa,wikipedia__sh,wikipedia__sr,name__he,wikipedia__simple,name__zh_hans,name__zh_hk,name__zh,name__fi,wikipedia__es,wikipedia__fi,wikipedia__nl,wikipedia__zh,identifier__Britannica,name__zh_sg,name__zh_tw,name__ko,name__ta,name__et,name__hi,name__pt,name__hr,name__lt,name__bn,name__en_ca,name__en_gb,name__pt_br,name__uk,wikipedia__bn,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__enwikiquote,wikipedia__et,wikipedia__gl,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__ko,wikipedia__lt,wikipedia__pt,wikipedia__ta,wikipedia__uk,name__ka,name__ms,name__vi,name__lb,name__oc,name__min,name__ml,name__mr,name__ne,name__la,name__pa,wikipedia__ka,wikipedia__la,wikipedia__lb,wikipedia__min,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__ne,wikipedia__oc,wikipedia__pa,wikipedia__vi,name__br,name__eo,name__ksh,name__mk,name__sco,wikipedia__br,wikipedia__eo,wikipedia__ksh,wikipedia__sco,identifier__IMDB,website,twitter,name__io,name__de_ch,name__an,name__be,wikipedia__an,wikipedia__be,wikipedia__enwikinews,wikipedia__eu,wikipedia__io,identifier__GND,identifier__Munzinger,family_name,identifier__sycomore,name__nds,wikipedia__ruwikinews,identifier__GTAA,wikipedia__nn,identifier__NNDB,name__rw,name__be_tarask,name__bm,name__arz,wikipedia__arz,wikipedia__be_x_old,wikipedia__bm,wikipedia__plwikiquote,wikipedia__rw,identifier__snac,identifier__senatDOTfr,identifier__AlloCine,identifier__moviemeter,identifier__elonet,identifier__PORT,identifier__kinopoisk,identifier__CSFD,identifier__filmportal_de,name__is,name__mg,wikipedia__is,wikipedia__mg,identifier__allmovie
Q1169518,"Aminata Traoré","Aminata Traoré","Aminata Dramane Traoré","Aminata Traoré","Aminata Traoré",female,politician,1947,Aminata,"Aminata Traoré","Aminata Traoré","Aminata Dramane Traoré",,,,"Aminata Traoré",,,61705590,,,"0000 0001 1655 5228",n85259584,13526566m,050367749,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e0/Aminata_Traore_IMG_0245.jpg,"Aminata Traoré","Aminata Dramane Traoré","Aminata Dramane Traoré",,"Aminata Dramane Traoré","Aminata Dramane Traoré","Aminata Dramane Traoré",,,,,,,,/m/06l9rh,,"Aminata Dramane Traoré",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aminata Traoré",,"Aminata Traoré",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nm2936742,,,,,,,,,,,,,,"Traoré",,,,,,,,,,,,,,,,,,438410,,,,1559885,145192,,,,,,p477591
Q13553808,"Dramane Dembélé","Dramane Dembélé","Dramane Dembélé","Dramane Dembélé","Dramane Dembélé",male,politician,1967-04-08,Dramane,"Dramane Dembélé","Dramane Dembélé",,,,,"Dramane Dembélé",,,,,,,,,,,,,,,"Dramane Dembélé","Dramane Dembélé","Dramane Dembélé","Dramane Dembélé",,,,,,,,,,,/m/0swlrhc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dramane Dembélé",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1362358,"Younoussi Touré","Younoussi Touré","Younoussi Touré","Younoussi Touré","Younoussi Touré",male,politician,1941-01-01,,"Younoussi Touré","Younoussi Touré",,,,,"Younoussi Touré",,,48444597,,,,n93096043,,,,,,,,"Younoussi Touré","Younoussi Touré",,,,,,"Younoussi Touré",,,,,,,/m/02qqzhj,,,"尤努西·杜爾","尤努西·杜尔",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14832856,"Oumar Tatam Ly","Oumar Tatam Ly","Oumar Tatam Ly","Oumar Tatam Ly","Oumar Tatam Ly",male,banker,1963-11-28,Oumar,"Oumar Tatam Ly","Oumar Tatam Ly","Oumar Tatam Ly",,,,,,,,,,,,,,,,,,,"Oumar Tatam Ly","Oumar Tatam Ly",,,,,,"Oumar Tatam Ly",,"Ли, Умар","Ли, Умар","Oumar Tatam Ly",,"Oumar Tatam Ly",/m/0wzf2jm,,"Oumar Tatam Ly",,,,,,,,"Oumar Tatam Ly","Oumar Tatam Ly","Oumar Tatam Ly",,"Ουμάρ Τατάμ Λι",,,,"Ουμάρ Τατάμ Λι","Oumar Tatam Ly",,,,,,,,,,,,,,,"奥马尔·塔特姆·利",,"Oumar Ly Tatam",,,"奥马尔·塔特姆·利",,,,,,"Oumar Tatam Ly",,,,,,"Oumar Tatam Ly","Oumar Tatam Ly",,,,,,,,"Oumar Tatam Ly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oumar Tatam Ly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1545644,"Ibrahima N'Diaye","Ibrahima N'Diaye","Ibrahima N'Diaye","Ibrahima N'Diaye","Ibrahima N'Diaye",male,politician,1948-05-02,Ibrahima,"Ibrahima N'Diaye","Ibrahima N’Diaye",,,,,,,,16005405,,,,,,150646011,,,,,,,"Ibrahima N'Diaye (homme politique malien)",,,,,,"Ibrahima N’Diaye",,,,,,,/m/05zkhrb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16269353,"Sangaré Niamoto Ba","Sangaré Niamoto Ba","Sangaré Niamoto Ba","Sangaré Niamoto Ba","Sangaré Niamoto Ba",female,politician,1955-04-22,,"Sangaré Niamoto Ba",,,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/4/48/Sangaré_Niamoto_Ba_2011.jpg",,"Sangaré Niamoto Ba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16647851,"Sy Kadiatou Sow","Kadiatou Sow","Sy Kadiatou Sow","Sy Kadiatou Sow","Sy Kadiatou Sow",female,politician,1955-03-07,Kadiatou,"Sy Kadiatou Sow",,,,,,,,,,,,,,,,,,,,,,"Sy Kadiatou Sow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16732728,"Achérif Ag Mohamed","Achérif Ag Mohamed","Achérif Ag Mohamed","Achérif Ag Mohamed","Achérif Ag Mohamed",male,politician,,,"Achérif Ag Mohamed","Achérif Ag Mohamed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16915860,"Cheick Bougadary Traoré",,"Cheick Bougadary Traoré","Cheick Bougadary Traoré","Cheick Bougadary Traoré",male,,,,"Cheick Bougadary Traoré","Cheick Bougadary Traoré",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16919145,"Jamille Bittar",,"Jamille Bittar","Jamille Bittar","Jamille Bittar",male,,,,"Jamille Bittar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
