id,position,label,description,start_date,replaces,end_date
Q1043584,Q19367406,Member of the House of Representatives of Malta,"","",,
Q1363583,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,
Q1363583,Q6508543,Leader of the Opposition,parliamentary position of Malta,"",,
Q1508101,Q19367406,Member of the House of Representatives of Malta,"","",,
Q1508402,Q19367406,Member of the House of Representatives of Malta,"","",,
Q1508402,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,
Q16199692,Q19367406,Member of the House of Representatives of Malta,"","",,
Q1683865,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,
Q173958,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,
Q18206002,Q19367406,Member of the House of Representatives of Malta,"","",,
Q1871727,Q25631196,Minister of European Affairs,Cabinet position in Malta,2013-03-13,"",
Q1871727,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2004-06-12,,2012-12-27
Q1871727,Q5261066,Deputy Prime Minister of Malta,"",2013-03-13,Tonio Borg,
Q24643928,Q19367406,Member of the House of Representatives of Malta,"","",,
Q247348,Q19367406,Member of the House of Representatives of Malta,"","",,
Q2980429,Q19367406,Member of the House of Representatives of Malta,"","",,
Q441784,Q19367406,Member of the House of Representatives of Malta,"","",,
Q441784,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,
Q5043368,Q19367406,Member of the House of Representatives of Malta,"","",,
Q5080619,Q19367406,Member of the House of Representatives of Malta,"","",,
Q524961,Q19367406,Member of the House of Representatives of Malta,"","",,
Q5416069,Q19367406,Member of the House of Representatives of Malta,"","",,
Q5497307,Q19367406,Member of the House of Representatives of Malta,"","",,
Q6209462,Q19367406,Member of the House of Representatives of Malta,"","",,
Q632408,Q19367406,Member of the House of Representatives of Malta,"","",,
Q6830205,Q19367406,Member of the House of Representatives of Malta,"","",,
Q6830673,Q19367406,Member of the House of Representatives of Malta,"","",,
Q7341603,Q19367406,Member of the House of Representatives of Malta,"","",,
Q8079637,Q19367406,Member of the House of Representatives of Malta,"","",,
Q938224,Q152814,Prime Minister of Malta,position,2013-03-09,Lawrence Gonzi,
Q938224,Q19367406,Member of the House of Representatives of Malta,"","",,
Q938224,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,
