id,position,label,description,start_date,end_date,term,constituency
Q12181749,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q1406714,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15111343,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15122091,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15144679,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15148611,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15156389,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15241452,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15256243,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15279158,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15303988,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15379151,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15379157,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15379160,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15379167,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15379174,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15379178,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15379189,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15379192,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15379197,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15379205,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15379214,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15379222,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q15379224,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16105261,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16105261,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q16105991,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16106429,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16106631,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16107392,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16107496,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16114032,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16114032,Q53544365,deputy of the Legislative Power of the State of Mexico,"","",,LIX Legislature of the Legislative Power of the State of Mexico,XLI Local Electoral District of México
Q16114270,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16120664,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16120979,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16122010,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16122469,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16137131,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16143384,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16144304,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16144498,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16144531,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16144557,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16145023,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16145455,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16145573,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16145714,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16146024,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16146032,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16146189,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16146233,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16146246,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16146386,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16146425,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16146526,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16146538,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16146542,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16146549,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16146579,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16146590,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16146705,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16146888,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16146941,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16147052,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16147132,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16147223,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16147224,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16147432,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16147435,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16147511,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16147614,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16147721,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16148680,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16148791,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16148967,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16149263,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16149925,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16150059,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16150221,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16150242,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16151159,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16151254,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16151656,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16151944,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16185245,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16185298,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16185330,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16185355,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16185510,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16185537,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16186201,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16186202,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16186248,Q16242755,Municipal President of Tijuana,"","",,2016- Town Hall of Tijuana,Tijuana Municipality
Q16186248,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16186253,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16186253,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q16186422,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16186606,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16186608,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16186685,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16186710,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16186732,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16186807,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16186819,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16186821,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16186827,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16186872,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16186990,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16186998,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16187072,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16187087,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16187092,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16187202,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16187217,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16187227,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16187255,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16187288,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16188900,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16188994,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16189058,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16189269,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16189416,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16189491,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16189521,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16189553,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16189556,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16189557,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190119,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190131,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190135,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190181,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190187,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190190,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190202,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190235,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190252,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190306,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190312,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190336,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190338,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190364,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190381,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190395,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190420,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190423,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190426,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190459,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190462,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190495,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190571,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190606,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190609,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190612,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190627,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190734,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190739,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190747,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190791,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q16190818,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
