id,position,label,description,start_date,end_date,replaced_by,replaces,term
Q15715802,Q18390049,Member of the parliament of Moldova,"","",,,,
Q16215199,Q18390049,Member of the parliament of Moldova,"","",,,,
Q16215199,Q24576259,Minister of the Economy,Economy minister of Moldova,2014-07-03,2015-01-23,Stephane Christophe Bride,Valeriu Lazăr,
Q189435,Q18390049,Member of the parliament of Moldova,"","",,,,
Q189435,Q312271,President of Moldova,position,2001-04-07,2009-09-11,Mihai Ghimpu,Petru Lucinschi,
Q189435,Q4376680,President of the Moldovan Parliament,"",2009-05-12,2009-08-28,Mihai Ghimpu,Ivan Calin,
Q20431298,Q18390049,Member of the parliament of Moldova,"","",,,,
Q20431743,Q18390049,Member of the parliament of Moldova,"","",,,,
Q20432903,Q18390049,Member of the parliament of Moldova,"","",,,,
Q21469785,Q18390049,Member of the parliament of Moldova,"","",,,,
Q28864943,Q18390049,Member of the parliament of Moldova,"","",,,,Legislatura XX
Q294473,Q18390049,Member of the parliament of Moldova,"","",,,,
Q312340,Q18390049,Member of the parliament of Moldova,"","",,,,
Q312340,Q24576259,Minister of the Economy,Economy minister of Moldova,2003-08-05,2005-03-24,Valeriu Lazăr,,
Q4164146,Q24576259,Minister of the Economy,Economy minister of Moldova,2006-09-18,2009-09-14,Valeriu Lazăr,Valeriu Lazăr,
Q4164146,Q312271,President of Moldova,position,2016-12-23,,,Nicolae Timofti,
Q4171809,Q18390049,Member of the parliament of Moldova,"",1994,2001,,,
Q4171809,Q18390049,Member of the parliament of Moldova,"",2005,2009,,,
Q4171809,Q18390049,Member of the parliament of Moldova,"",2009-04,2009-09,,,
Q4171809,Q18390049,Member of the parliament of Moldova,"",2010,,,,
Q4342644,Q18390049,Member of the parliament of Moldova,"",2009,,,,
Q4344488,Q18390049,Member of the parliament of Moldova,"",2011-01-24,2011-07-15,,,
Q4344488,Q18390049,Member of the parliament of Moldova,"",2014-12-31,,,,
Q4344488,Q6797680,Mayor of Bălți,"",2001,2011,,,
Q4344488,Q6797680,Mayor of Bălți,"",2011,2015,,,
Q4364752,Q18390049,Member of the parliament of Moldova,"","",,,,
Q4503092,Q18390049,Member of the parliament of Moldova,"","",,,,
Q451235,Q18390049,Member of the parliament of Moldova,"","",,,,
Q4752069,Q18390049,Member of the parliament of Moldova,"","",,,,
Q4752143,Q18390049,Member of the parliament of Moldova,"","",,,,
Q4762065,Q18390049,Member of the parliament of Moldova,"","",,,,
Q5170538,Q18390049,Member of the parliament of Moldova,"","",,,,
Q5609024,Q18390049,Member of the parliament of Moldova,"","",,,,
Q57685,Q1769526,Prime Minister of Moldova,"",2009-09-25,2013-03-25,Iurie Leancă,Zinaida Greceanîi,
Q57685,Q18390049,Member of the parliament of Moldova,"","",,,,
Q58087,Q1769526,Prime Minister of Moldova,"",2013-05-30,2015-02-18,Chiril Gaburici,Vlad Filat,
Q58087,Q18390049,Member of the parliament of Moldova,"",2014-12-29,,,,
Q6062852,Q18390049,Member of the parliament of Moldova,"","",,,,
Q6062932,Q18390049,Member of the parliament of Moldova,"","",,,,
Q61299,Q18390049,Member of the parliament of Moldova,"","",,,,
Q6756214,Q18390049,Member of the parliament of Moldova,"","",,,,
Q6761098,Q18390049,Member of the parliament of Moldova,"","",,,,
Q6958064,Q18390049,Member of the parliament of Moldova,"","",,,,
Q7179188,Q18390049,Member of the parliament of Moldova,"","",,,,
Q7517857,Q18390049,Member of the parliament of Moldova,"","",,,,Legislatura XX
Q7851277,Q18390049,Member of the parliament of Moldova,"","",,,,
Q7910855,Q18390049,Member of the parliament of Moldova,"","",,,,
Q7910866,Q18390049,Member of the parliament of Moldova,"","",,,,
Q7911403,Q18390049,Member of the parliament of Moldova,"","",,,,
Q7911411,Q18390049,Member of the parliament of Moldova,"","",,,,
Q7911417,Q1769526,Prime Minister of Moldova,"",2015-07-30,2015-10-30,Pavel Filip,Chiril Gaburici,
Q7911417,Q18390049,Member of the parliament of Moldova,"",2009-08,2015-07-31,,,
Q7938368,Q18390049,Member of the parliament of Moldova,"",2009-05-05,,,,
