id,name,sort_name,given_name,family_name,name__ar,party,party_id,party__ar,constituency,province,start_date,end_date,gender,name__en,term
1,Jaouad Iraki,Iraki Jaouad,Jaouad,Iraki,جواد العراقي,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,AL FIDA - MERS SULTAN,AL FIDA - MERS SULTAN,2016-10-07,,,Jaouad Iraki,10
10,Mohamed Yatim,Yatim Mohamed,Mohamed,Yatim,محمد يتيم,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,SIDI BERNOUSSI,SIDI BERNOUSSI,2016-10-07,,,Mohamed Yatim,10
100,Loubna Elkohli,Elkohli Loubna,Loubna,Elkohli,لبنى الكحلي,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,National,Liste Nationale,2016-10-07,,,Loubna Elkohli,10
101,Mahmoud Amri,Amri Mahmoud,Mahmoud,Amri,محمود آمري,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,National,Liste Nationale,2016-10-07,,,Mahmoud Amri,10
102,Naoufel Naciri,Naciri Naoufel,Naoufel,Naciri,نوفل الناصري,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,National,Liste Nationale,2016-10-07,,,Naoufel Naciri,10
103,Imane Yaacoubi,Yaacoubi Imane,Imane,Yaacoubi,إيمان اليعقوبي,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,National,Liste Nationale,2016-10-07,,,Imane Yaacoubi,10
104,Mohcine Moufdi,Moufdi Mohcine,Mohcine,Moufdi,محسن موفيدي,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,National,Liste Nationale,2016-10-07,,,Mohcine Moufdi,10
105,Brahim Chouiykh,Chouiykh Brahim,Brahim,Chouiykh,ابراهيم شويخ,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,National,Liste Nationale,2016-10-07,,,Brahim Chouiykh,10
106,Reda Bougmazi,Bougmazi Reda,Reda,Bougmazi,رضا بوكمازي,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,National,Liste Nationale,2016-10-07,,,Reda Bougmazi,10
107,Elhoucine Harich,Harich Elhoucine,Elhoucine,Harich,الحسين حاريش,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,National,Liste Nationale,2016-10-07,,,Elhoucine Harich,10
108,Majda Benarbia,Benarbia Majda,Majda,Benarbia,ماجدة بنعربية,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,National,Liste Nationale,2016-10-07,,female,Majda Benarbia,10
109,Boutaina Karouri,Karouri Boutaina,Boutaina,Karouri,بثينة القروري,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,National,Liste Nationale,2016-10-07,,female,Boutaina Karouri,10
11,Abdelmjid Ait Laadila,Ait Laadila Abdelmjid,Abdelmjid,Ait Laadila,عبد المجيد أيت عديلة,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,SIDI BERNOUSSI,SIDI BERNOUSSI,2016-10-07,,,Abdelmjid Ait Laadila,10
110,Mimouna Aftati,Aftati Mimouna,Mimouna,Aftati,ميمونة أفتاتي,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,National,Liste Nationale,2016-10-07,,female,Mimouna Aftati,10
111,Souad Lomari,Lomari Souad,Souad,Lomari,سعاد لعماري,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,National,Liste Nationale,2016-10-07,,female,Souad Lomari,10
112,Souad Zakhnini,Zakhnini Souad,Souad,Zakhnini,سعاد زخنيني,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,National,Liste Nationale,2016-10-07,,female,Souad Zakhnini,10
113,Ichrak El Bouyesfi,El Bouyesfi Ichrak,Ichrak,El Bouyesfi,إشراق البويسفي,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,National,Liste Nationale,2016-10-07,,female,Ichrak El Bouyesfi,10
114,Najia Lotfi,Lotfi Najia,Najia,Lotfi,نجية لطفي,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,National,Liste Nationale,2016-10-07,,female,Najia Lotfi,10
115,Khadija Chami,Chami Khadija,Khadija,Chami,خديجة شامي,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,National,Liste Nationale,2016-10-07,,female,Khadija Chami,10
116,Meriama Boujemaa,Boujemaa Meriama,Meriama,Boujemaa,مريمة بوجمعة,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,National,Liste Nationale,2016-10-07,,female,Meriama Boujemaa,10
117,Asmaa Nacifi,Nacifi Asmaa,Asmaa,Nacifi,أسماء الناصيفي,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,National,Liste Nationale,2016-10-07,,female,Asmaa Nacifi,10
118,Naima Bahich,Bahich Naima,Naima,Bahich,ناعمة بهيش,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,National,Liste Nationale,2016-10-07,,female,Naima Bahich,10
119,Nezha Elyazidi,Elyazidi Nezha,Nezha,Elyazidi,نزهة اليازيدي,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,National,Liste Nationale,2016-10-07,,female,Nezha Elyazidi,10
12,Abdessamad Hayker,Hayker Abdessamad,Abdessamad,Hayker,عبد الصمد حيكر,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,CASABLANCA - ANFA,CASABLANCA - ANFA,2016-10-07,,,Abdessamad Hayker,10
