uuid,female,male,other,skip,total
001941b4-c6ae-41d8-beb7-282073d6d805,2,0,0,0,2
0175fcd2-4a03-42ee-9cb9-ea444a773c59,0,1,0,0,1
02d02fc9-11ed-4e38-9975-7b7004fba8ca,2,0,0,0,2
02f51d6b-21d1-4265-bf37-53a5d42f61da,0,1,0,0,1
035bf580-e5ef-4c6e-90a8-f8825c51de6b,0,1,0,0,1
05c882d3-0a79-45f8-a043-5e66e807b9b2,0,2,0,0,2
0a193b3b-b90c-448e-ac72-218bc389f41d,0,2,0,0,2
0a4683b4-ff03-4108-82ec-8f4b83841bc9,0,1,0,0,1
0a872cb4-7d19-4433-b663-5734caa947dc,2,0,0,0,2
0b3e8f78-bc4e-40ed-94b0-10cd38e60980,0,1,0,0,1
0db75ab4-a48c-4f47-be34-c8fb381522d3,0,1,0,0,1
0e608190-eaa9-4d84-afe6-9aa534d4c7b8,0,2,0,0,2
125adad2-a6c9-4677-880f-bcd9de2ec8a6,0,2,0,0,2
150e25d5-7dfc-4305-8356-1023bb0ff96d,1,0,0,0,1
150ea612-7569-4d96-8e36-9af1353d15e8,0,1,0,0,1
18057690-1168-431f-a06b-e877bd6fae82,0,1,0,0,1
1c3843a1-73b2-459d-8bd2-702091871475,0,2,0,0,2
22e48f48-c389-44ce-bfa0-fa364f7e559f,0,2,0,0,2
25de4241-f8d1-42cd-9e4b-995c404be620,0,1,0,0,1
294d2809-9f05-429f-bfe9-5f25841348f6,0,2,0,0,2
2ad53c6d-7952-4e95-8a95-7f1c68f3f680,0,1,0,0,1
2ec71baa-e817-4aaa-9035-d1a936b8213c,0,2,0,0,2
2f44260f-4efa-420f-b6c3-8d6089ada2b2,0,1,0,0,1
30773956-5ff7-4ab9-845a-e8951a20dc5f,0,1,0,0,1
311445d2-6f02-4c91-a939-d21e4b762164,0,2,0,0,2
390020f9-5b45-4e03-a5d5-ee05b4f59d39,0,1,1,0,2
3d4e5cd0-2eef-4e87-8bfa-b68cd43ee7b9,0,2,0,0,2
410c5b3d-70d5-4d3a-a802-351fa416e7c2,0,2,0,0,2
42a0a612-4f52-4f2b-9d68-5fd89b383d25,0,2,0,0,2
45e22e23-8a56-4895-8964-45350a3f9ce3,1,1,0,0,2
470c8da3-3d25-40b2-9d00-ea68a3d2effa,0,2,0,0,2
