id,label,description,type
Q20740176,Minister of Defence,Netherlands,cabinet
Q15729678,"Minister of Education, Culture and Science","",cabinet
Q20677341,Minister of Finance of the Netherlands,"",cabinet
Q20007045,Minister of Foreign Affairs,Minister of Foreign Affairs of the Netherlands,cabinet
Q13858714,Minister of Housing and the Central Government Sector,minister in the Netherlands,cabinet
Q15726205,"Minister of Public Health, Welfare and Sport",minister in the Dutch government,cabinet
Q20746056,Minister of Security and Justice,Netherlands,unknown
Q15729702,minister of the Interior and Kingdom Relations,Dutch minister,cabinet
Q3058109,Prime Minister of the Netherlands,chairman of the Council of Ministers of the Netherlands,cabinet
Q19305384,member of the Senate of the Netherlands,"",other_legislatures
Q27169,member of the European Parliament,person who has been elected to the European Parliament,other_legislatures
Q18887908,member of the House of Representatives of the Netherlands,"",self
Q2588268,Speaker of the House of Representatives,elected member leading the meetings of the House of Representatives of the Netherlands,self
